VILLCODE,Market,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,Cluster,high_rat,mid_rat,low_rat,high_edu,mid_edu,low_edu,Hospital_1,Hospital_2,Hospital_3,Hospital_4,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY,YOUN_DEP,OLD_DEP,AGING_IDX,H_CNT,P_CNT,M_CNT,F_CNT,Ele,Ele_stu,Junior,Junior_stu,Senior,Senior_stu,TaxPayer,Income_tot,Income_mea,Income_med,Income_Q1,Income_Q3,Income_sta,Income_CV,Temple,Train-stat,Train-crow,Hospital,Clinic,Area,country,town,village,Nt,geometry
64000010008,0.0,高雄市,鹽埕區,中原里,Zhongyuan Vil.,E,64000,E01,64000010,,1,0.319727891,0.457482993,0.222789116,188,269,131,,,,2.0,85.15,2.26,18749.65,51.95,14.02,37.93,270.49,293,661,304,357,0.0,0.0,0.0,0.0,0.0,0.0,196.0,148188.0,756.0,424.0,193.0,800.0,1199.52,158.65,1.0,0.0,0.0,0.0,2.0,3.114260408e-06,高雄市,鹽埕區,中原里,3,"POLYGON ((120.28427258486393 22.628107086970314, 120.2841200722328 22.6278241874913, 120.28384759778143 22.627319190022355, 120.28374518795086 22.627129386329102, 120.28367589805488 22.627001568180734, 120.28338203439422 22.626459472272778, 120.28322460355582 22.626165827603323, 120.28321944661072 22.62615620856512, 120.2830420355044 22.625827535277544, 120.283005661893 22.625760149018852, 120.28270754808877 22.62521244497762, 120.2826977062212 22.62521719396691, 120.28233665807913 22.625391403549262, 120.28226975698043 22.62542497046967, 120.28185619154208 22.625626313928144, 120.28186032149767 22.625633977953967, 120.28236489208881 22.626570065289258, 120.28288715251743 22.62753871110659, 120.28297060562976 22.62769349675106, 120.28304217886902 22.62782624731133, 120.28341062466595 22.628509619963395, 120.28382568678978 22.628315055282094, 120.28389944146404 22.628279262049684, 120.28402269992903 22.628223370344468, 120.28426478789675 22.62811071488822, 120.28427258486393 22.628107086970314))"
64000010011,0.0,高雄市,鹽埕區,河濱里,Hebin Vil.,E,64000,E01,64000010,,1,0.366809553,0.422535211,0.210655236,599,690,344,,,,,96,2.26,19985.05,44.24,9.57,34.67,362.39,781,1764,864,900,1.0,341.0,0.0,0.0,0.0,0.0,562.0,393463.0,700.0,400.0,157.0,800.0,1029.32,147.02,0.0,0.0,0.0,0.0,,7.836591086e-06,高雄市,鹽埕區,河濱里,8,"POLYGON ((120.28594421900914 22.622407040716155, 120.28437112235589 22.619609280416686, 120.28436615445929 22.6196004444375, 120.28365841907208 22.61993367662225, 120.28304171228933 22.62022341891515, 120.28294916276505 22.620266901249213, 120.28260130358316 22.620432414746286, 120.28220178876876 22.620622530904956, 120.28221374645071 22.62064465376315, 120.28240607928565 22.62100048046511, 120.28254457249163 22.62125847877577, 120.28261228463172 22.621383229955075, 120.28271409381338 22.621570799713613, 120.28282350574948 22.6217729883644, 120.28293208867872 22.621973645015025, 120.28299334991193 22.62208906023085, 120.28304181352544 22.622178470623872, 120.28322520022508 22.622516802308592, 120.28356800516421 22.623150492007586, 120.28359314163072 22.623198015902318, 120.28360402839999 22.623218592857064, 120.28375118829501 22.623496740264162, 120.28430162938913 22.623221505864652, 120.28430752139975 22.623218615955608, 120.28449317772986 22.623127538813137, 120.28519675391694 22.622778481541854, 120.28555883648048 22.622597224994117, 120.28591470797038 22.622421604280206, 120.28594421900914 22.622407040716155))"
64000020010,0.0,高雄市,鼓山區,龍井里,Longjing Vil.,E,64000,E02,64000020,,1,0.220447284,0.405750799,0.373801917,276,508,468,,,,,104.21,2.39,771.47,45.86,11.17,34.69,310.58,568,1358,693,665,0.0,0.0,0.0,0.0,0.0,0.0,324.0,181387.0,560.0,356.0,160.0,651.0,789.58,141.04,2.0,0.0,0.0,0.0,,0.000154693268692,高雄市,鼓山區,龍井里,11,"POLYGON ((120.27543456225457 22.65668682277152, 120.2754127564002 22.65643836853237, 120.27541013518578 22.656409471271374, 120.27534434279048 22.65568396070553, 120.27532636932766 22.65548745292207, 120.2753214849225 22.655433243430117, 120.27533112339597 22.655392647125076, 120.2753080594567 22.655356340700834, 120.27522180468004 22.655220561110475, 120.27511888695084 22.6550598562161, 120.27504778913331 22.65494883990233, 120.2744909762197 22.654038691792756, 120.27418807892475 22.653499967474186, 120.27410129888808 22.65332120972446, 120.27409219991365 22.65330569356933, 120.27390481642848 22.652986168365352, 120.27388695135993 22.65294318894744, 120.27377237307714 22.652470793505675, 120.27363250824084 22.6518921680431, 120.27354159238745 22.651516964486955, 120.27349443340141 22.651320324620087, 120.27344845545382 22.651130461813768, 120.2734021735078 22.65094059800403, 120.27337709397938 22.650942470963564, 120.27334185364205 22.650945102906654, 120.2728088566692 22.65098489904989, 120.27100763662136 22.651119373203414, 120.2705393299928 22.651306894914104, 120.27014057797807 22.651478927658204, 120.27008938013638 22.651501272757724, 120.26945816237594 22.651475817125913, 120.26938826687726 22.651498076185845, 120.26820554830717 22.651867659204548, 120.26576028540853 22.652434468583454, 120.26438792397413 22.652900057734897, 120.26426562397681 22.65294239455478, 120.26329486575452 22.653272090976802, 120.26168261030044 22.653820091555865, 120.2588505966068 22.654574675881083, 120.25883029182883 22.655186440775392, 120.25885486941452 22.655735195928536, 120.25896828660231 22.656415313063967, 120.25907403209513 22.657108941361365, 120.25915803478364 22.657689579653688, 120.25934931633927 22.658365540577776, 120.25970270019639 22.65957508700486, 120.26001163341728 22.660825069982174, 120.26010641447796 22.661466720318128, 120.26020485449833 22.66219192450511, 120.2603850611033 22.662865577922812, 120.26065073942537 22.66350575774741, 120.26077085873861 22.663737248783868, 120.26077639575293 22.663747919877732, 120.26098365177117 22.664026583147084, 120.26297683529043 22.665939077076814, 120.2633434038921 22.66639457771298, 120.26334770075846 22.666391313666782, 120.26451884943332 22.665501375079568, 120.26459273414939 22.66544526928558, 120.26468036143226 22.665377937335677, 120.26543691010554 22.664803412202897, 120.26574343867242 22.66457000590029, 120.26652014182407 22.663977504518083, 120.2675937248461 22.663162838232182, 120.26834216781111 22.662592778891494, 120.26905900587111 22.662047182869905, 120.26911502724116 22.662004541481135, 120.26981812685214 22.66146813563492, 120.2705155598035 22.66093847693526, 120.27070331841966 22.660794832673776, 120.2707880270161 22.660732000126142, 120.27082527694263 22.66070281787038, 120.27095807815279 22.660601822990458, 120.27122657850627 22.660397585220224, 120.27126794533066 22.660366165949064, 120.2713766292391 22.6602831212331, 120.2723320652467 22.65955594205396, 120.27313435279726 22.65894546798681, 120.27341902189093 22.658730013226304, 120.27363363893164 22.658566167894662, 120.27386886041653 22.6583866124444, 120.27402821708698 22.65826541450933, 120.2740234109943 22.65824523332456, 120.27395339463972 22.65795124362904, 120.27386418690396 22.65768442214543, 120.27385814134063 22.657503771528244, 120.27390969688216 22.657239846243694, 120.2739188173622 22.657095388969694, 120.27384932258501 22.656867038842577, 120.27387721530293 22.65667977021241, 120.27389816959727 22.656539882995933, 120.27390887474061 22.656469939388334, 120.273919591863 22.656397738760948, 120.27392588636441 22.656357127408498, 120.27393407570356 22.656302977938434, 120.27415286000502 22.656358156744623, 120.27431911318602 22.656399549349914, 120.2746036293798 22.6564730874046, 120.27487827473408 22.656544322418704, 120.2754039447078 22.656678979568124, 120.27543456225457 22.65668682277152))"
64000020032,1.0,高雄市,鼓山區,新民里,Xinmin Vil.,E,64000,E02,64000020,,1,0.207317073,0.37703252,0.415650407,204,371,409,,,,,103.63,2.39,28787.27,42.65,12.03,30.61,254.44,447,1067,543,524,0.0,0.0,0.0,0.0,0.0,0.0,228.0,121403.0,532.0,348.0,190.0,621.0,601.77,113.01,0.0,0.0,0.0,0.0,,3.317945659e-06,高雄市,鼓山區,新民里,3,"POLYGON ((120.27334478100789 22.622201486185713, 120.27300724158628 22.62239637827959, 120.27268072507079 22.622586393409396, 120.27266847424026 22.62259352137705, 120.27232941396912 22.62278840450517, 120.27200218559155 22.622977082675668, 120.27199141674463 22.622983291648623, 120.27203607287439 22.62304671021994, 120.27215186458211 22.623219733052878, 120.27245435750288 22.623671734980643, 120.27278341173498 22.62416540858793, 120.27285876616311 22.624278486805178, 120.27304141231916 22.62455256689911, 120.27321803055648 22.624817601044185, 120.2733256263992 22.624624363116887, 120.27341490045406 22.624464031010888, 120.27362107469833 22.624277573937835, 120.27411501432685 22.624083386600272, 120.27431762012539 22.624058422531665, 120.27443399928863 22.624044082492805, 120.2745261808349 22.62403272446233, 120.2746275692371 22.62402023142912, 120.27459393161385 22.62380557483686, 120.27459108473006 22.62378740395592, 120.27457674531458 22.623695901555433, 120.27457021358049 22.62365422182835, 120.27438505357787 22.623382459753884, 120.27433162572149 22.62330428030566, 120.27431385910099 22.623278282488908, 120.27414302945355 22.62337663404103, 120.27413487656631 22.623381328019743, 120.27406474605985 22.62327715575047, 120.27402614587974 22.623219582153325, 120.27354550091084 22.62250267012403, 120.2733600436984 22.6222243870295, 120.27334478100789 22.622201486185713))"
64000030024,0.0,高雄市,左營區,聖南里,Shengnan Vil.,E,64000,E03,64000030,,1,0.248091603,0.356870229,0.395038168,130,187,207,,,,,102.1,2.59,19651.17,50.52,13.8,36.72,266.04,223,578,292,286,0.0,0.0,0.0,0.0,0.0,0.0,123.0,76735.0,624.0,396.0,205.0,706.0,659.79,105.76,0.0,0.0,0.0,0.0,,2.529544774e-06,高雄市,左營區,聖南里,2,"POLYGON ((120.29038155092505 22.684964260049586, 120.29036590719882 22.68484226927273, 120.2906834969019 22.68443953125572, 120.29076405095184 22.6842095921101, 120.29077163055405 22.684184789767176, 120.29083974961775 22.683918671047884, 120.29088886215563 22.68365246827193, 120.29091355218259 22.6833748682747, 120.29090931807512 22.683103913065608, 120.290870357881 22.682844094089212, 120.2907307520742 22.68284347586268, 120.29055150317414 22.682842681571874, 120.29051510179973 22.683061525964767, 120.29041172336213 22.683205566412603, 120.28998333886116 22.68339106398487, 120.28977428279751 22.683505284228403, 120.2894010385912 22.683819718889264, 120.28913893686371 22.68392918787282, 120.28915272282418 22.683957455282062, 120.28964210999682 22.684960978107387, 120.28986178792663 22.685413513978926, 120.28994590446003 22.685585479622688, 120.2899942358481 22.685648912653537, 120.2900253919884 22.685533903131716, 120.29040158184735 22.68512013732344, 120.29038155092505 22.684964260049586))"
64000040009,0.0,高雄市,楠梓區,錦屏里,Jinping Vil.,E,64000,E04,64000040,,1,0.275734053,0.40398245,0.320283496,817,1197,949,,,,1.0,103.5,2.74,12435.66,37.59,9.38,28.22,300.92,1169,3199,1627,1572,0.0,0.0,0.0,0.0,0.0,0.0,893.0,526409.0,589.0,399.0,196.0,771.0,610.87,103.63,1.0,0.0,0.0,0.0,1.0,2.268922546e-05,高雄市,楠梓區,錦屏里,19,"POLYGON ((120.31359214635198 22.719300520545936, 120.31357574095013 22.719060686946648, 120.31357499820356 22.719049821511756, 120.31349088755404 22.718901723632722, 120.31342845325486 22.718791791528652, 120.31339575968535 22.71873552090727, 120.31334823021356 22.71865371509727, 120.31331987891369 22.718624561593323, 120.31304393439103 22.718340815967046, 120.3128940276953 22.71811663929562, 120.31281760299113 22.7179492257848, 120.31279258149111 22.717872253461504, 120.31269118459008 22.717560324999155, 120.31258600187245 22.71724376731697, 120.31255281057582 22.717221123014113, 120.31253133267742 22.71720646917114, 120.31234287432169 22.71707789377821, 120.31225016485358 22.716973631545983, 120.31220958510653 22.716936368582815, 120.31219581287057 22.716923722916636, 120.31224321667614 22.71684264335509, 120.31236925835861 22.716669330186654, 120.31257874127202 22.71645816092583, 120.31267927031926 22.716356822914168, 120.31284742910302 22.716185949511033, 120.31288994029758 22.716142609647264, 120.31298195756162 22.71604879877919, 120.31304624821843 22.71599087772154, 120.31329623003619 22.715765660617887, 120.31333059729708 22.7157364571116, 120.3141252361267 22.71513702491452, 120.31406563701199 22.71509840191176, 120.31363420382057 22.714818810396693, 120.3135600352549 22.71477784912716, 120.31339047512789 22.714682288874076, 120.31336565355197 22.71465316161646, 120.31328502017246 22.714558541529897, 120.31319542329635 22.71445340398671, 120.31319334610073 22.714412752647977, 120.31313931107493 22.714299626301592, 120.31295981110222 22.713930821077714, 120.3128831906569 22.713772438970146, 120.31279269318038 22.713586469787927, 120.3127885014821 22.713577854455092, 120.31266561217097 22.712879643280495, 120.31225378713131 22.713024628603765, 120.31210829541062 22.713073675297853, 120.31209931667287 22.713076824283004, 120.31188570092164 22.713151738931522, 120.3108173875212 22.713521932089627, 120.31074441370878 22.71354645294254, 120.30990346309487 22.71382730722419, 120.30906512964815 22.714108739618947, 120.30903361061418 22.714119320559792, 120.3092487908549 22.714759230309525, 120.30939610163254 22.715195637493384, 120.30991222917523 22.716721936345014, 120.30998086400557 22.71692544207397, 120.3100004182438 22.71698340956111, 120.31023562490812 22.717680677502127, 120.31042983305407 22.71825838933447, 120.31043478059685 22.71827310496743, 120.31043829727273 22.718283512415297, 120.31060592575459 22.718779610776032, 120.31061688514373 22.718789634305207, 120.31085891460914 22.71901100899927, 120.31153297512964 22.71959194026072, 120.31194656282032 22.719948212487818, 120.31221531253958 22.720180001014107, 120.31258811217445 22.72050152841805, 120.31315847610888 22.720993442107932, 120.31320686528262 22.721035175375782, 120.31341754188743 22.7211218825399, 120.31486981436788 22.72172195525959, 120.3148528308307 22.7216869636589, 120.31464248786745 22.72125359584734, 120.31449086467714 22.720945870764854, 120.31438434628772 22.720651887825486, 120.31435778690553 22.720579520637184, 120.31428067512724 22.720245022502734, 120.31414351290267 22.719996064949, 120.31398003328913 22.719717640907934, 120.31387305020961 22.71963815440491, 120.31376190482044 22.719532751835303, 120.31371104483907 22.719484520287715, 120.31368170957845 22.719456699818597, 120.31359214635198 22.719300520545936))"
64000040031,0.0,高雄市,楠梓區,裕昌里,Yuchang Vil.,E,64000,E04,64000040,,1,0.322600492,0.429655455,0.247744053,1573,2095,1208,,,,1.0,95.16,2.66,23511.59,39.34,23.39,15.96,68.23,2199,5851,2853,2998,0.0,0.0,0.0,0.0,0.0,0.0,1633.0,1127756.0,691.0,496.0,246.0,936.0,806.57,116.79,0.0,0.0,0.0,0.0,1.0,2.1343327389e-05,高雄市,楠梓區,裕昌里,5,"POLYGON ((120.29037861931877 22.717176454082768, 120.29025481083444 22.716173416474927, 120.290114679547 22.715238047651145, 120.28990280287788 22.713841762461836, 120.2898893056795 22.713854747591867, 120.28918800123469 22.71452947891629, 120.2884403647917 22.715262202942203, 120.28841116470171 22.715291424167372, 120.28838225918064 22.715352255903042, 120.28835350465901 22.715413089636815, 120.28826914974911 22.715579793583128, 120.28817920103312 22.715739698346255, 120.28808287763555 22.715897316989945, 120.28806769283774 22.715922085245328, 120.2879812534656 22.716050396486377, 120.2878732416654 22.71620344789526, 120.28775994205428 22.71634970111886, 120.28763966776671 22.71649175018124, 120.2875153116484 22.716628923098757, 120.28747463532542 22.716671640551468, 120.28741912426786 22.7167300978653, 120.2873844141084 22.716766067667525, 120.28722838634776 22.7169098757001, 120.28706860467992 22.717015281471312, 120.28674784446633 22.717221571833907, 120.28655296261371 22.717320047015527, 120.28543650594021 22.718017247746605, 120.28493685082364 22.718317563058235, 120.28504106591306 22.718399313653155, 120.285267978171 22.71857644346826, 120.28539199917155 22.718651509070423, 120.28551176237606 22.718726555633232, 120.28575282065455 22.718874395717634, 120.28599369191592 22.71902900903031, 120.28621206521352 22.719166695598183, 120.28623533607028 22.719181368299008, 120.28647897005587 22.719331476536134, 120.2867223000003 22.71948158478862, 120.28682241601412 22.71954067569375, 120.28696899869712 22.719627190952583, 120.28703965116857 22.71967040705546, 120.2872166112906 22.71977280114435, 120.28733049156277 22.71983878842702, 120.28745922907508 22.719913873158042, 120.28770930141519 22.72005463125767, 120.28796516539158 22.72019350337637, 120.28805904060314 22.720245854037234, 120.28821708551445 22.72033010039854, 120.28847313635602 22.720462199338442, 120.28872158254627 22.720594263213055, 120.2889799161628 22.720726372211665, 120.28917955378071 22.72082660857226, 120.28923416693495 22.7208539450378, 120.28949481731371 22.720979289877555, 120.28975364273872 22.721104624713792, 120.28991219239624 22.72117984085909, 120.29001490198365 22.72122997159313, 120.29027679313998 22.721350804349647, 120.29054021816353 22.721469385065813, 120.29065675596507 22.721521835041685, 120.29094949535104 22.721649694403826, 120.29099622785317 22.721670105580845, 120.29099288602455 22.721646890787756, 120.2907071742334 22.719662255131706, 120.29069374087975 22.719568940957682, 120.29064249929122 22.71915326491516, 120.29058004618163 22.71864045061371, 120.29055471233237 22.71842132423941, 120.29049373612632 22.71797625217453, 120.29038569100382 22.71722558774576, 120.29037861931877 22.717176454082768))"
64000060011,0.0,高雄市,新興區,永寧里,Yongning Vil.,E,64000,E06,64000060,,1,0.399406088,0.412026726,0.188567186,538,555,254,,,,2.0,90.93,2.18,14613.74,49.95,12,37.95,316.1,676,1474,702,772,1.0,286.0,0.0,0.0,0.0,0.0,480.0,445678.0,928.0,569.0,263.0,1146.0,1190.46,128.21,0.0,0.0,0.0,0.0,2.0,8.954331033e-06,高雄市,新興區,永寧里,3,"POLYGON ((120.30825234477966 22.62551679363764, 120.30818333115998 22.625493858985916, 120.30804244493768 22.625447039653864, 120.30747432309273 22.625258240259857, 120.30621589302034 22.624837371673255, 120.30496195685987 22.624419898871537, 120.3049585228789 22.624418755841884, 120.30490227183819 22.62456476278348, 120.30467283146992 22.625160302033592, 120.30460568621562 22.625340490359832, 120.30457791710948 22.625415012082353, 120.30449133968942 22.625674273219374, 120.30441447821136 22.625935833457078, 120.30435552963189 22.62620198787252, 120.30431533713374 22.626727861455915, 120.30431935286909 22.62680510948921, 120.3043454831491 22.627307693703177, 120.30434915090798 22.62737823073286, 120.30498198707915 22.627399041656886, 120.3057605816095 22.62742273893997, 120.3070385799242 22.627462142880763, 120.30706438680949 22.627462927121726, 120.30738524738489 22.627472675116994, 120.30750637984971 22.627475457248075, 120.30782807042347 22.627484847249914, 120.30787189722923 22.6274861276588, 120.30786836537708 22.62743700465809, 120.30785257103891 22.627217376654198, 120.30788201362137 22.626953352104987, 120.30796605811463 22.62625834236669, 120.30804248129799 22.626060388232897, 120.30825234477966 22.62551679363764))"
64000080029,0.0,高雄市,苓雅區,林西里,Linxi Vil.,E,64000,E08,64000080,,1,0.317639674,0.435655995,0.246704331,506,694,393,,,1.0,,89.64,2.26,22109.99,48.73,9.17,39.56,431.43,755,1703,805,898,0.0,0.0,0.0,0.0,0.0,0.0,494.0,366777.0,742.0,454.0,228.0,894.0,940.23,126.64,0.0,0.0,0.0,1.0,,6.620066164e-06,高雄市,苓雅區,林西里,1,"POLYGON ((120.32207110789611 22.61964511247966, 120.32200992899737 22.619624754090246, 120.32062112740601 22.619162592225308, 120.31921532105702 22.61869379520922, 120.31774848426049 22.61833535110502, 120.31759930924828 22.618718525004336, 120.31745458519235 22.61909268698818, 120.31726036943522 22.619597311934402, 120.31725426747369 22.619613165807184, 120.31867891084423 22.62008451494854, 120.32008367747089 22.620551055905764, 120.32147129433943 22.621012631703206, 120.32153427924764 22.621033582101397, 120.32173426865258 22.62051515833987, 120.3219245491075 22.620023785369945, 120.32207110789611 22.61964511247966))"
64000080030,1.0,高雄市,苓雅區,林中里,Linzhong Vil.,E,64000,E08,64000080,,1,0.357573608,0.417523945,0.224902448,1008,1177,634,,,,1.0,94.09,2.25,29571.1,46.16,9.57,36.59,382.32,1346,3024,1466,1558,0.0,0.0,0.0,0.0,0.0,0.0,946.0,656687.0,694.0,459.0,197.0,891.0,736.26,106.06,1.0,0.0,0.0,0.0,1.0,9.046321037e-06,高雄市,苓雅區,林中里,3,"POLYGON ((120.32153427924764 22.621033582101397, 120.32147129433943 22.621012631703206, 120.32008367747089 22.620551055905764, 120.31867891084423 22.62008451494854, 120.31725426747369 22.619613165807184, 120.3171480321378 22.61988815259804, 120.31708583452073 22.620048183310384, 120.31692094152257 22.6204741868916, 120.31675358151642 22.62090695142499, 120.31657189584499 22.62137803553075, 120.31653110419589 22.62148171563995, 120.3168245883197 22.621579462694072, 120.31708043890872 22.621664675319643, 120.31750321024705 22.621806648996543, 120.31796013155378 22.621959860885926, 120.31847609079604 22.62213138514985, 120.31935854056621 22.622424123720414, 120.32074416581239 22.622886576415464, 120.32081112473288 22.62290892383443, 120.32082401763907 22.62287549110575, 120.32103190710555 22.62233640448491, 120.32119987584085 22.621901380026372, 120.32136708355368 22.621466352567047, 120.32153427924764 22.621033582101397))"
