醫事機構名稱,機構縣市,機構地址,電話區域號碼,電話號碼,特約類別,型態別,醫事機構種類,門牌號碼,村里,X,Y
陳耳鼻喉科診所,金門縣,金門縣金城鎮民生路６１號,82,325199,4,7,A,金門縣金城鎮西門里25鄰民生路61號,西門里,-21934.195,2705951.727
新超群診所,金門縣,金門縣金城鎮民生路３７之２號,82,312446,4,7,A,金門縣金城鎮北門里2鄰民生路37之2號,北門里,-21899.99,2705872.342
惠明眼科診所,金門縣,金門縣金城鎮民生路２０號,82,320200,4,7,A,金門縣金城鎮北門里26鄰民生路20號,北門里,-21836.773,2705777.234
陳毅書皮膚科診所,金門縣,金門縣金城鎮珠浦北路５巷１２弄１３號,82,326787,4,7,A,金門縣金城鎮北門里20鄰珠浦北路5巷12弄13號,北門里,-21830.391,2705600.33
蔡建鑫小兒科家醫科診所,金門縣,金門縣金城鎮民生路１３號,82,372000,4,7,A,金門縣金城鎮北門里23鄰民生路13號,北門里,-21830.034,2705705.444
禾心診所,金門縣,金門縣金城鎮民生路９－７號,82,322180,4,7,A,金門縣金城鎮北門里24鄰民生路9之7號,北門里,-21824.044,2705687.145
長庚林小兒科診所,金門縣,金門縣金城鎮民生路９－４號,82,373505,4,7,A,金門縣金城鎮北門里24鄰民生路9之4號,北門里,-21820.689,2705676.288
金門縣金湖鎮衛生所,金門縣,金門縣金湖鎮成功７號之１,82,336662,4,7,A,金門縣金湖鎮正義里2鄰成功7之1號,正義里,-14759.029,2705992.33
彭小兒科診所,金門縣,金門縣金湖鎮新湖里５鄰市港路４８號,82,330156,4,7,A,金門縣金湖鎮新湖里27鄰市港路48號,新湖里,-12591.892,2705878.078
衛生福利部金門醫院,金門縣,金門縣金湖鎮復興路２號,82,332546,3,1,A,金門縣金湖鎮新市里2鄰復興路2號,新市里,-11853.334,2706260.74
衛生福利部澎湖醫院,澎湖縣,澎湖縣馬公市啟明里中正路１０號,6,9261151,3,1,A,澎湖縣馬公市啟明里10鄰中正路10號,啟明里,103546.423,2607533.026
林診所,澎湖縣,澎湖縣馬公市重慶街４號,6,9278130,4,7,A,澎湖縣馬公市重慶里14鄰重慶街4號,重慶里,103699.528,2607650.924
方淑菁診所,澎湖縣,澎湖縣馬公市文化路５９號,6,9260898,4,7,A,澎湖縣馬公市中興里4鄰文化路59號,中興里,103774.12,2608038.561
中興診所,澎湖縣,澎湖縣馬公市中興里樹德路２０－３號,6,9274261,4,7,A,澎湖縣馬公市中興里4鄰樹德路20號之3,中興里,103812.553,2608010.629
財團法人天主教靈醫會惠民醫院,澎湖縣,澎湖縣馬公市光復里樹德路１４號,6,9272318,3,2,A,澎湖縣馬公市光復里21鄰樹德路14號,光復里,103893.584,2608016.984
林建成皮膚科診所,澎湖縣,澎湖縣馬公市漁隆路３５號,6,9271648,4,7,A,澎湖縣馬公市光復里1鄰漁隆路35號,光復里,104003.417,2607749.293
何家庭醫學專科診所,澎湖縣,澎湖縣馬公市新生路８５號,6,9279218,4,7,A,澎湖縣馬公市光復里10鄰新生路85號,光復里,104068.988,2608013.612
沈景發復健科診所,澎湖縣,澎湖縣馬公市光復里９鄰北辰街７號,6,9262749,4,7,A,澎湖縣馬公市光復里9鄰北辰街7號,光復里,104100.577,2608187.302
江明儒耳鼻喉科診所,澎湖縣,澎湖縣馬公市大勇街６５號,6,9276768,4,7,A,澎湖縣馬公市陽明里24鄰大勇街65號,陽明里,104171.312,2608368.186
佳音眼科診所,澎湖縣,澎湖縣馬公市大勇街６３號,6,9279775,4,7,A,澎湖縣馬公市陽明里24鄰大勇街63號,陽明里,104174.653,2608365.382
建銘診所,澎湖縣,澎湖縣馬公市大勇街四十二號,6,9269098,4,7,A,澎湖縣馬公市陽明里23鄰大勇街42號,陽明里,104207.292,2608360.586
上明眼科診所,澎湖縣,澎湖縣馬公市大勇街２７號,6,9265488,4,7,A,澎湖縣馬公市陽明里25鄰大勇街27號,陽明里,104237.042,2608309.518
辛家庭醫學科診所,澎湖縣,澎湖縣馬公市中華路８２號,6,9268899,4,7,A,澎湖縣馬公市陽明里5鄰中華路82號,陽明里,104286.833,2608219.001
慈輝家醫科診所,澎湖縣,澎湖縣馬公市大勇街６號,6,9260669,4,7,A,澎湖縣馬公市陽明里20鄰大勇街6號,陽明里,104289.292,2608286.515
張維仁內科診所,澎湖縣,澎湖縣馬公市永安街２３號,6,9278066,4,7,A,澎湖縣馬公市陽明里22鄰永安街23號,陽明里,104293.276,2608409.336
康眼科診所,澎湖縣,澎湖縣馬公市中華路８２-１號,6,9272707,4,7,A,澎湖縣馬公市陽明里5鄰中華路82之1號,陽明里,104294.766,2608208.913
陳翠雯復健科診所,澎湖縣,澎湖縣馬公市陽明路８７－１號,6,9261212,4,7,A,澎湖縣馬公市陽明里21鄰陽明路87之1號,陽明里,104309.185,2608456.254
王大昆耳鼻喉科診所,澎湖縣,澎湖縣馬公市陽明路１１８號,6,9262899,4,7,A,澎湖縣馬公市朝陽里1鄰陽明路118號,朝陽里,104317.356,2608483.798
陽光小兒科診所,澎湖縣,澎湖縣馬公市朝陽路１８７號,6,9276661,4,7,A,澎湖縣馬公市朝陽里3鄰朝陽路187號,朝陽里,104412.58,2608581.603
吳榮旗診所,澎湖縣,澎湖縣馬公市陽明路４５－１號,6,9276116,4,7,A,澎湖縣馬公市陽明里15鄰陽明路45號之1,陽明里,104474.363,2608428.936
黃冠榮耳鼻喉科診所,澎湖縣,澎湖縣馬公市陽明里中華路１８１號,6,9272860,4,7,A,澎湖縣馬公市陽明里14鄰中華路181號,陽明里,104477.705,2608332.731
胡迪文婦產科診所,澎湖縣,澎湖縣馬公市三多路１７７號,6,9264681,4,7,A,澎湖縣馬公市光榮里2鄰三多路177號,光榮里,104487.621,2608797.191
陳麒勛診所,澎湖縣,澎湖縣馬公市光榮里三多路１７５號,6,9265870,4,7,A,澎湖縣馬公市光榮里2鄰三多路175號,光榮里,104494.077,2608792.288
周明河小兒科診所,澎湖縣,澎湖縣馬公市陽明里陽明路３３號,6,9264080,4,7,A,澎湖縣馬公市陽明里15鄰陽明路33號,陽明里,104505.1,2608428.602
徐政彥骨科診所,澎湖縣,澎湖縣馬公市陽明路２５號,6,9268992,4,7,A,澎湖縣馬公市陽明里15鄰陽明路25號,陽明里,104521.905,2608426.956
陳友邦家庭醫學科診所,澎湖縣,澎湖縣馬公市中華路２１６號,6,9274107,4,7,A,澎湖縣馬公市陽明里11鄰中華路216號,陽明里,104630.86,2608356.537
顏忠民診所,澎湖縣,澎湖縣馬公市朝陽里林森路４７號,6,9275569,4,7,A,澎湖縣馬公市朝陽里19鄰林森路47號,朝陽里,104765.899,2608584.478
李子林婦產科診所,澎湖縣,澎湖縣馬公市朝陽里朝陽路７７號,6,9263456,4,7,A,澎湖縣馬公市朝陽里25鄰朝陽路77號,朝陽里,104779.98,2608489.998
林國樑診所,澎湖縣,澎湖縣馬公市惠民新村３０號,6,9279587,4,7,A,澎湖縣馬公市西文里18鄰惠民新村30號,西文里,105020.497,2608209.007
