COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位面積合計,不含車位面積未滿5年,不含車位面積5-未滿10年,不含車位面積10-未滿20年,不含車位面積20-未滿30年,不含車位面積30-未滿40年,不含車位面積40-未滿50年,不含車位面積50年以上,不含車位面積不詳,不含車位中位數房價合計,不含車位中位數房價未滿5年,不含車位中位數房價5-未滿10年,不含車位中位數房價10-未滿20年,不含車位中位數房價20-未滿30年,不含車位中位數房價30-未滿40年,不含車位中位數房價40-未滿50年,不含車位中位數房價50年以上,不含車位中位數房價不詳,不含車位交易單價中位數合計,不含車位交易單價中位數未滿5年,不含車位交易單價中位數5-未滿10年,不含車位交易單價中位數10-未滿20年,不含車位交易單價中位數20-未滿30年,不含車位交易單價中位數30-未滿40年,不含車位交易單價中位數40-未滿50年,不含車位交易單價中位數50年以上,不含車位交易單價中位數不詳,含車位面積合計,含車位面積未滿5年,含車位面積5-未滿10年,含車位面積10-未滿20年,含車位面積20-未滿30年,含車位面積30-未滿40年,含車位面積40-未滿50年,含車位面積50年以上,含車位面積不詳,含車位中位數房價合計,含車位中位數房價未滿5年,含車位中位數房價5-未滿10年,含車位中位數房價10-未滿20年,含車位中位數房價20-未滿30年,含車位中位數房價30-未滿40年,含車位中位數房價40-未滿50年,含車位中位數房價50年以上,含車位中位數房價不詳,含車位交易單價中位數合計,含車位交易單價中位數未滿5年,含車位交易單價中位數5-未滿10年,含車位交易單價中位數10-未滿20年,含車位交易單價中位數20-未滿30年,含車位交易單價中位數30-未滿40年,含車位交易單價中位數40-未滿50年,含車位交易單價中位數50年以上,含車位交易單價中位數不詳,資料時間
65000,新北市,65000010,板橋區,37010.31,16945.15,1542.11,2799.21,3193.22,2648.24,3864.25,131.81,5886.31,10600000,12550000,12380000,10320000,9650000,10500000,8390000,3550000,8500000,424343.66,437755.99,529767.13,497073.92,418551.2,352831.8,353686.72,470749.91,328036.23,9883.44,3163.38,1383.46,2777.67,2308.43,121.5,0,0,129.0,17000000,15575000,20000000,19000000,16980000,13500000,0,0,18400000,387109.5,387493.89,476559.95,387708.14,356061.77,226890.29,0,0,437915.38,"109Y3S"
65000,新北市,65000020,三重區,32411.0,16310.88,1979.95,1724.15,3937.92,3870.75,2965.4,1198.57,423.38,11170000,12905000,14925000,11880000,8800000,7900000,6590000,7800000,14505000,434346.64,475592.66,490869.93,417009.06,370531.47,302701.79,315399.78,345686.28,437653.91,12226.08,1574.6,1709.78,2730.41,6094.22,117.06,0,0,0,19350000,16440000,22100000,17235000,23870307,15200000,0,0,0,353260.14,388235.63,415173.46,356768.71,269851.43,358264.39,0,0,0,"109Y3S"
65000,新北市,65000030,中和區,33412.91,12862.55,1407.43,3677.23,5606.39,4151.27,5409.58,257.08,41.38,10800000,17845000,12850000,11180000,10000000,9250000,8080000,10750000,6640000,424620.89,466450.17,502507.6,436381.0,417009.28,320790.94,344165.57,401976.03,358802.94,10470.18,1017.35,1116.64,4510.6,3592.91,232.67,0,0,0,17000000,21460000,22300000,16550000,15800000,18000000,0,0,0,358468.94,413137.07,409163.61,349840.83,340669.7,312633.36,0,0,0,"109Y3S"
65000,新北市,65000040,永和區,19749.71,9462.99,660.32,891.31,2041.29,1895.07,4628.42,0,170.33,13815000,25320000,11320000,14240000,9200000,11000000,10500000,0,16250000,510933.53,601306.09,601958.27,486830.63,471080.38,407819.53,388915.9,0,678280.43,3044.67,351.76,210.41,740.37,1634.06,108.08,0,0,0,19275000,28690000,24880000,19400000,18580000,22295000,0,0,0,421119.12,531510.08,546730.25,441436.61,392671.63,416234.43,0,0,0,"109Y3S"
65000,新北市,65000050,新莊區,49877.79,30260.35,3861.02,1785.44,4482.0,5110.35,4070.15,200.61,107.88,11455000,15000000,15700000,10000000,8580000,7800000,6660000,9500000,7000000,405045.11,436451.25,406116.11,347321.94,313090.96,266498.12,299992.67,520911.6,317645.79,15402.17,3239.12,4671.92,2854.7,4401.47,234.94,0,0,0,14500000,11150000,19320000,15700000,13250000,11500000,0,0,0,320515.81,305656.23,362476.44,329298.22,277751.9,245320.16,0,0,0,"109Y3S"
65000,新北市,65000060,新店區,33574.57,8121.45,2860.28,8729.39,4336.75,6040.33,2654.86,160.36,671.16,12000000,15090000,21700000,14600000,8690000,8380000,10880000,13000000,12590000,369237.03,389972.31,563431.47,380170.89,313392.23,263342.2,387548.08,496472.27,414985.57,16768.47,1464.37,1787.78,6579.27,4812.1,2069.52,55.42,0,0,14950000,18915000,24180000,16350000,12300000,10380000,7000000,0,0,334965.64,438706.91,481382.53,375372.59,271864.84,188967.37,126298.96,0,0,"109Y3S"
65000,新北市,65000070,樹林區,12032.74,1323.76,1221.9,2193.7,2499.16,1908.47,833.19,0,2052.56,7200000,20300000,19475000,12340000,6890000,6220000,5300000,0,4750000,259332.08,296347.37,251265.89,317598.94,261561.21,226171.65,239201.29,0,226014.72,6899.67,432.49,1239.55,3927.93,1299.71,0,0,0,0,12000000,13680000,22300000,12175000,10750000,0,0,0,0,266922.63,304019.38,271630.29,271435.92,223858.93,0,0,0,0,"109Y3S"
65000,新北市,65000080,鶯歌區,10434.96,5323.61,1524.92,447.95,1320.32,385.78,84.44,0,1347.93,6865000,7080000,21780000,10500000,5700000,4200000,7650000,0,5450000,205701.71,227764.72,258402.2,184521.56,166868.09,160393.05,262119.16,0,176653.57,4214.9,2498.66,495.38,750.08,470.77,0,0,0,0,8690000,9145000,10160000,7800000,7095000,0,0,0,0,192004.75,205353.97,188553.19,166527.54,160685.55,0,0,0,0,"109Y3S"
65000,新北市,65000090,三峽區,8906.27,2344.77,837.02,1732.72,2752.57,758.69,0,82.19,398.32,6975000,9125000,9090000,9595000,5630000,5850000,0,4500000,5000000,265856.11,274259.74,307787.67,323702.48,226195.06,188973.93,0,148175.04,236473.18,7259.16,1264.78,1408.25,4026.12,560.01,0,0,0,0,12400000,10425000,15975000,13300000,8050000,0,0,0,0,264585.35,232496.79,268699.33,275693.35,209095.91,0,0,0,0,"109Y3S"
