COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF01_C9,LINF01_C10,LINF01_C11,LINF01_C12,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF02_C9,LINF02_C10,LINF02_C11,LINF02_C12,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF03_C9,LINF03_C10,LINF03_C11,LINF03_C12,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF04_C9,LINF04_C10,LINF04_C11,LINF04_C12,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位面積建物型態總計,不含車位面積公寓,不含車位面積透天厝,不含車位面積店面(店舖),不含車位面積辦公商業大樓,不含車位面積住宅大樓,不含車位面積華廈,不含車位面積套房,不含車位面積工廠,不含車位面積廠辦,不含車位面積農舍,不含車位面積倉庫,不含車位面積其他,不含車位中位數房價建物型態總計,不含車位中位數房價公寓,不含車位中位數房價透天厝,不含車位中位數房價店面(店舖),不含車位中位數房價辦公商業大樓,不含車位中位數房價住宅大樓,不含車位中位數房價華廈,不含車位中位數房價套房,不含車位中位數房價工廠,不含車位中位數房價廠辦,不含車位中位數房價農舍,不含車位中位數房價倉庫,不含車位中位數房價其他,含車位面積建物型態總計,含車位面積公寓,含車位面積透天厝,含車位面積店面(店舖),含車位面積辦公商業大樓,含車位面積住宅大樓,含車位面積華廈,含車位面積套房,含車位面積工廠,含車位面積廠辦,含車位面積農舍,含車位面積倉庫,含車位面積其他,含車位中位數房價建物型態總計,含車位中位數房價公寓,含車位中位數房價透天厝,含車位中位數房價店面(店舖),含車位中位數房價辦公商業大樓,含車位中位數房價住宅大樓,含車位中位數房價華廈,含車位中位數房價套房,含車位中位數房價工廠,含車位中位數房價廠辦,含車位中位數房價農舍,含車位中位數房價倉庫,含車位中位數房價其他,資料時間
65000,新北市,65000010,板橋區,37010.31,10511.38,1188.31,21.45,0,23400.04,1851.16,37.96,0,0,0,0,0,10600000,8600000,14500000,11100000,0,12000000,10600000,7150000,0,0,0,0,0,9883.44,121.5,0,0,0,8844.19,917.75,0,0,0,0,0,0,17000000,13500000,0,0,0,17270000,14325000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000020,三重區,32411.0,7530.08,1239.16,0,0,20735.1,2684.86,15.66,0,206.14,0,0,0,11170000,7100000,14300000,0,0,12680000,12000000,6000000,0,20250000,0,0,0,12226.08,28.16,0,0,0,7192.13,5005.78,0,0,0,0,0,0,19350000,10000000,0,0,0,17600000,25740614,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000030,中和區,33412.91,9417.31,528.47,0,0,20789.68,2634.28,43.16,0,0,0,0,0,10800000,8600000,26150000,0,0,13760000,11330000,5200000,0,0,0,0,0,10470.18,228.95,0,0,90.79,7418.02,2686.92,45.49,0,0,0,0,0,17000000,13680000,0,0,32680000,18180000,16680000,8635000,0,0,0,0,0,"109Y3S"
65000,新北市,65000040,永和區,19749.71,5879.59,180.62,19.86,0,12723.54,934.69,11.42,0,0,0,0,0,13815000,10500000,16250000,15480000,0,19440000,9800000,5300000,0,0,0,0,0,3044.67,0,0,0,0,2512.51,532.16,0,0,0,0,0,0,19275000,0,0,0,0,19250000,21000000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000050,新莊區,49877.79,7320.7,2150.91,0,27.38,37329.94,2969.46,45.56,0,0,0,0,33.84,11455000,7000000,15000000,0,11960000,13800000,8300000,5600000,0,0,0,0,8445000,15402.17,133.41,200.39,0,0,11648.4,3316.99,0,0,102.98,0,0,0,14500000,14000000,22500000,0,0,15140000,13300000,0,0,26000000,0,0,0,"109Y3S"
65000,新北市,65000060,新店區,33574.57,7801.37,3298.99,60.44,0,18891.88,3506.4,15.48,0,0,0,0,0,12000000,8750000,17000000,29000000,0,15160000,9950000,1080000,0,0,0,0,0,16768.47,1266.15,5031.16,0,0,6958.8,3207.89,0,0,245.62,0,0,58.85,14950000,10000000,14800000,0,0,17600000,13500000,0,0,37325000,0,0,9800000,"109Y3S"
65000,新北市,65000070,樹林區,12032.74,3420.85,3021.22,0,0,3617.28,1973.4,0,0,0,0,0,0,7200000,5800000,20700000,0,0,10095000,8280000,0,0,0,0,0,0,6899.67,86.35,1093.83,0,0,4349.89,1369.6,0,0,0,0,0,0,12000000,7500000,26142857,0,0,11840000,11050000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000080,鶯歌區,10434.96,951.2,2747.6,0,0,5329.0,1407.16,0,0,0,0,0,0,6865000,4115000,9000000,0,0,6955000,7000000,0,0,0,0,0,0,4214.9,113.92,1318.68,0,0,1065.77,1716.53,0,0,0,0,0,0,8690000,7190000,26710000,0,0,10190000,7900000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000090,三峽區,8906.27,819.28,1475.37,57.76,0,4635.65,1918.23,0,0,0,0,0,0,6975000,4333332,6600000,17680000,0,7700000,7275000,0,0,0,0,0,0,7259.16,0,471.02,47.4,0,6019.94,720.81,0,0,0,0,0,0,12400000,0,18500000,16360000,0,12190000,12360000,0,0,0,0,0,0,"109Y3S"
