行政區別,市場名稱,公有民有,市場地址,電話,完整地址,X,Y
楠梓,楠梓,公有,高雄市楠梓區楠梓路116號,351-1036,高雄市楠梓區東寧里2鄰楠梓路116之35號,181069.662,2514589.199
左營,哈囉,公有,高雄市左營區左營下路262號,588-4660 583-0012,高雄市左營區尾北里11鄰左營下路262號,177931.821,2510219.466
左營,果貿,公有,高雄市左營區中華一路9號,582-6148,高雄市左營區果峰里7鄰中華一路9號,176797.473,2507771.043
左營,龍華,公有,高雄市左營區富國路60號,558-9765,高雄市左營區新上里40鄰富國路60號,178756.135,2506636.72
鼓山,鼓山第一,公有,高雄市鼓山區延平街87之13號,521-8178,高雄市鼓山區新民里15鄰延平街87之13號,175268.106,2502751.913
鼓山,鼓山第三,公有,高雄市鼓山區九如四路1460巷45號,583-0060,高雄市鼓山區光榮里9鄰九如四路1460巷45號,176081.909,2506733.018
鹽埕,鹽埕示範,公有,高雄市鹽埕區七賢三路123號,531-2683,高雄市鹽埕區中山里1鄰七賢三路123號,176185.277,2503067.916
鹽埕,鹽埕第一,公有,高雄市鹽埕區瀨南街141號之7號,551-4385,高雄市鹽埕區教仁里1鄰瀨南街141之6號,176225.978,2502935.912
旗津,旗津,公有,高雄市旗津區大關路540巷108號,571-6464,高雄市旗津區振興里1鄰大關路1之1號,174803.057,2501453.882
旗津,中興,公有,高雄市旗津區中港街10號,571-2517,高雄市旗津區中興里10鄰中港街10號,177739.484,2497284.947
旗津,旗后觀光市場,公有,高雄市旗津區旗津三路1050號,571-0825,高雄市旗津區慈愛里11鄰旗津三路1050號,174783.978,2501304.361
新興,新興第一,公有,高雄市新興區南華路40之4號,271-3306,高雄市新興區東坡里20鄰南華路40之4號,178317.23,2503496.6
新興,新興第二,公有,高雄市新興區南台路161之10號,287-3586,高雄市新興區建興里16鄰南臺路161之9號,177864.312,2504078.93
前金,前???金,公有,高雄市前金區大同二路28巷5之2號,271-3194,高雄市前金區民生里10鄰大同二路28巷5之2號,177551.079,2503190.907
三民,三民第一,公有,高雄市三民區中華三路285-39號,272-7639,高雄市三民區鳳南里14鄰中華三路285之39號,177310.07,2504091.99
三民,三民第二,公有,高雄市三民區建工路852巷26之1號,386-2641,高雄市三民區灣中里10鄰建工路852巷26號,179756.768,2505531.955
苓雅,苓雅,公有,高雄市苓雅區苓雅二路135號,334-9782,高雄市苓雅區鼓中里21鄰苓雅二路135號,177800.595,2502005.873
苓雅,國民,公有,高雄市苓雅區青年一路163之8號,332-4516 334-1744,高雄市苓雅區和煦里18鄰青年一路163之8號,178908.174,2502581.879
苓雅,中華,公有,高雄市苓雅區福安路369巷1號,723-5543,高雄市苓雅區福南里3鄰福安路369巷1號,180760.317,2503210.882
苓雅,林德官,公有,高雄市苓雅區四維二路151號,711-5983,高雄市苓雅區林中里18鄰四維二路151號,180029.041,2502613.174
苓雅,武廟,公有,高雄市苓雅區輔仁路123號,723-3738,高雄市苓雅區正大里19鄰輔仁路123號,181391.641,2503358.728
前鎮,前鎮第二,公有,高雄市前鎮區前鎮街291號,831-4787,高雄市前鎮區鎮陽里12鄰前鎮街291號,178823.132,2499291.788
鳳山,鳳山第一,公有,高雄市鳳山區成功里第一市場2號,746-2772,高雄市鳳山區成功里7鄰第一市場10號,184077.633,2502674.293
鳳山,鳳山第二,公有,高雄市鳳山區新興里民生路21號3樓,742-1501,高雄市鳳山區新興里7鄰民生路21號,184270.179,2502878.169
大寮,大發市場,公有,高雄市大寮區鳳林三路315-22號3F,無,高雄市大寮區會社里7鄰鳳林三路315之22號,188103.799,2500181.62
大樹,大樹市場,公有,高雄市大樹區大樹村中興南路113號,652-4307,高雄市大樹區大樹里2鄰中興南路111號,191724.2,2509881.74
大樹,九曲堂市場,公有,高雄市大樹區久堂村中興街市場巷21號,652-4307,高雄市大樹區久堂里28鄰中興街市場巷17號,190368.84,2506570.009
橋頭,橋頭市場,公有,高雄市橋頭區舊市巷14號,611-3503,高雄市橋頭區白樹里17鄰興樹路14號,178481.7,2517818.08
岡山,平安市場,公有,高雄市岡山區平和路民生街口,622-5264,高雄市岡山區岡山里11鄰平和路6號,177818.527,2521716.262
岡山,文賢市場,公有,高雄市岡山區岡山路239號,621-5816,高雄市岡山區平安里10鄰岡山路239號,177675.19,2521547.83
梓官,梓官第一,公有,高雄市梓官區中崙路市場巷78號,617-3430,高雄市梓官區梓義里2鄰中崙路市場巷78號,174854.51,2517955.99
彌陀,彌陀市場,公有,高雄市彌陀區中華路53號,無,高雄市彌陀區彌陀里11鄰中華路53號,172959.92,2520197.77
永安,永安市場,公有,高雄市永安區永安路2巷10號,無,高雄市永安區永安里2鄰永安路2巷2號,170381.753,2524424.163
茄萣,茄萣市場,公有,茄萣區嘉泰里頂漁路70號,無,高雄市茄萣區嘉泰里21鄰頂漁路70號,166151.959,2533303.946
湖內,湖內市場,公有,湖內區中正路二段325號,無,高雄市湖內區中賢里13鄰中正路二段322號,168811.513,2534350.591
阿蓮,阿蓮市場,公有,高雄市阿蓮區中山路30巷26號,無,高雄市阿蓮區清蓮里6鄰中山路30巷26號,181125.258,2531196.723
田寮,田寮市場,公有,高雄市田寮區崗北路24-1號(沒住址/旁邊住家→為接水電),無,高雄市田寮區南安里20鄰崗北路24之1號,184293.79,2530364.484
旗山,旗山市場,公有,高雄市旗山區湄洲里平和街12號,661-4714,高雄市旗山區湄洲里20鄰平和街12號,196894.622,2532118.776
美濃,美濃市場,公有,高雄市美濃區中正路二段50號,無,高雄市美濃區祿興里16鄰中正路二段30號,202824.562,2532472.041
甲仙,甲仙市場,公有,高雄市甲仙區和安街103號,無,高雄市甲仙區和安里4鄰和安街103號,207903.37,2553672.833
六龜,六龜市場,公有,高雄市六龜區四維街40號,無,高雄市六龜區義寶里24鄰四維街36之2號,212695.64,2543764.54
三民,建工市場,民有,高雄市三民區建工路384巷6號,381-0435,高雄市三民區本館里1鄰建工路384巷6號,181093.472,2505998.958
三民,新生市場,民有,高雄市三民區新民路170巷7號,383-6912,高雄市三民區灣利里27鄰新民路170巷7號,180395.621,2506088.966
三民,正忠市場,民有,高雄市三民區正忠路148號,384-0187,高雄市三民區寶興里9鄰正忠路144號,181187.766,2504856.926
三民,建興市場,民有,高雄市三民區建德路161號,380-6796,高雄市三民區寶龍里4鄰建德路161號,180580.926,2505218.941
三民,十全市場,民有,高雄市三民區遼寧二街188巷14號,558-7588,高雄市三民區德東里4鄰遼寧二街188巷14號,177828.918,2504982.955
三民,博愛市場,民有,高雄市三民區漢口街306號,322-8124,高雄市三民區安宜里7鄰漢口街306號,177834.926,2505600.973
三民,民生市場,民有,高雄市三民區瀋陽街145巷14號,316-3151,高雄市三民區達明里15鄰瀋陽街145巷14號,178764.288,2505050.95
三民,中都市場,民有,高雄市三民區中都街16號,312-5807,高雄市三民區力行里11鄰中都街15號,176698.03,2504513.952
三民,順盛市場,民有,高雄市三民區臥龍路52號,386-3949,高雄市三民區寶盛里7鄰臥龍路52號,181127.157,2504380.913
三民,民族市場,民有,高雄市三民區懷安街128巷11號二樓之3,384-3347,高雄市三民區安吉里22鄰懷安街128巷11號,179816.663,2504734.933
新興,中正市場,民有,高雄市新興區勃海街41號,226-0483,高雄市新興區勃海街41號,0,0
新興,民安市場,民有,高雄市新興區尚文街29號,無,高雄市新興區順昌里24鄰尚文街29號,179537.636,2504023.916
前金,自強市場,民有,高雄市前金區自強二路66巷18號,無,高雄市前金區長生里5鄰自強二路66巷18號,177679.685,2502843.896
苓雅,福東市場,民有,高雄市苓雅區漢昌街24巷21號,751-5416,高雄市苓雅區福康里13鄰漢昌街24巷24號,181162.132,2502321.929
苓雅,興中市場,民有,高雄市苓雅區興中一路429巷30號,331-3931,高雄市苓雅區廣澤里13鄰興中一路429巷30號,178603.844,2501867.862
苓雅,三和市場,民有,高雄市苓雅區廣州二街95巷11號,721-5725,高雄市苓雅區林興里9鄰廣州二街95巷11號,179982.37,2502104.379
苓雅,正義市場,民有,高雄市苓雅區文昌路16巷2號,749-2532,高雄市苓雅區正仁里12鄰文昌路16巷2號,182047.717,2503622.884
苓雅,頂好市場,民有,高雄市苓雅區福建街315號,226-8111,高雄市苓雅區林圍里14鄰福建街315號,179481.12,2502971.879
苓雅,正大市場,民有,高雄市苓雅區正心里正言路122號,,高雄市苓雅區正心里22鄰正言路122號,181316.266,2503910.898
鹽埕,大勇市場,民有,高雄市鹽埕區新化里大勇路8號,無,高雄市鹽埕區新化里6鄰大勇路8號,176204.671,2502411.896
左營,大眾市場,民有,高雄市左營區重安路1巷18號二樓,341-2808,高雄市左營區新下里22鄰重安路1巷16號,177989.668,2508479.052
前鎮,中山市場,民有,高雄市前鎮區中山市場內16號,331-6779,高雄市前鎮區明正里17鄰明道五街16號,180634.201,2498213.427
前鎮,允棟市場,民有,高雄市前鎮區鎮榮街28號之1,831-8545,高雄市前鎮區鎮榮里16鄰鎮榮街28之1號,179254.801,2499099.574
前鎮,憲德市場,民有,高雄市前鎮區瑞和街憲德市場巷8號,761-9210,高雄市前鎮區瑞西里6鄰瑞和街280巷8號,180702.087,2500761.814
前鎮,瑞興市場,民有,高雄市前鎮區崗山南街26號,727-0224,高雄市前鎮區瑞隆里20鄰崗山南街26號,181649.255,2500655.804
鼓山,國泰市場,民有,高雄市鼓山區九如四路725巷5號,521-9110,高雄市鼓山區平和里12鄰九如四路725巷5號,175857.382,2505771.993
鼓山,永祥市場,民有,高雄市鼓山區大榮街186巷2弄8號,532-3430,高雄市鼓山區忠正里22鄰大榮街186巷2弄8號,175642.269,2506159.007
鼓山,瑞豐市場,民有,高雄市鼓山區華榮路543號之76,552-1977,高雄市鼓山區華豐里20鄰華榮路543號,177418.109,2507875.89
楠梓,右昌市場,民有,高雄市楠梓區右昌街187巷20號,361-2579,高雄市楠梓區福昌里1鄰右昌街187巷19號,176916.231,2512519.174
楠梓,楠都市場,民有,高雄市楠梓區楠都西巷147號,351-6138,高雄市楠梓區中陽里17鄰楠都西巷147號,180701.829,2514129.188
楠梓,亞洲高雄城,民有,高雄市楠梓區樂群路179巷14號之1,363-3495,高雄市楠梓區加昌里19鄰樂群路179巷14號,177730.301,2513325.191
楠梓,永興市場,民有,高雄市楠梓區和光街125巷51號,374-1637,高雄市楠梓區和昌里14鄰和光街125巷51號,177490.682,2512170.856
小港,明芳市場,民有,高雄市小港區明芳街61號,811-0486,高雄市小港區店鎮里7鄰明芳街61號,183372.934,2495998.66
小港,二苓市場,民有,高雄市小港區永義街27巷9號,801-8721,高雄市小港區三苓里4鄰永義街27巷9號,183147.622,2496398.673
小港,高松市場,民有,高雄市小港區松興路32巷5號,無,高雄市小港區高松里12鄰松興路32巷4號,185634.614,2497284.677
小港,小港第一,民有,高雄市小港區小港路232號,802-9084,高雄市小港區港南里7鄰小港路232號,181683.41,2496154.677
鳳山,中華市場,民有,高雄市鳳山區鎮西里忠義街2之1號,741-8358,高雄市鳳山區鎮西里29鄰忠義街2之1號,183801.399,2503241.819
鳳山,五甲國宅市場,民有,高雄市鳳山區國富里凱旋路280號2樓之4,763-3931,高雄市鳳山區國富里16鄰凱旋路280號,183086.14,2501663.72
鳳山,光榮市場,民有,高雄市鳳山區南江街153巷12號,715-6965,高雄市鳳山區正義里15鄰南江街153巷12號,182053.37,2500413.74
鳳山,南門市場,民有,高雄市鳳山區興仁里安寧街62巷11號,742-2356,高雄市鳳山區興仁里39鄰安寧街62巷11號,183650.179,2502316.93
