行政區,市場名稱,公有民有,市場地址,電話
三民,建工市場,民有,高雄市三民區建工路384巷6號,381-0435
三民,新生市場,民有,高雄市三民區新民路170巷7號,383-6912
三民,正忠市場,民有,高雄市三民區正忠路148號,384-0187
三民,建興市場,民有,高雄市三民區建德路161號,380-6796
三民,十全市場,民有,高雄市三民區遼寧二街188巷14號,558-7588
三民,博愛市場,民有,高雄市三民區漢口街306號,322-8124
三民,民生市場,民有,高雄市三民區瀋陽街145巷14號,316-3151
三民,中都市場,民有,高雄市三民區中都街16號,312-5807
三民,順盛市場,民有,高雄市三民區臥龍路52號,386-3949
三民,民族市場,民有,高雄市三民區懷安街128巷11號二樓之3,384-3347
新興,中正市場,民有,高雄市新興區勃海街41號,226-0483
新興,民安市場,民有,高雄市新興區尚文街29號,無
前金,自強市場,民有,高雄市前金區自強二路66巷18號,無
苓雅,福東市場,民有,高雄市苓雅區漢昌街24巷21號,751-5416
苓雅,興中市場,民有,高雄市苓雅區興中一路429巷30號,331-3931
苓雅,三和市場,民有,高雄市苓雅區廣州二街95巷11號,721-5725
苓雅,正義市場,民有,高雄市苓雅區文昌路16巷2號,749-2532
苓雅,頂好市場,民有,高雄市苓雅區福建街315號,226-8111
苓雅,正大市場,民有,高雄市苓雅區正心里正言路122號,
鹽埕,大勇市場,民有,高雄市鹽埕區新化里大勇路8號,無
左營,大眾市場,民有,高雄市左營區重安路1巷18號二樓,341-2808
前鎮,中山市場,民有,高雄市前鎮區中山市場內16號,331-6779
前鎮,允棟市場,民有,高雄市前鎮區鎮榮街28號之1,831-8545
前鎮,憲德市場,民有,高雄市前鎮區瑞和街憲德市場巷8號,761-9210
前鎮,瑞興市場,民有,高雄市前鎮區崗山南街26號,727-0224
鼓山,國泰市場,民有,高雄市鼓山區九如四路725巷5號,521-9110
鼓山,永祥市場,民有,高雄市鼓山區大榮街186巷2弄8號,532-3430
鼓山,瑞豐市場,民有,高雄市鼓山區華榮路543號之76,552-1977
楠梓,右昌市場,民有,高雄市楠梓區右昌街187巷20號,361-2579
楠梓,楠都市場,民有,高雄市楠梓區楠都西巷147號,351-6138
楠梓,亞洲高雄城,民有,高雄市楠梓區樂群路179巷14號之1,363-3495
楠梓,永興市場,民有,高雄市楠梓區和光街125巷51號,374-1637
小港,明芳市場,民有,高雄市小港區明芳街61號,811-0486
小港,二苓市場,民有,高雄市小港區永義街27巷9號,801-8721
小港,高松市場,民有,高雄市小港區松興路32巷5號,無
小港,小港第一,民有,高雄市小港區小港路232號,802-9084
鳳山,中華市場,民有,高雄市鳳山區鎮西里忠義街2之1號,741-8358
鳳山,五甲國宅市場,民有,高雄市鳳山區國富里凱旋路280號2樓之4,763-3931
鳳山,光榮市場,民有,高雄市鳳山區南江街153巷12號,715-6965
鳳山,南門市場,民有,高雄市鳳山區興仁里安寧街62巷11號,742-2356
鳳山,大明市場,民有,高雄市鳳山區新甲里大明路93號,766-1828
鳳山,自由市場,,高雄市鳳山區中和里自由路206號,799-7595
鳳山,通益市場,,高雄市鳳山區光復路一段6號,無
鳳山,北門市場,,高雄市鳳山區民興路51號,746-5586
鳳山,仁愛市場,,高雄市鳳山區仁愛路60巷81號,703-6039
鳳山,五福市場,,高雄市鳳山區五福里南近二街18號之1,703-7380
鳳山,五甲市場,,高雄市鳳山區鎮南里五甲二路545巷12號,812-3431
鳥松,高碼市場,,高雄市鳥松區仁美村高碼二路,無
鳥松,松益市場,,高雄市鳥松區鳥松村文前路市場巷,無
橋頭,陸成市場,,高雄市橋頭區東林村明德南巷10號,612-1667
大社,建興市場,,高雄市大社區三民路321巷18號,384-4873
