COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,й╩дёи╥,дс╢q,дHдf▒Kл╫,з▀╛iдё,з▀еодё,з▀ж╤дё,ж╤д╞л№╝╞,╕ъо╞о╔╢б
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-001,пdлJи╜,92.76,2.44,40488.66,45.45,20.29,25.15,123.93,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-002,мyк┌и╜,85.82,2.4,33383.42,52.08,22.62,29.46,130.26,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-003,иккQи╜,86.04,2.21,28640.39,49,23.28,25.73,110.53,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-004,╢└е█и╜,93.9,2.46,12606.54,55.12,27.32,27.8,101.79,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-005,╤║иqи╜,93.63,2.31,17256.8,53.48,23.03,30.45,132.23,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-006,┘ї┐│и╜,90.56,2.33,32814.14,39.22,16.01,23.22,145.04,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-007,╖s┐│и╜,91.96,2.12,37265.23,38.63,13.32,25.31,190.06,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-008,к└лси╜,130.1,1.78,58779.86,35.02,9.25,25.78,278.71,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-009,н╗к└и╜,98.71,2.71,18889.48,36.97,14.82,22.15,149.46,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-010,дде┐и╜,94.19,2.49,6792.33,37.73,18.91,18.83,99.58,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-011,ж█▒jи╜,95.58,2.56,62234.4,56.4,20.04,36.36,181.5,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-012,ж█е▀и╜,93.28,2.6,64716.61,42.84,15.31,27.53,179.87,109Y09M
