COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,дс╝╞,дHдf╝╞,иkй╩дHдf╝╞,дkй╩дHдf╝╞,╕ъо╞о╔╢б
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-001,пdлJи╜,686,1677,807,870,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-002,мyк┌и╜,639,1533,708,825,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-003,иккQи╜,441,973,450,523,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-004,╢└е█и╜,517,1272,616,656,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-005,╤║иqи╜,870,2006,970,1036,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-006,┘ї┐│и╜,2295,5349,2542,2807,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-007,╖s┐│и╜,1533,3248,1556,1692,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-008,к└лси╜,5463,9738,5506,4232,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-009,н╗к└и╜,1593,4316,2144,2172,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-010,дде┐и╜,2096,5216,2530,2686,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-011,ж█▒jи╜,2077,5316,2598,2718,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-012,ж█е▀и╜,1107,2874,1387,1487,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-013,е·╡╪и╜,1141,2805,1364,1441,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-014,░ъе·и╜,1555,3776,1804,1972,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-015,┤фз└и╜,1132,3049,1448,1601,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-016,кў╡╪и╜,1493,4120,2017,2103,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-017,┤ф╝wи╜,1943,4874,2383,2491,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-018,е┴┼vи╜,1094,2695,1291,1404,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-019,л╪░ъи╜,1440,3621,1740,1881,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-020,║~е═и╜,1705,4385,2125,2260,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-021,д╜БFи╜,1492,3987,1972,2015,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-022,╖sе┴и╜,1763,4645,2253,2392,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-023,йп║╓и╜,1527,4046,1980,2066,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-024,й╛╕█и╜,1783,4428,2127,2301,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-025,ж╩╣╪и╜,1229,2980,1380,1600,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-026,д╢╣╪и╜,1293,3278,1559,1719,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-027,╖sоHи╜,886,2129,1040,1089,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-028,╡╪ж┐и╜,3271,7969,3678,4291,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-029,ж┐╗Aи╜,2049,5249,2572,2677,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-030,п┬╗Aи╜,2094,5518,2654,2864,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-031,╖╦└Yи╜,2558,6269,3072,3197,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-032,┴p╗Aи╜,1677,3808,1778,2030,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-033,з╗╗Aи╜,2523,5539,2604,2935,109Y09M
