學校級別,代碼,學校名稱,縣市別,鄉鎮市區,郵遞區號,地址,電話,網址,體系別,"地區
屬性",X 坐標,Y 坐標
國民小學,11601,私立育才國小,新北市,永和區,234,新北市永和區福和路125巷20號,(02)29214630,http://www.ytes.ntpc.edu.tw,,,302652.009,2766660.929
國民小學,11602,私立聖心國小,新北市,八里區,249,新北市八里區龍米路一段261號,(02)26182330,http://lshes.com/school/,,,295410.89,2780719.612
國民小學,11603,私立及人國小,新北市,永和區,234,新北市永和區文化路172號,(02)29212145,http://www.cjps.ntpc.edu.tw,,,301678.825,2767610.333
國民小學,11604,私立竹林國小,新北市,永和區,234,新北市永和區竹林路34號,(02)29243919,http://www.clse.ntpc.edu.tw,,,302211.61,2767482.366
國民小學,11606,私立信賢種籽親子實小,新北市,烏來區,233,新北市烏來區信賢里娃娃谷41號,(02)26616648,http://www.seedling.tw,,,303428.701,2748019.135
國民小學,13601,市立北大國小,新北市,三峽區,237,新北市三峽區國光街100號,(02)86716836,http://www.bdes.ntpc.edu.tw/,,,287667.973,2759094.703
國民小學,13602,市立新林國小,新北市,林口區,244,新北市林口區三民路101號,(02)26086521,http://www.xles.ntpc.edu.tw/,,,286265.085,2773532.262
國民小學,14601,市立板橋國小,新北市,板橋區,220,新北市板橋區黃石里文化路一段23號,(02)29686834,http://www.pcps.ntpc.edu.tw,,,296246.844,2767052.676
國民小學,14602,市立國光國小,新北市,板橋區,220,新北市板橋區中正路325巷30號,(02)29680611,http://www.kkes.ntpc.edu.tw,,,295754.229,2768005.176
國民小學,14603,市立新埔國小,新北市,板橋區,220,新北市板橋區新翠里陽明街206號,(02)22571830,http://www.spes.ntpc.edu.tw,,,296684.732,2768724.168
國民小學,14604,市立埔墘國小,新北市,板橋區,220,新北市板橋區永豐街42之8號,(02)29616690,http://www.pces.ntpc.edu.tw,,,297846.572,2767863.315
國民小學,14605,市立莒光國小,新北市,板橋區,220,新北市板橋區華翠里莒光路163號,(02)22517272,http://www.jges.ntpc.edu.tw,,,297859.249,2768650.647
國民小學,14606,市立後埔國小,新北市,板橋區,220,新北市板橋區重慶路157號,(02)29614142,http://www.hpes.ntpc.edu.tw,,,296703.861,2766227.902
國民小學,14607,市立海山國小,新北市,板橋區,220,新北市板橋區漢生東路280號,(02)29545725,http://www.hsps.ntpc.edu.tw,,,297529.69,2766918.125
國民小學,14608,市立江翠國小,新北市,板橋區,220,新北市板橋區松翠里文化路二段413號,(02)22526880,http://www.ctes.ntpc.edu.tw,,,297849.499,2769446.988
國民小學,14610,市立文聖國小,新北市,板橋區,220,新北市板橋區文聖街86號,(02)22530782,http://www.wses.ntpc.edu.tw,,,298155,2769130.01
國民小學,14611,市立沙崙國小,新北市,板橋區,220,新北市板橋區篤行路二段132號,(02)26812764,http://www.sles.ntpc.edu.tw,,,293462.044,2764710.934
國民小學,14612,市立文德國小,新北市,板橋區,220,新北市板橋區新翠里英士路179號,(02)22577193,http://www.wdps.ntpc.edu.tw,,,296272.945,2768349.16
國民小學,14613,市立樹林國小,新北市,樹林區,238,新北市樹林區樹西里育英街176號,(02)26812014,http://www.slps.ntpc.edu.tw,,,292179.561,2764671.422
國民小學,14614,市立文林國小,新北市,樹林區,238,新北市樹林區潭底里千歲街59號,(02)26812625,http://www.twles.ntpc.edu.tw,,,293011.701,2765568.939
國民小學,14615,市立大同國小,新北市,樹林區,238,新北市樹林區大同里大同街43號,(02)86865486,http://www.ttps.ntpc.edu.tw,,,292151.146,2763772.376
國民小學,14616,市立武林國小,新北市,樹林區,238,新北市樹林區保安街二段151號,(02)26812475,http://www.wles.ntpc.edu.tw,,,291926.379,2766024.073
國民小學,14617,市立山佳國小,新北市,樹林區,238,新北市樹林區中山路三段5號,(02)26806673,http://www.sjes.ntpc.edu.tw,,,290561.01,2763126.013
國民小學,14618,市立育德國小,新北市,樹林區,238,新北市樹林區中山里佳園路一段34號,(02)26805557,http://www.ytps.ntpc.edu.tw,,,289628.669,2762611.033
國民小學,14619,市立柑園國小,新北市,樹林區,238,新北市樹林區柑園街一段353號,(02)26802507,http://www.gyes.ntpc.edu.tw,,,289327.977,2760923.761
國民小學,14620,市立鶯歌國小,新北市,鶯歌區,239,新北市鶯歌區同慶里尖山埔路106號,(02)26792038,http://www.ykes.ntpc.edu.tw,,,284915.324,2760414.761
國民小學,14621,市立二橋國小,新北市,鶯歌區,239,新北市鶯歌區二橋里中正三路106號,(02)26792364,http://www.eqes.ntpc.edu.tw,,,284096.926,2759270.861
國民小學,14622,市立中湖國小,新北市,鶯歌區,239,新北市鶯歌區中湖里中湖街25號,(02)86775640,http://www.chues.ntpc.edu.tw,,,285144.875,2762829.975
國民小學,14623,市立鳳鳴國小,新北市,鶯歌區,239,新北市鶯歌區鳳鳴里永和街120號,(02)26797554,http://www.fmes.ntpc.edu.tw,,,283828.806,2762401.163
國民小學,14624,市立三峽國小,新北市,三峽區,237,新北市三峽區中山路16號,(02)26711018,http://www.shps.ntpc.edu.tw,,,287332.396,2758577.156
國民小學,14625,市立大埔國小,新北市,三峽區,237,新北市三峽區大埔路130號,(02)26712523,http://www.tpps.ntpc.edu.tw,,,287019.248,2755387.426
國民小學,14626,市立民義國小,新北市,三峽區,237,新北市三峽區嘉添里白雞路40號,(02)26711895,https://www.myes.ntpc.edu.tw/,,,287895,2756020.01
國民小學,14627,市立成福國小,新北市,三峽區,237,新北市三峽區溪東里溪東路213號,(02)86764945,http://www.chenfu.ntpc.edu.tw,,,290972.543,2758440.121
國民小學,14628,市立大成國小,新北市,三峽區,237,新北市三峽區成福路251巷二號,(02)26726521,http://www.dces.ntpc.edu.tw,,,293178.845,2757451.385
國民小學,14629,市立建安國小,新北市,三峽區,237,新北市三峽區安坑里建安路67號,(02)26726783,http://www.caes.ntpc.edu.tw,,,295128,2757680.01
國民小學,14630,市立插角國小,新北市,三峽區,237,新北市三峽區插角里插角路39號,(02)26720230,http://www.cgps.ntpc.edu.tw,,偏遠,290946,2751700.01
國民小學,14631,市立有木國小,新北市,三峽區,237,新北市三峽區有木里131號,(02)26720067,http://www.ymps.ntpc.edu.tw,,偏遠,294197.958,2749594.617
國民小學,14632,市立五寮國小,新北市,三峽區,237,新北市三峽區五寮里69號,(02)26720298,http://www.wres.ntpc.edu.tw,,偏遠,286363.234,2750211.856
國民小學,14633,市立中和國小,新北市,中和區,235,新北市中和區中和路100號,(02)22492550,http://www.jhes.ntpc.edu.tw,,,300633.077,2765855.76
國民小學,14634,市立復興國小,新北市,中和區,235,新北市中和區復興路301巷6號,(02)22472993,http://www.fsps.ntpc.edu.tw,,,300669.453,2764724.521
國民小學,14635,市立興南國小,新北市,中和區,235,新北市中和區興南路一段135巷24號,(02)29422349,http://www.hnps.ntpc.edu.tw,,,301397.297,2764404.227
國民小學,14636,市立秀山國小,新北市,中和區,235,新北市中和區立人街2號,(02)29434353,http://www.ssps.ntpc.edu.tw,,,302609.263,2765238.806
國民小學,14637,市立積穗國小,新北市,中和區,235,新北市中和區員山路154號,(02)22225533,http://www.tjsps.ntpc.edu.tw,,,298593.031,2765759.341
國民小學,14638,市立自強國小,新北市,中和區,235,新北市中和區莒光路200號,(02)29557936,http://www.jcps.ntpc.edu.tw,,,297496.817,2765500.009
國民小學,14639,市立錦和國小,新北市,中和區,235,新北市中和區圓通路292號,(02)22479495,http://www.chps.ntpc.edu.tw,,,299406,2764780.01
國民小學,14640,市立景新國小,新北市,中和區,235,新北市中和區景新街467巷37號,(02)29448021,http://www.jsps.ntpc.edu.tw,,,301988.457,2764691.176
國民小學,14641,市立永和國小,新北市,永和區,234,新北市永和區秀朗路一段120號,(02)29214615,http://www.yhes.ntpc.edu.tw,,,302183.894,2766276.797
國民小學,14642,市立秀朗國小,新北市,永和區,234,新北市永和區得和路202號,(02)29420451,http://www.hles.ntpc.edu.tw,,,302631.72,2765843.169
國民小學,14643,市立頂溪國小,新北市,永和區,234,新北市永和區文化路133號,(02)29212058,https://www.thps.ntpc.edu.tw/,,,301632.859,2767593.805
國民小學,14644,市立網溪國小,新北市,永和區,234,新北市永和區竹林路79號,(02)89264470,http://www.whps.ntpc.edu.tw,,,302417.152,2767310.794
國民小學,14645,市立永平國小,新北市,永和區,234,新北市永和區保生路25號,(02)29259879,http://www.ypes.ntpc.edu.tw,,,301044.164,2766764.721
國民小學,14646,市立土城國小,新北市,土城區,236,新北市土城區興城路17號,(02)22700177,http://www.ttcps.ntpc.edu.tw,,,294619.147,2762791.267
