學校級別,代碼,學校名稱,縣市別,鄉鎮市區,郵遞區號,地址,電話,網址,體系別,"地區
屬性",X 坐標,Y 坐標
國民中學,14501,市立板橋國中,新北市,板橋區,220,新北市板橋區中正路437號,(02)29666498#234,http://www.pcjh.ntpc.edu.tw,,,295834.225,2768512.789
國民中學,14503,市立重慶國中,新北市,板橋區,220,新北市板橋區國慶路221號,(02)29543001,http://www.ccjh.ntpc.edu.tw,,,296752.078,2765656.838
國民中學,14504,市立江翠國中,新北市,板橋區,220,新北市板橋區松江街63號,(02)22513256,http://www.ctjh.ntpc.edu.tw,,,297273.351,2769065.28
國民中學,14505,市立中山國中,新北市,板橋區,220,新北市板橋區文化路一段188巷56號,(02)22508250#201,http://www.csjh.ntpc.edu.tw,,,297193.584,2767906.5
國民中學,14506,市立新埔國中,新北市,板橋區,220,新北市板橋區新海路181號,(02)22572275,http://www.hpjh.ntpc.edu.tw,,,296388.293,2768613.949
國民中學,14507,市立新莊國中,新北市,新莊區,242,新北市新莊區中正路211號,(02)22766326,http://www.hcjh.ntpc.edu.tw,,,295661.118,2769834.508
國民中學,14508,市立新泰國中,新北市,新莊區,242,新北市新莊區新泰路359號,(02)29960745,http://www.htjh.ntpc.edu.tw,,,294840.317,2770569.039
國民中學,14509,市立福營國中,新北市,新莊區,242,新北市新莊區富國路105號,(02)22045556,http://www.fyjh.ntpc.edu.tw,,,292639.708,2768648.973
國民中學,14510,市立頭前國中,新北市,新莊區,242,新北市新莊區中原路2號,(02)85222862,http://www.tqjh.ntpc.edu.tw/default.asp,,,296359.895,2771968.57
國民中學,14512,市立光榮國中,新北市,三重區,241,新北市三重區介壽路26號,(02)29721430,http://www.grjh.ntpc.edu.tw,,,300433.584,2773674.669
國民中學,14513,市立明志國中,新北市,三重區,241,新北市三重區中正北路107號,(02)29844132,http://www.mcjh.ntpc.edu.tw,,,299333.401,2772892.632
國民中學,14514,市立碧華國中,新北市,三重區,241,新北市三重區自強路五段66號,(02)29851121,http://www.bhjh.ntpc.edu.tw,,,299825.654,2774893.512
國民中學,14516,市立永和國中,新北市,永和區,234,新北市永和區國中路111號,(02)29214209,http://www.jhjhs.ntpc.edu.tw,,,302821.451,2766620.466
國民中學,14517,市立福和國中,新北市,永和區,234,新北市永和區永利路71號,(02)29261836,http://www.fhjh.ntpc.edu.tw,,,302573.963,2766321.431
國民中學,14518,市立中和國中,新北市,中和區,235,新北市中和區興南路二段3巷17號,(02)29422270,http://www.chjhs.ntpc.edu.tw,,,301338.295,2764342.579
國民中學,14519,市立積穗國中,新北市,中和區,235,新北市中和區民安街66號,(02)22234747,http://www.gsjh.ntpc.edu.tw,,,298429.168,2765907.46
國民中學,14520,市立漳和國中,新北市,中和區,235,新北市中和區廣福路39號,(02)22488616,http://www.chjh.ntpc.edu.tw,,,301027.6,2766168.745
國民中學,14521,市立鶯歌國中,新北市,鶯歌區,239,新北市鶯歌區尖山埔路108號,(02)26701461,http://www.ykjhs.ntpc.edu.tw,,,284820.79,2760329.113
國民中學,14523,市立柑園國中,新北市,樹林區,238,新北市樹林區柑園街二段125號,(02)26801958,http://www.gyjh.ntpc.edu.tw,,,288796.513,2760788.688
國民中學,14524,市立土城國中,新北市,土城區,236,新北市土城區永寧路18號,(02)22675135#102,http://www.tcjh.ntpc.edu.tw,,,293434.95,2761683.448
國民中學,14525,市立三峽國中,新北市,三峽區,237,新北市三峽區復興路238號,(02)26711043,http://www.shjhs.ntpc.edu.tw,,,287272.809,2759078.172
國民中學,14527,市立八里國中,新北市,八里區,249,新北市八里區荖阡坑路15號,(02)26102016,http://www.pljhs.ntpc.edu.tw,,偏遠,290365.269,2781368.584
國民中學,14528,市立泰山國中,新北市,泰山區,243,新北市泰山區泰林路二段498號,(02)2296-2519,http://www.ttcjh.ntpc.edu.tw,,,292831.673,2772935.25
國民中學,14529,市立五股國中,新北市,五股區,248,新北市五股區成泰路二段49巷15號,(02)22915224,http://www.wkjh.ntpc.edu.tw,,,293952.463,2775071.956
國民中學,14530,市立蘆洲國中,新北市,蘆洲區,247,新北市蘆洲區中正路265號,(02)22811571,http://www.lcjh.ntpc.edu.tw,,,297043.696,2775504.823
國民中學,14531,市立林口國中,新北市,林口區,244,新北市林口區民治路25號,(02)26011014,http://www.lkjh.ntpc.edu.tw,,,288020.354,2774343.566
國民中學,14533,市立汐止國中,新北市,汐止區,221,新北市汐止區禮門里大同路二段394號,(02)26412065,http://www.hcjhs.ntpc.edu.tw,,,316422.855,2773354.701
國民中學,14534,市立淡水國中,新北市,淡水區,251,新北市淡水區文化里真理街10號,(02)26218821,http://www.tsjh.ntpc.edu.tw,,,294020.685,2785201.334
國民中學,14536,市立三芝國中,新北市,三芝區,252,新北市三芝區淡金路一段38號,(02)26362004,http://www.szjh.ntpc.edu.tw,,,300550.863,2794600.982
國民中學,14537,市立石門國中,新北市,石門區,253,新北市石門區中央路1之9號,(02)26381273,http://www.smjh.ntpc.edu.tw,,偏遠,306849.551,2798153.885
國民中學,14539,市立萬里國中,新北市,萬里區,207,新北市萬里區獅頭路24號,(02)24922053,http://www.wljhs.ntpc.edu.tw,,偏遠,320054,2785620.01
國民中學,14540,市立坪林國中,新北市,坪林區,232,新北市坪林區國中路4號,(02)26656210,http://www.pljh.ntpc.edu.tw,,特偏,321989.819,2759099.974
國民中學,14541,市立文山國中,新北市,新店區,231,新北市新店區文中路38號,(02)29111672,http://www.wsjh.ntpc.edu.tw,,,304441.491,2761095.038
國民中學,14542,市立五峰國中,新北市,新店區,231,新北市新店區中興路一段253號,(02)29112005,http://www.wfjh.ntpc.edu.tw,,,304926.435,2762163.215
國民中學,14544,市立瑞芳國中,新北市,瑞芳區,224,新北市瑞芳區三爪子坑路1號,(02)24972145,http://www.rfjh.ntpc.edu.tw,,偏遠,332238,2777960.01
國民中學,14545,市立欽賢國中,新北市,瑞芳區,224,新北市瑞芳區崙頂路3之1號,(02)24972261,http://www.cejh.ntpc.edu.tw,,偏遠,335318.083,2777648.849
國民中學,14546,市立貢寮國中,新北市,貢寮區,228,新北市貢寮區嵩陽街42號,(02)24941941,http://www.kljh.ntpc.edu.tw,,偏遠,341551.574,2767900.854
國民中學,14549,市立深坑國中,新北市,深坑區,222,新北市深坑區文化街41號,(02)26621455,http://www.skjh.ntpc.edu.tw,,,312407.359,2766112.762
國民中學,14550,市立平溪國中,新北市,平溪區,226,新北市平溪區靜安路二段295號,(02)24951010,http://www.phjh.ntpc.edu.tw,,偏遠,324038.908,2768578.75
國民中學,14551,市立烏來國中(小),新北市,烏來區,233,新北市烏來區啦卡路5號,(02)26616482,http://www.wups.ntpc.edu.tw/default_page.asp,,特偏,306005.822,2750721.396
國民中學,14552,市立溪崑國中,新北市,板橋區,220,新北市板橋區大觀路三段50巷30號,(02)26869727,http://www.ckjhs.ntpc.edu.tw,,,293533.306,2765671.467
國民中學,14554,市立自強國中,新北市,中和區,235,新北市中和區莒光路191號,(02)22259469,http://www.zcjh.ntpc.edu.tw,,,297708.606,2765732.044
國民中學,14555,市立中正國中,新北市,土城區,236,新北市土城區金城路二段247號,(02)22628456,http://www.ccjhs.ntpc.edu.tw,,,296120.116,2764022.812
國民中學,14558,市立義學國中,新北市,泰山區,243,新北市泰山區民生路33號,(02)22961168,http://www.yhjh.ntpc.edu.tw,,,293520.397,2771570.958
國民中學,14559,市立中平國中,新北市,新莊區,242,新北市新莊區中平路385號,(02)29908092,http://www.cpjh.ntpc.edu.tw,,,294851.683,2771805.366
國民中學,14560,市立鳳鳴國中,新北市,鶯歌區,239,新北市鶯歌區永和街33號,(02)26780609,http://www.fmjh.ntpc.edu.tw,,,283497.785,2762171.451
國民中學,14561,市立三和國中,新北市,三重區,241,新北市三重區三和路四段216號,(02)22879890,http://www.shjh.ntpc.edu.tw,,,299077.427,2774347.956
國民中學,14565,市立尖山國中,新北市,鶯歌區,239,新北市鶯歌區國中街1號,(02)26781670,http://www.jsjhs.ntpc.edu.tw,,,284556.539,2759580.751
國民中學,14566,市立正德國中,新北市,淡水區,251,新北市淡水區北新路109號,(02)26205136,http://www.jdjh.ntpc.edu.tw,,,295040.251,2785621.575
國民中學,14567,市立安溪國中,新北市,三峽區,237,新北市三峽區大同路135號,(02)26717851,http://www.asjh.ntpc.edu.tw,,,287649.073,2757695.739
國民中學,14569,市立育林國中,新北市,樹林區,238,新北市樹林區復興路395號,(02)26841160,http://www.yljh.ntpc.edu.tw,,,291962.737,2764265.363
