縣市代碼,縣市名稱,學校代碼,學校名稱,學程別,學程名稱,日夜別,日夜別名稱,一年級班級數,二年級班級數,三年級班級數,四年級班級數,一年級男學生數,一年級女學生數,二年級男學生數,二年級女學生數,三年級男學生數,三年級女學生數,四年級男學生數,四年級女學生數,延修生男學生數,延修生女學生數,學生數,上學年畢業生數男,上學年畢業生數女
1,新北市,10301,國立華僑高級中等學校,A,普通科,D,日間部,1,1,1,0,14,9,9,6,8,7,0,0,0,0,53,6,8
1,新北市,10301,國立華僑高級中等學校,J,附設國中部,D,日間部,1,1,1,0,4,3,7,11,9,16,0,0,0,0,50,9,13
1,新北市,10301,國立華僑高級中等學校,O,綜合高中,D,日間部,15,15,17,0,219,276,218,262,191,291,0,0,0,0,1457,175,253
1,新北市,11301,私立淡江高中,A,普通科,D,日間部,2,2,2,0,13,18,14,20,10,29,0,0,0,0,104,16,17
1,新北市,11301,私立淡江高中,J,附設國中部,D,日間部,7,8,8,0,151,139,171,133,153,145,0,0,0,0,892,172,123
1,新北市,11301,私立淡江高中,O,綜合高中,D,日間部,7,7,9,0,152,144,138,142,159,181,0,0,0,0,916,165,152
1,新北市,11302,私立康橋高中,A,普通科,D,日間部,6,6,6,0,140,135,130,128,144,126,0,0,1,0,804,127,104
1,新北市,11302,私立康橋高中,J,附設國中部,D,日間部,11,8,8,0,181,147,159,138,143,164,0,0,0,0,932,169,150
1,新北市,11306,私立金陵女中,A,普通科,D,日間部,7,5,6,0,0,286,0,210,0,259,0,0,0,0,755,0,258
1,新北市,11306,私立金陵女中,J,附設國中部,D,日間部,8,9,9,0,0,330,0,363,0,391,0,0,0,0,1084,0,394
1,新北市,11307,新北市裕德高級中等學校,A,普通科,D,日間部,3,3,3,0,30,28,25,20,15,15,0,0,0,0,133,6,4
1,新北市,11307,新北市裕德高級中等學校,J,附設國中部,D,日間部,6,5,5,0,73,67,80,67,65,57,0,0,0,0,409,47,45
1,新北市,11309,財團法人南山高中,A,普通科,D,日間部,11,11,11,0,298,222,307,195,300,205,0,0,0,0,1527,268,231
1,新北市,11309,財團法人南山高中,J,附設國中部,D,日間部,22,22,22,0,543,445,575,406,538,409,0,0,0,0,2916,486,369
1,新北市,11309,財團法人南山高中,B,專業群科,D,日間部,1,1,1,0,27,24,16,21,36,7,0,0,0,0,131,87,22
1,新北市,11310,財團法人恆毅高中,A,普通科,D,日間部,7,6,6,0,206,122,166,80,139,99,0,0,0,0,812,146,80
1,新北市,11310,財團法人恆毅高中,J,附設國中部,D,日間部,10,9,9,0,324,111,264,123,306,97,0,0,0,0,1225,345,114
1,新北市,11311,私立聖心女中,A,普通科,D,日間部,3,3,3,0,0,137,0,116,0,127,0,0,0,0,380,0,86
1,新北市,11311,私立聖心女中,J,附設國中部,D,日間部,5,5,5,0,0,205,0,218,0,184,0,0,0,0,607,0,228
1,新北市,11312,私立崇義高中,C,進修部,N,夜間部,1,1,1,0,9,2,26,10,23,14,0,0,0,0,84,13,3
1,新北市,11312,私立崇義高中,A,普通科,D,日間部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,新北市,11312,私立崇義高中,J,附設國中部,D,日間部,1,0,1,0,1,0,0,0,4,0,0,0,0,0,5,1,0
1,新北市,11312,私立崇義高中,B,專業群科,D,日間部,1,1,1,0,27,0,20,0,9,0,0,0,0,0,56,22,2
1,新北市,11314,財團法人中華高中,A,普通科,D,日間部,0,1,1,0,0,0,11,6,21,13,0,0,0,0,51,26,9
1,新北市,11314,財團法人中華高中,J,附設國中部,D,日間部,0,0,1,0,0,0,0,0,5,3,0,0,0,0,8,0,0
1,新北市,11314,財團法人中華高中,B,專業群科,D,日間部,0,3,3,0,0,0,53,9,64,13,0,0,5,0,144,114,15
1,新北市,11315,私立東海高中,A,普通科,D,日間部,0,1,1,0,0,0,6,3,7,8,0,0,0,0,24,4,7
1,新北市,11315,私立東海高中,B,專業群科,D,日間部,7,7,7,0,148,43,147,42,263,45,0,0,0,0,688,228,39
1,新北市,11316,私立格致高中,A,普通科,D,日間部,6,5,4,0,113,83,103,62,110,54,0,0,0,0,525,127,81
1,新北市,11316,私立格致高中,J,附設國中部,D,日間部,7,7,6,0,192,108,170,82,131,78,0,0,0,0,761,169,88
1,新北市,11316,私立格致高中,B,專業群科,D,日間部,6,5,6,0,65,40,72,22,86,28,0,0,0,0,313,79,32
1,新北市,11317,私立醒吾高中,U,實用技能學程,N,夜間部,3,3,3,0,30,28,42,23,67,35,0,0,0,0,225,52,43
1,新北市,11317,私立醒吾高中,A,普通科,D,日間部,2,1,2,0,30,26,16,25,45,21,0,0,0,0,163,24,25
1,新北市,11317,私立醒吾高中,J,附設國中部,D,日間部,1,1,1,0,6,10,11,7,17,17,0,0,0,0,68,27,30
1,新北市,11317,私立醒吾高中,B,專業群科,D,日間部,3,5,7,0,33,46,36,44,38,114,0,0,0,0,311,67,109
1,新北市,11318,私立徐匯高中,A,普通科,D,日間部,2,2,3,0,86,0,89,0,108,0,0,0,0,0,283,94,0
1,新北市,11318,私立徐匯高中,J,附設國中部,D,日間部,3,3,3,0,120,0,121,0,128,0,0,0,0,0,369,129,0
1,新北市,11322,新北市崇光高中,A,普通科,D,日間部,4,4,4,0,2,178,0,139,0,160,0,0,0,1,479,0,190
1,新北市,11322,新北市崇光高中,J,附設國中部,D,日間部,8,7,7,0,85,241,10,242,16,261,0,0,0,0,855,18,285
1,新北市,11323,私立光仁高中,A,普通科,D,日間部,6,5,6,0,125,117,100,75,128,111,0,0,0,0,656,109,107
1,新北市,11323,私立光仁高中,J,附設國中部,D,日間部,8,9,9,0,151,112,156,135,172,145,0,0,0,0,871,179,149
1,新北市,11324,私立竹林高中,A,普通科,D,日間部,7,7,8,0,168,133,131,83,126,130,0,0,0,0,771,130,100
1,新北市,11324,私立竹林高中,J,附設國中部,D,日間部,10,8,8,0,221,152,170,128,152,116,0,0,0,0,939,173,147
1,新北市,11324,私立竹林高中,B,專業群科,D,日間部,3,3,3,0,45,45,61,37,49,35,0,0,0,0,272,46,40
1,新北市,11325,私立及人高中,A,普通科,D,日間部,1,1,2,0,23,13,23,12,37,23,0,0,0,0,131,59,34
1,新北市,11325,私立及人高中,J,附設國中部,D,日間部,1,2,1,0,20,12,32,15,22,17,0,0,0,0,118,33,22
1,新北市,11329,財團法人辭修高中,A,普通科,D,日間部,4,4,4,0,93,88,89,58,101,64,0,0,0,0,493,92,61
1,新北市,11329,財團法人辭修高中,J,附設國中部,D,日間部,8,9,8,0,196,123,223,122,193,108,0,0,0,0,965,171,148
1,新北市,11330,新北市林口康橋國際高中,A,普通科,D,日間部,5,5,5,0,89,106,79,70,43,51,0,0,0,0,438,0,0
1,新北市,11330,新北市林口康橋國際高中,J,附設國中部,D,日間部,6,6,8,0,133,111,118,127,134,113,0,0,0,0,736,51,58
1,新北市,11399,私立時雨高中,A,普通科,D,日間部,5,5,5,0,143,80,139,83,129,82,0,0,0,0,656,99,72
1,新北市,11399,私立時雨高中,J,附設國中部,D,日間部,7,7,7,0,213,127,228,150,220,108,0,0,0,0,1046,245,133
1,新北市,11405,私立樹人家商,C,進修部,N,夜間部,1,1,3,0,29,14,17,19,28,35,0,0,0,0,142,34,42
1,新北市,11405,私立樹人家商,B,專業群科,D,日間部,19,19,18,0,344,504,319,437,258,489,0,0,0,0,2351,235,480
1,新北市,11407,私立復興商工,C,進修部,N,夜間部,3,3,3,0,20,66,34,58,37,32,0,0,0,0,247,32,37
1,新北市,11407,私立復興商工,B,專業群科,D,日間部,21,21,22,0,330,693,306,612,304,683,0,0,4,1,2932,320,739
1,新北市,11407,私立復興商工,B,專業群科,N,夜間部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26
1,新北市,11408,私立南強工商,C,進修部,N,夜間部,2,1,1,0,17,19,9,20,13,25,0,0,0,0,103,18,33
1,新北市,11408,私立南強工商,B,專業群科,D,日間部,11,13,16,0,212,117,171,120,218,153,0,0,0,0,991,276,138
1,新北市,11413,私立穀保家商,U,實用技能學程,D,日間部,0,1,1,0,0,0,10,12,15,6,0,0,1,0,44,12,9
1,新北市,11413,私立穀保家商,A,普通科,D,日間部,1,1,1,0,27,0,23,0,16,2,0,0,0,0,68,21,1
1,新北市,11413,私立穀保家商,B,專業群科,D,日間部,13,12,12,0,294,325,229,313,191,315,0,0,12,6,1679,218,334
1,新北市,11419,私立開明工商,C,進修部,N,夜間部,0,0,1,0,0,0,0,0,14,0,0,0,0,0,14,17,8
1,新北市,11419,私立開明工商,U,實用技能學程,D,日間部,0,2,1,0,0,0,43,8,2,13,0,0,0,0,66,3,9
1,新北市,11419,私立開明工商,B,專業群科,D,日間部,0,4,5,0,0,0,58,42,115,53,0,0,0,0,268,160,47
1,新北市,11420,私立智光商工,C,進修部,N,夜間部,2,2,2,0,22,7,19,11,25,16,0,0,0,0,100,21,9
1,新北市,11420,私立智光商工,B,專業群科,D,日間部,10,13,14,0,202,121,268,124,288,148,0,0,14,3,1165,341,190
1,新北市,11421,私立清傳高商,B,專業群科,D,日間部,3,3,3,0,43,81,31,52,49,55,0,0,0,0,311,46,75
1,新北市,11426,私立能仁家商,C,進修部,N,夜間部,4,4,4,0,44,109,33,77,33,91,0,0,0,0,387,39,119
1,新北市,11426,私立能仁家商,A,普通科,D,日間部,0,0,1,0,0,0,0,0,17,12,0,0,0,0,29,18,11
1,新北市,11426,私立能仁家商,B,專業群科,D,日間部,17,17,18,0,257,279,216,238,235,265,0,0,0,0,1490,253,334
1,新北市,11427,私立豫章工商,C,進修部,N,夜間部,0,1,1,0,0,0,16,14,24,12,0,0,0,0,66,46,19
1,新北市,11427,私立豫章工商,B,專業群科,D,日間部,6,10,11,0,202,82,200,81,213,103,0,0,3,1,884,186,90
1,新北市,11431,私立莊敬工家,C,進修部,N,夜間部,2,2,4,0,28,68,23,57,26,46,0,0,0,0,248,21,50
1,新北市,11431,私立莊敬工家,B,專業群科,D,日間部,36,34,32,0,796,907,615,713,542,661,0,0,240,197,4474,346,465
1,新北市,11432,私立中華商海,B,專業群科,D,日間部,4,2,3,0,30,7,19,4,28,8,0,0,0,0,96,22,5
1,新北市,011C71,私立光華高商進修學校,C,進修部,N,夜間部,5,5,5,0,62,47,89,66,89,88,0,0,0,0,441,78,60
1,新北市,13303,市立泰山高中,C,進修部,N,夜間部,3,3,4,0,68,4,30,5,37,8,0,0,0,0,152,40,5
1,新北市,13303,市立泰山高中,A,普通科,D,日間部,11,11,11,0,180,167,191,176,193,166,0,0,22,6,1095,120,142
1,新北市,13303,市立泰山高中,B,專業群科,D,日間部,9,9,9,0,274,15,271,17,260,17,0,0,27,1,881,183,9
1,新北市,13304,市立板橋高中,A,普通科,D,日間部,20,20,20,0,369,354,393,380,396,375,0,0,0,0,2267,360,371
1,新北市,13335,市立新店高中,A,普通科,D,日間部,17,17,17,0,297,291,315,306,301,314,0,0,0,0,1824,268,307
1,新北市,13336,市立中和高中,A,普通科,D,日間部,18,18,18,0,344,287,387,292,385,284,0,0,0,0,1979,295,283
1,新北市,13337,市立新莊高中,A,普通科,D,日間部,19,19,19,0,336,336,346,356,371,339,0,0,0,0,2084,338,345
1,新北市,13338,市立新北高中,A,普通科,D,日間部,17,17,17,0,314,289,307,305,293,321,0,0,0,0,1829,283,286
1,新北市,13339,市立林口高中,A,普通科,D,日間部,15,15,15,0,277,243,248,270,241,270,0,0,0,0,1549,177,277
1,新北市,13402,市立瑞芳高工,C,進修部,N,夜間部,3,3,3,0,41,12,24,7,22,7,0,0,0,0,113,27,10
1,新北市,13402,市立瑞芳高工,A,普通科,D,日間部,1,1,1,0,26,1,16,1,20,3,0,0,0,0,67,13,2
