學校級別,代碼,學校名稱,縣市別,鄉鎮市區,郵遞區號,地址,電話,網址,體系別,"地區
屬性",X 坐標,Y 坐標
高級中等學校,10301,國立華僑高級中等學校,新北市,板橋區,220,新北市板橋區大觀路一段32號,(02)29684131,http://www.nocsh.ntpc.edu.tw,,,295178.942,2766686.48
高級中等學校,11301,私立淡江高中,新北市,淡水區,251,新北市淡水區真理街26號,(02)26203850,http://www.tksh.ntpc.edu.tw,,,293930.465,2785238.828
高級中等學校,11302,私立康橋高中,新北市,新店區,231,新北市新店區華城路800號,(02)22166000,http://www.kcbs.ntpc.edu.tw,,,300284.485,2756006.109
高級中等學校,11306,私立金陵女中,新北市,三重區,241,新北市三重區重新路五段656號,(02)29956776,http://www.glghs.ntpc.edu.tw,,,297062.566,2770566.877
高級中等學校,11307,新北市裕德高級中等學校,新北市,土城區,236,新北市土城區擺接堡路1號,(02)82617889,http://www.yuteh.ntpc.edu.tw/,,,294378.061,2763963.975
高級中等學校,11309,財團法人南山高中,新北市,中和區,235,新北市中和區廣福路41號,(02)22453000,http://www.nssh.ntpc.edu.tw,,,300817.785,2766052.328
高級中等學校,11310,財團法人恆毅高中,新北市,新莊區,242,新北市新莊區中正路108號,(02)29923619,http://www.hchs.ntpc.edu.tw,,,295789.261,2769903.034
高級中等學校,11311,私立聖心女中,新北市,八里區,249,新北市八里區龍米路一段263號,(02)26182287,http://www.shgsh.ntpc.edu.tw,,,295329.446,2780785.258
高級中等學校,11312,私立崇義高中,新北市,汐止區,221,新北市汐止區大同路三段68號,(02)86482078,http://www.tyhs.ntpc.edu.tw/,,,317506.503,2774466.358
高級中等學校,11314,財團法人中華高中,新北市,土城區,236,新北市土城區城林路2號,(02)22693641,http://www.chsh.ntpc.edu.tw,,,294163.939,2763149.013
高級中等學校,11315,私立東海高中,新北市,三重區,241,新北市三重區忠孝路三段93巷12號,(02)29822788 ,http://www.thhs.ntpc.edu.tw,,,298321.002,2773038.489
高級中等學校,11316,私立格致高中,新北市,三重區,241,新北市三重區大智街260號,(02)29855892,http://www.gjsh.ntpc.edu.tw,,,299302.959,2774045.282
