欄1,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1,國立政治大學,D 日,D 博士,949,526,423,87,58,89,80,81,69,76,78,72,42,52,41,69,55,0,0,30 臺北市,1 一般
1,國立政治大學,D 日,M 碩士,4004,"1,832",2172,615,756,619,691,344,436,254,289,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1,國立政治大學,D 日,B 學士,9632,"4,019",5613,962,"1,257",916,"1,316",905,"1,325",883,"1,334",0,0,0,0,0,0,353,381,30 臺北市,1 一般
1,國立政治大學,N 職,M 碩士,1766,905,861,295,269,263,248,173,165,102,118,72,61,0,0,0,0,0,0,30 臺北市,1 一般
2,國立清華大學,D 日,D 博士,1615,"1,170",445,211,91,215,82,186,86,145,57,140,48,106,31,167,50,0,0,18 新竹市,1 一般
2,國立清華大學,D 日,M 碩士,5358,"3,295",2063,"1,385",791,"1,204",713,518,309,183,216,4,19,1,15,0,0,0,0,18 新竹市,1 一般
2,國立清華大學,D 日,B 學士,8625,"4,694",3931,"1,180","1,018","1,113",946,"1,094",873,"1,041",926,0,0,0,0,0,0,266,168,18 新竹市,1 一般
2,國立清華大學,D 日,X 4+X,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
2,國立清華大學,N 職,M 碩士,1316,447,869,166,281,173,256,45,118,20,84,22,53,8,32,13,45,0,0,18 新竹市,1 一般
3,國立臺灣大學,D 日,D 博士,3545,"2,471",1074,493,220,433,174,331,165,335,157,312,119,229,103,338,136,0,0,30 臺北市,1 一般
3,國立臺灣大學,D 日,M 碩士,10551,"6,301",4250,"2,547","1,626","2,333","1,551",915,651,506,422,0,0,0,0,0,0,0,0,30 臺北市,1 一般
3,國立臺灣大學,D 日,B 學士,16756,"9,444",7312,"2,086","1,672","2,162","1,697","2,092","1,543","2,042","1,638",205,127,142,70,0,0,715,565,30 臺北市,1 一般
3,國立臺灣大學,N 職,M 碩士,1675,"1,037",638,351,233,342,243,194,101,62,25,45,14,43,22,0,0,0,0,30 臺北市,1 一般
4,國立臺灣師範大學,D 日,D 博士,1363,641,722,102,138,95,110,85,107,115,111,88,102,75,88,81,66,0,0,30 臺北市,3 師範
4,國立臺灣師範大學,D 日,M 碩士,4255,"1,847",2408,661,794,625,764,339,489,222,361,0,0,0,0,0,0,0,0,30 臺北市,3 師範
4,國立臺灣師範大學,D 日,B 學士,8173,"3,625",4548,890,"1,127",861,"1,071",811,"1,060",784,"1,024",0,0,0,0,0,0,279,266,30 臺北市,3 師範
4,國立臺灣師範大學,N 職,M 碩士,2129,632,1497,210,469,176,430,113,295,65,147,41,99,27,57,0,0,0,0,30 臺北市,3 師範
5,國立成功大學,D 日,D 博士,1818,"1,235",583,254,125,242,118,199,93,170,78,146,70,122,50,102,49,0,0,21 臺南市,1 一般
5,國立成功大學,D 日,M 碩士,7015,"4,417",2598,"1,982","1,133","1,785","1,005",476,327,172,130,2,3,0,0,0,0,0,0,21 臺南市,1 一般
5,國立成功大學,D 日,B 學士,11441,"7,079",4362,"1,704","1,037","1,684","1,043","1,611",988,"1,556","1,011",99,60,58,30,1,0,366,193,21 臺南市,1 一般
5,國立成功大學,N 職,M 碩士,1499,933,566,305,190,289,185,199,106,77,55,62,30,1,0,0,0,0,0,21 臺南市,1 一般
6,國立中興大學,D 日,D 博士,935,657,278,101,35,112,53,105,55,93,37,81,36,64,25,101,37,0,0,19 臺中市,1 一般
6,國立中興大學,D 日,M 碩士,3453,"2,018",1435,828,573,833,584,244,193,109,85,4,0,0,0,0,0,0,0,19 臺中市,1 一般
6,國立中興大學,D 日,B 學士,7990,"4,565",3425,"1,099",795,"1,056",825,"1,094",826,"1,079",823,43,41,0,0,0,0,194,115,19 臺中市,1 一般
6,國立中興大學,N 職,M 碩士,1663,"1,073",590,348,254,349,192,173,74,113,39,90,31,0,0,0,0,0,0,19 臺中市,1 一般
6,國立中興大學,P 進,B 學士,933,413,520,112,123,103,106,76,118,67,111,44,53,0,0,0,0,11,9,19 臺中市,1 一般
7,國立交通大學,D 日,D 博士,1722,"1,332",390,239,79,248,88,229,70,195,55,155,33,114,35,152,30,0,0,18 新竹市,1 一般
7,國立交通大學,D 日,M 碩士,5955,"4,074",1881,"1,584",713,"1,422",686,855,357,211,122,2,3,0,0,0,0,0,0,18 新竹市,1 一般
7,國立交通大學,D 日,B 學士,5905,"4,036",1869,"1,040",490,"1,062",515,885,413,859,401,0,0,0,0,0,0,190,50,18 新竹市,1 一般
7,國立交通大學,N 職,M 碩士,1600,"1,077",523,362,191,333,207,183,65,116,33,83,27,0,0,0,0,0,0,18 新竹市,1 一般
8,國立中央大學,D 日,D 博士,1031,729,302,136,57,129,52,126,50,105,49,87,42,65,28,81,24,0,0,03 桃園市,1 一般
8,國立中央大學,D 日,M 碩士,3516,"2,331",1185,"1,000",497,935,483,288,139,108,65,0,1,0,0,0,0,0,0,03 桃園市,1 一般
8,國立中央大學,D 日,B 學士,6016,"3,748",2268,916,601,890,535,887,543,896,522,0,0,0,0,0,0,159,67,03 桃園市,1 一般
8,國立中央大學,N 職,M 碩士,1375,853,522,331,212,290,214,125,43,61,30,46,23,0,0,0,0,0,0,03 桃園市,1 一般
9,國立中山大學,D 日,D 博士,811,540,271,123,73,101,42,86,44,77,36,73,30,39,24,41,22,0,0,50 高雄市,1 一般
9,國立中山大學,D 日,M 碩士,2997,"1,902",1095,778,460,723,403,282,133,119,99,0,0,0,0,0,0,0,0,50 高雄市,1 一般
9,國立中山大學,D 日,B 學士,4793,"2,937",1856,719,443,640,452,689,421,712,431,0,0,0,0,0,0,177,109,50 高雄市,1 一般
9,國立中山大學,N 職,M 碩士,1105,549,556,206,205,207,177,73,87,40,47,14,23,9,17,0,0,0,0,50 高雄市,1 一般
12,國立臺灣海洋大學,D 日,D 博士,333,246,87,44,12,43,22,44,17,33,15,25,3,21,7,36,11,0,0,17 基隆市,1 一般
12,國立臺灣海洋大學,D 日,M 碩士,1445,944,501,419,199,361,197,109,59,34,26,14,10,6,7,1,3,0,0,17 基隆市,1 一般
12,國立臺灣海洋大學,D 日,B 學士,5929,"4,072",1857,"1,010",466,963,455,949,472,926,433,0,0,0,0,0,0,224,31,17 基隆市,1 一般
12,國立臺灣海洋大學,N 職,M 碩士,595,368,227,137,79,129,88,40,35,28,10,24,6,5,1,5,8,0,0,17 基隆市,1 一般
12,國立臺灣海洋大學,N 修,X 4+X,45,37,8,0,0,36,8,0,0,0,0,0,0,0,0,0,0,1,0,17 基隆市,1 一般
12,國立臺灣海洋大學,P 進,B 學士,558,342,216,129,63,97,49,52,53,31,38,0,0,0,0,0,0,33,13,17 基隆市,1 一般
13,國立中正大學,D 日,D 博士,574,376,198,52,30,63,36,56,27,55,33,53,23,41,28,56,21,0,0,10 嘉義縣,1 一般
13,國立中正大學,D 日,M 碩士,2831,"1,759",1072,707,402,677,352,250,187,125,128,0,3,0,0,0,0,0,0,10 嘉義縣,1 一般
13,國立中正大學,D 日,B 學士,6311,"3,429",2882,856,698,832,691,800,734,805,706,0,0,0,0,0,0,136,53,10 嘉義縣,1 一般
13,國立中正大學,N 職,M 碩士,1412,621,791,215,290,192,273,98,116,70,64,46,48,0,0,0,0,0,0,10 嘉義縣,1 一般
14,國立高雄師範大學,D 日,D 博士,463,223,240,34,41,29,38,34,32,36,33,37,34,24,26,29,36,0,0,50 高雄市,3 師範
14,國立高雄師範大學,D 日,M 碩士,1409,489,920,150,283,148,246,99,199,73,152,16,21,1,13,2,6,0,0,50 高雄市,3 師範
14,國立高雄師範大學,D 日,B 學士,3659,"1,750",1909,431,510,452,445,439,445,370,449,0,0,0,0,0,0,58,60,50 高雄市,3 師範
14,國立高雄師範大學,N 職,M 碩士,1314,468,846,199,289,130,267,60,123,39,65,19,52,21,50,0,0,0,0,50 高雄市,3 師範
15,國立彰化師範大學,D 日,D 博士,495,300,195,58,28,44,34,48,29,49,38,41,25,33,18,27,23,0,0,07 彰化縣,3 師範
15,國立彰化師範大學,D 日,M 碩士,1648,849,799,330,287,276,239,151,169,90,96,1,5,1,3,0,0,0,0,07 彰化縣,3 師範
15,國立彰化師範大學,D 日,B 學士,4898,"2,615",2283,653,544,612,545,612,563,604,560,0,0,0,0,0,0,134,71,07 彰化縣,3 師範
15,國立彰化師範大學,N 職,M 碩士,1412,603,809,215,241,193,244,77,119,41,99,41,59,36,47,0,0,0,0,07 彰化縣,3 師範
16,國立陽明大學,D 日,D 博士,907,515,392,93,94,90,75,90,57,71,48,74,37,52,34,45,47,0,0,30 臺北市,1 一般
16,國立陽明大學,D 日,M 碩士,1364,525,839,231,378,190,325,76,94,26,39,2,3,0,0,0,0,0,0,30 臺北市,1 一般
16,國立陽明大學,D 日,B 學士,2108,"1,143",965,219,202,197,224,224,182,210,182,163,97,114,66,1,0,15,12,30 臺北市,1 一般
16,國立陽明大學,N 職,M 碩士,155,50,105,16,43,15,33,9,13,7,11,3,5,0,0,0,0,0,0,30 臺北市,1 一般
17,國立臺北大學,D 日,D 博士,210,139,71,28,17,27,12,18,10,14,11,24,9,13,7,15,5,0,0,01 新北市,1 一般
