縣市代碼,縣市名稱,鄉鎮市區,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,學生數,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
1,新北市,板橋區,10301,國立華僑中學,1,1,1,4,3,7,11,9,16,50,9,13,-,-,-,-
1,新北市,淡水區,11301,私立淡江高中附設國中部,7,8,8,151,139,171,133,153,145,892,172,123,-,-,-,-
1,新北市,新店區,11302,私立康橋實驗高中附設國中部,11,8,8,181,147,159,138,143,164,932,169,150,-,-,-,-
1,新北市,三重區,11306,私立金陵女中附設國中部,8,9,9,-,330,-,363,-,391,1084,-,394,-,-,-,-
1,新北市,土城區,11307,私立裕德實驗高中附設國中部,6,5,5,73,67,80,67,65,57,409,47,45,-,-,-,-
1,新北市,中和區,11309,私立南山高中附設國中部,22,22,22,543,445,575,406,538,409,2916,486,369,-,-,-,-
1,新北市,新莊區,11310,私立恆毅高中附設國中部,10,9,9,324,111,264,123,306,97,1225,345,114,-,-,-,-
1,新北市,八里區,11311,私立聖心女中附設國中部,5,5,5,-,205,-,218,-,184,607,-,228,-,-,-,-
1,新北市,汐止區,11312,私立崇義高中附設國中部,1,-,1,1,-,-,-,4,-,5,1,-,-,-,-,-
1,新北市,土城區,11314,私立中華高中附設國中部,-,-,1,-,-,-,-,5,3,8,-,-,-,-,-,-
1,新北市,三重區,11316,私立格致高中附設國中部,7,7,6,192,108,170,82,131,78,761,169,88,-,-,-,-
1,新北市,林口區,11317,私立醒吾高中附設國中部,1,1,1,6,10,11,7,17,17,68,27,30,-,-,-,-
1,新北市,蘆洲區,11318,私立徐匯高中附設國中部,3,3,3,120,-,121,-,128,-,369,129,-,-,-,-,-
1,新北市,新店區,11322,私立崇光高中附設國中部,8,7,7,85,241,10,242,16,261,855,18,285,-,-,-,-
1,新北市,板橋區,11323,私立光仁高中附設國中部,8,9,9,151,112,156,135,172,145,871,179,149,-,-,-,-
1,新北市,中和區,11324,私立竹林高中附設國中部,10,8,8,221,152,170,128,152,116,939,173,147,-,-,-,-
1,新北市,新店區,11325,私立及人高中附設國中部,1,2,1,20,12,32,15,22,17,118,33,22,-,-,-,-
1,新北市,三峽區,11329,私立辭修高中附設國中部,8,9,8,196,123,223,122,193,108,965,171,148,-,-,-,-
1,新北市,林口區,11330,私立林口康橋高中附設國中部,6,6,8,133,111,118,127,134,113,736,51,58,-,-,-,-
1,新北市,瑞芳區,11399,私立時雨高中附設國中部,7,7,7,213,127,228,150,220,108,1046,245,133,-,-,-,-
1,新北市,板橋區,14302,市立海山高中附設國中部,29,29,29,476,432,429,403,422,384,2546,393,421,-,-,-,-
1,新北市,三重區,14311,市立三重高中附設國中部,7,7,8,70,81,79,76,93,101,500,112,90,-,-,-,-
1,新北市,永和區,14315,市立永平高中附設國中部,11,11,10,140,148,153,118,145,133,837,176,180,-,-,-,-
1,新北市,樹林區,14322,市立樹林高中附設國中部,12,13,13,165,159,167,151,186,166,994,186,197,-,-,-,-
1,新北市,三峽區,14326,市立明德高中附設國中部,12,9,7,174,115,120,106,94,79,688,101,82,-,-,-,-
1,新北市,汐止區,14332,市立秀峰高中附設國中部,13,14,13,223,156,188,195,212,180,1154,196,147,-,-,-,-
1,新北市,金山區,14338,市立金山高中附設國中部,5,6,6,59,60,65,64,70,67,385,68,70,-,-,-,-
1,新北市,新店區,14343,市立安康高中附設國中部,9,9,9,107,111,125,101,115,115,674,87,87,-,-,-,-
1,新北市,雙溪區,14347,市立雙溪高中附設國中部,3,3,4,32,25,34,33,34,34,192,27,30,-,-,-,-
1,新北市,石碇區,14348,市立石碇高中附設國中部,2,2,3,15,8,26,12,29,21,111,24,22,-,-,-,-
1,新北市,新莊區,14353,市立丹鳳高中附設國中部,23,23,23,389,354,378,342,394,354,2211,341,348,-,-,-,-
1,新北市,土城區,14356,市立清水高中附設國中部,15,16,17,202,157,193,188,226,205,1171,229,191,-,-,-,-
