宗教團體名稱,主管機關,主祀神祇,縣市,行政區,村里,地址,教　別,完整地址,X,Y
九鳳宮,宜蘭縣政府,九天玄女,宜蘭縣,宜蘭縣頭城鎮,金面里,宜蘭縣頭城鎮金面金面里北宜路二段2巷25號,道教,宜蘭縣頭城鎮金面里16鄰北宜路二段2巷25號,330281.397,2750570.052
蘭陽南海宮,宜蘭縣政府,九天娘娘,宜蘭縣,宜蘭縣冬山鄉,中山村,宜蘭縣冬山鄉中山村中山二路223號,道教,宜蘭縣冬山鄉中山村2鄰中山二路223號,325364.95,2725669.1
清安堂,宜蘭縣政府,人頭爺,宜蘭縣,宜蘭縣五結鄉,季新村,宜蘭縣五結鄉季新村季水路51號邊,道教,宜蘭縣五結鄉季新村4鄰季水路51號,334360.577,2731219.801
大南澳八仙宮,宜蘭縣政府,八仙,宜蘭縣,宜蘭縣南澳鄉,99,宜蘭縣南澳鄉蘇花路二段497號,道教,宜蘭縣南澳鄉南澳村1鄰蘇花路二段497號,331761.229,2707064.439
伏聖宮,宜蘭縣政府,八卦祖師,宜蘭縣,宜蘭縣員山鄉,枕山村,宜蘭縣員山鄉枕山村坡城路22-36號,道教,宜蘭縣員山鄉枕山村18鄰坡城路22號,320965.343,2741262.384
伏羲廟,宜蘭縣政府,八卦祖師,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市南橋路27號,道教,宜蘭縣宜蘭市南橋里3鄰南橋路189之1號,324943.95,2735951.578
普恩廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,逸仙村,宜蘭縣員山鄉逸仙村大安路121號,道教,宜蘭縣員山鄉逸仙村12鄰大安路121號,320520.685,2737517.228
碧仙宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,永和村,宜蘭縣員山鄉永和村溫泉路65號,道教,宜蘭縣員山鄉永和村5鄰溫泉路65號,321860.445,2738270.313
福興廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,惠好村,宜蘭縣員山鄉惠好村賢德路二段66巷50號,道教,宜蘭縣員山鄉惠好村5鄰賢德路二段66巷50號,323921.713,2736262.156
廣安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,廣安村,宜蘭縣冬山鄉廣安村廣安路197號,道教,宜蘭縣冬山鄉廣安村8鄰廣安路197號,325496,2729532
保民廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,深溝村,宜蘭縣員山鄉深溝村深洲一路37巷7號,道教,宜蘭縣員山鄉深溝村10鄰深洲一路37巷7號,322822.136,2734482.777
慶安廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,枕山村,宜蘭縣員山鄉枕山村枕山路61號,道教,宜蘭縣員山鄉枕山村5鄰枕山路61號,322678.287,2740332.572
新興庄三山國王廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣礁溪鄉,林美村,宜蘭縣礁溪鄉林美村林尾路41號之1,道教,宜蘭縣礁溪鄉林美村5鄰林尾路41號之1,326375.157,2746108.668
永福宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,太和村,宜蘭縣冬山鄉太和村太和路217號,道教,宜蘭縣冬山鄉太和村9鄰太和路217號,328356.803,2725312.515
得安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,得安村,宜蘭縣冬山鄉得安村大埤五路170巷3號,道教,宜蘭縣冬山鄉得安村7鄰大埤五路170巷3號,324079.64,2726986.98
蘭陽大興振安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,大興村,宜蘭縣冬山鄉大興村振安路1之1號,道教,宜蘭縣冬山鄉大興村6鄰振安路1之1號,332069.239,2724565.97
震三宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮天祥路168號,道教,宜蘭縣羅東鎮東安里4鄰天祥路168號,328568.848,2729903.401
