宗教團體名稱,主管機關,主祀神祇,行政區,縣市,鄉鎮市區,村里,地址,教　別,完整地址,X,Y
丁軍廟,宜蘭縣政府,丁軍爺,宜蘭縣蘇澳鎮,宜蘭縣,蘇澳鎮,聖湖里,宜蘭縣蘇澳鎮聖湖里聖愛路133-1號,道教,宜蘭縣蘇澳鎮聖湖里聖愛路133-1號,0,0
詔安廟,宜蘭縣政府,三山國王,宜蘭縣冬山鄉,宜蘭縣,冬山鄉,安平村,宜蘭縣冬山鄉安平村安平路491號,道教,宜蘭縣冬山鄉安平村安平路491號,0,0
永興廟,宜蘭縣政府,三山國王,宜蘭縣礁溪鄉,宜蘭縣,礁溪鄉,龍潭村,宜蘭縣礁溪鄉龍潭村三皇路112巷14號,道教,宜蘭縣礁溪鄉龍潭村三皇路112巷14號,0,0
鎮安宮,宜蘭縣政府,三山國王,宜蘭縣冬山鄉,宜蘭縣,冬山鄉,鹿埔村,宜蘭縣冬山鄉鹿埔村松樹路22號,道教,宜蘭縣冬山鄉鹿埔村松樹路22號,0,0
三山國王廟,宜蘭縣政府,三山國王,宜蘭縣大同鄉,宜蘭縣,大同鄉,樂水村,宜蘭縣大同鄉樂水村碼崙巷72號,道教,宜蘭縣大同鄉樂水村碼崙巷72號,0,0
清安廟,宜蘭縣政府,三山國王,宜蘭縣三星鄉,宜蘭縣,三星鄉,員山村,宜蘭縣三星鄉員山村清水路47號,道教,宜蘭縣三星鄉員山村清水路47號,0,0
保安廟,宜蘭縣政府,三山國王,宜蘭縣員山鄉,宜蘭縣,員山鄉,湖東村,宜蘭縣員山鄉湖東村蜊埤路19號,道教,宜蘭縣員山鄉湖東村蜊埤路19號,0,0
宜蘭縣礁溪鄉龍潭三皇宮,宜蘭縣政府,三官大帝,宜蘭縣礁溪鄉,宜蘭縣,礁溪鄉,龍潭村,宜蘭縣礁溪鄉龍潭村三皇路2號,道教,宜蘭縣礁溪鄉龍潭村三皇路2號,0,0
山前三興宮,宜蘭縣政府,三官大帝,宜蘭縣員山鄉,宜蘭縣,員山鄉,同樂村,宜蘭縣員山鄉同樂村山前路85巷號,道教,宜蘭縣員山鄉同樂村山前路85巷號,0,0
土場福德廟,宜蘭縣政府,土地公,宜蘭縣大同鄉,宜蘭縣,大同鄉,太平村,宜蘭縣大同鄉太平村2鄰土埸1號,道教,宜蘭縣大同鄉太平村2鄰土埸1號,0,0
澳仔角福德廟,宜蘭縣政府,土地公,宜蘭縣蘇澳鎮,宜蘭縣,蘇澳鎮,港邊里,宜蘭縣蘇澳鎮港邊里港邊路旁,道教,宜蘭縣蘇澳鎮港邊里港邊路旁,0,0
