"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","南投縣","竹山鎮","延平里","第1天",17,17,0
"2","南投縣","竹山鎮","延平里","第2天",8,25,0
"3","南投縣","竹山鎮","延平里","第3天",2,27,0
"4","南投縣","竹山鎮","延平里","第4天",10,37,0
"5","南投縣","竹山鎮","延平里","第5天",9,46,0
"6","南投縣","竹山鎮","社寮里","第1天",23,23,0
"7","南投縣","竹山鎮","社寮里","第2天",12,35,1
"8","南投縣","竹山鎮","社寮里","第3天",5,40,1
"9","南投縣","竹山鎮","社寮里","第4天",11,51,0
"10","南投縣","竹山鎮","社寮里","第5天",15,66,0
"11","南投縣","竹山鎮","雲林里","第1天",3,3,0
"12","南投縣","竹山鎮","雲林里","第2天",7,10,0
"13","南投縣","竹山鎮","雲林里","第3天",2,12,1
"14","南投縣","竹山鎮","雲林里","第4天",2,14,1
"15","南投縣","竹山鎮","雲林里","第5天",3,17,0
"16","南投縣","竹山鎮","鯉魚里","第1天",17,17,0
"17","南投縣","竹山鎮","鯉魚里","第2天",10,27,4
"18","南投縣","竹山鎮","鯉魚里","第3天",3,30,0
"19","南投縣","竹山鎮","鯉魚里","第4天",2,32,0
"20","南投縣","竹山鎮","鯉魚里","第5天",5,37,0
"21","南投縣","南投市","三民里","第1天",1,1,0
"22","南投縣","南投市","三民里","第2天",3,4,0
"23","南投縣","南投市","三民里","第3天",0,4,0
"24","南投縣","南投市","三民里","第4天",0,4,0
"25","南投縣","南投市","三民里","第5天",0,4,0
"26","南投縣","南投市","千秋里","第1天",1,1,0
"27","南投縣","南投市","千秋里","第2天",7,8,0
"28","南投縣","南投市","千秋里","第3天",1,9,4
"29","南投縣","南投市","千秋里","第4天",2,11,1
"30","南投縣","南投市","千秋里","第5天",4,15,0
"31","南投縣","南投市","永豐里","第1天",2,2,0
"32","南投縣","南投市","永豐里","第2天",1,3,0
"33","南投縣","南投市","永豐里","第3天",2,5,0
"34","南投縣","南投市","永豐里","第4天",3,8,0
"35","南投縣","南投市","永豐里","第5天",1,9,0
"36","南投縣","南投市","光華里","第1天",1,1,0
"37","南投縣","南投市","光華里","第2天",7,8,9
"38","南投縣","南投市","光華里","第3天",1,9,0
"39","南投縣","南投市","光華里","第4天",6,15,0
"40","南投縣","南投市","光華里","第5天",6,21,1
"41","南投縣","南投市","鳳鳴里","第1天",4,4,0
"42","南投縣","南投市","鳳鳴里","第2天",3,7,1
"43","南投縣","南投市","鳳鳴里","第3天",6,13,3
"44","南投縣","南投市","鳳鳴里","第4天",5,18,1
"45","南投縣","南投市","鳳鳴里","第5天",1,19,6
"46","南投縣","草屯鎮","上林里","第1天",0,0,0
"47","南投縣","草屯鎮","上林里","第2天",0,0,0
"48","南投縣","草屯鎮","上林里","第3天",2,2,0
"49","南投縣","草屯鎮","上林里","第4天",2,4,0
"50","南投縣","草屯鎮","上林里","第5天",2,6,0
"51","南投縣","草屯鎮","土城里","第1天",2,2,0
"52","南投縣","草屯鎮","土城里","第2天",1,3,0
"53","南投縣","草屯鎮","土城里","第3天",2,5,0
"54","南投縣","草屯鎮","土城里","第4天",3,8,1
"55","南投縣","草屯鎮","土城里","第5天",1,9,0
"56","南投縣","草屯鎮","平林里","第1天",1,1,0
"57","南投縣","草屯鎮","平林里","第2天",3,4,0
"58","南投縣","草屯鎮","平林里","第3天",3,7,0
"59","南投縣","草屯鎮","平林里","第4天",5,12,0
"60","南投縣","草屯鎮","平林里","第5天",11,23,6
"61","南投縣","草屯鎮","新庄里","第1天",0,0,0
"62","南投縣","草屯鎮","新庄里","第2天",1,1,0
"63","南投縣","草屯鎮","新庄里","第3天",2,3,0
"64","南投縣","草屯鎮","新庄里","第4天",2,5,1
"65","南投縣","草屯鎮","新庄里","第5天",2,7,2
"66","南投縣","國姓鄉","長豐村","第1天",2,2,0
"67","南投縣","國姓鄉","長豐村","第2天",2,4,0
"68","南投縣","國姓鄉","長豐村","第3天",1,5,0
"69","南投縣","國姓鄉","長豐村","第4天",1,6,0
"70","南投縣","國姓鄉","長豐村","第5天",4,10,0
"71","南投縣","國姓鄉","南港村","第1天",2,2,0
"72","南投縣","國姓鄉","南港村","第2天",4,6,0
"73","南投縣","國姓鄉","南港村","第3天",2,8,0
"74","南投縣","國姓鄉","南港村","第4天",2,10,0
"75","南投縣","國姓鄉","南港村","第5天",6,16,0
"76","南投縣","國姓鄉","國姓村","第1天",4,4,0
"77","南投縣","國姓鄉","國姓村","第2天",7,11,0
"78","南投縣","國姓鄉","國姓村","第3天",3,14,0
"79","南投縣","國姓鄉","國姓村","第4天",2,16,0
"80","南投縣","國姓鄉","國姓村","第5天",4,20,0
"81","南投縣","國姓鄉","福龜村","第1天",2,2,0
"82","南投縣","國姓鄉","福龜村","第2天",3,5,0
"83","南投縣","國姓鄉","福龜村","第3天",2,7,0
"84","南投縣","國姓鄉","福龜村","第4天",2,9,0
"85","南投縣","國姓鄉","福龜村","第5天",7,16,0
"86","南投縣","鹿谷鄉","和雅村","第1天",3,3,0
"87","南投縣","鹿谷鄉","和雅村","第2天",1,4,0
"88","南投縣","鹿谷鄉","和雅村","第3天",3,7,0
"89","南投縣","鹿谷鄉","和雅村","第4天",2,9,0
"90","南投縣","鹿谷鄉","和雅村","第5天",2,11,0
"91","南投縣","鹿谷鄉","清水村","第1天",10,10,0
"92","南投縣","鹿谷鄉","清水村","第2天",4,14,0
"93","南投縣","鹿谷鄉","清水村","第3天",5,19,0
"94","南投縣","鹿谷鄉","清水村","第4天",2,21,0
"95","南投縣","鹿谷鄉","清水村","第5天",3,24,1
"96","南投縣","鹿谷鄉","瑞田村","第1天",8,8,0
"97","南投縣","鹿谷鄉","瑞田村","第2天",12,20,0
"98","南投縣","鹿谷鄉","瑞田村","第3天",7,27,1
"99","南投縣","鹿谷鄉","瑞田村","第4天",2,29,1
"100","南投縣","鹿谷鄉","瑞田村","第5天",20,49,0
"101","南投縣","鹿谷鄉","彰雅村","第1天",12,12,0
"102","南投縣","鹿谷鄉","彰雅村","第2天",10,22,4
"103","南投縣","鹿谷鄉","彰雅村","第3天",3,25,0
"104","南投縣","鹿谷鄉","彰雅村","第4天",6,31,0
"105","南投縣","鹿谷鄉","彰雅村","第5天",3,34,0
"106","南投縣","集集鎮","田寮里","第1天",6,6,0
"107","南投縣","集集鎮","田寮里","第2天",2,8,0
"108","南投縣","集集鎮","田寮里","第3天",2,10,0
"109","南投縣","集集鎮","田寮里","第4天",6,16,0
"110","南投縣","集集鎮","田寮里","第5天",1,17,0
"111","南投縣","集集鎮","吳厝里","第1天",9,9,0
"112","南投縣","集集鎮","吳厝里","第2天",7,16,1
"113","南投縣","集集鎮","吳厝里","第3天",4,20,0
"114","南投縣","集集鎮","吳厝里","第4天",3,23,0
"115","南投縣","集集鎮","吳厝里","第5天",7,30,0
"116","南投縣","集集鎮","廣明里","第1天",13,13,0
"117","南投縣","集集鎮","廣明里","第2天",19,32,0
"118","南投縣","集集鎮","廣明里","第3天",6,38,0
"119","南投縣","集集鎮","廣明里","第4天",7,45,0
"120","南投縣","集集鎮","廣明里","第5天",6,51,0
