"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","嘉義市","西區","車店里","第1天",2,2,0
"2","嘉義市","西區","車店里","第2天",2,4,0
"3","嘉義市","西區","車店里","第3天",0,4,0
"4","嘉義市","西區","車店里","第4天",1,5,0
"5","嘉義市","西區","車店里","第5天",1,6,0
"6","嘉義市","西區","保生里","第1天",0,0,0
"7","嘉義市","西區","保生里","第2天",2,2,0
"8","嘉義市","西區","保生里","第3天",0,2,0
"9","嘉義市","西區","保生里","第4天",0,2,0
"10","嘉義市","西區","保生里","第5天",1,3,0
"11","嘉義市","西區","致遠里","第1天",0,0,0
"12","嘉義市","西區","致遠里","第2天",3,3,0
"13","嘉義市","西區","致遠里","第3天",0,3,0
"14","嘉義市","西區","致遠里","第4天",0,3,0
"15","嘉義市","西區","致遠里","第5天",0,3,0
"16","嘉義市","西區","香湖里","第1天",2,2,0
"17","嘉義市","西區","香湖里","第2天",0,2,0
"18","嘉義市","西區","香湖里","第3天",1,3,0
"19","嘉義市","西區","香湖里","第4天",0,3,0
"20","嘉義市","西區","香湖里","第5天",0,3,0
"21","嘉義市","西區","福安里","第1天",0,0,0
"22","嘉義市","西區","福安里","第2天",2,2,0
"23","嘉義市","西區","福安里","第3天",1,3,0
"24","嘉義市","西區","福安里","第4天",0,3,0
"25","嘉義市","西區","福安里","第5天",2,5,0
"26","嘉義市","西區","劉厝里","第1天",1,1,0
"27","嘉義市","西區","劉厝里","第2天",1,2,0
"28","嘉義市","西區","劉厝里","第3天",1,3,0
"29","嘉義市","西區","劉厝里","第4天",1,4,0
"30","嘉義市","西區","劉厝里","第5天",0,4,0
"31","嘉義市","東區","文雅里","第1天",3,3,0
"32","嘉義市","東區","文雅里","第2天",4,7,3
"33","嘉義市","東區","文雅里","第3天",1,8,2
"34","嘉義市","東區","文雅里","第4天",1,9,5
"35","嘉義市","東區","文雅里","第5天",2,11,5
"36","嘉義市","東區","北門里","第1天",2,2,0
"37","嘉義市","東區","北門里","第2天",0,2,0
"38","嘉義市","東區","北門里","第3天",3,5,0
"39","嘉義市","東區","北門里","第4天",0,5,0
"40","嘉義市","東區","北門里","第5天",2,7,0
"41","嘉義市","東區","安業里","第1天",4,4,0
"42","嘉義市","東區","安業里","第2天",2,6,0
"43","嘉義市","東區","安業里","第3天",0,6,0
"44","嘉義市","東區","安業里","第4天",1,7,0
"45","嘉義市","東區","安業里","第5天",11,18,0
"46","嘉義市","東區","東興里","第1天",2,2,0
"47","嘉義市","東區","東興里","第2天",1,3,0
"48","嘉義市","東區","東興里","第3天",7,10,0
"49","嘉義市","東區","東興里","第4天",0,10,0
"50","嘉義市","東區","東興里","第5天",7,17,0
"51","嘉義市","東區","頂庄里","第1天",12,12,0
"52","嘉義市","東區","頂庄里","第2天",10,22,2
"53","嘉義市","東區","頂庄里","第3天",2,24,7
"54","嘉義市","東區","頂庄里","第4天",3,27,7
"55","嘉義市","東區","頂庄里","第5天",3,30,7
"56","嘉義市","東區","興仁里","第1天",11,11,0
"57","嘉義市","東區","興仁里","第2天",7,18,0
"58","嘉義市","東區","興仁里","第3天",10,28,0
"59","嘉義市","東區","興仁里","第4天",9,37,0
"60","嘉義市","東區","興仁里","第5天",6,43,0
"61","嘉義市","東區","豐年里","第1天",2,2,0
"62","嘉義市","東區","豐年里","第2天",4,6,0
"63","嘉義市","東區","豐年里","第3天",1,7,0
"64","嘉義市","東區","豐年里","第4天",0,7,0
"65","嘉義市","東區","豐年里","第5天",0,7,0
