"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","基隆市","七堵區","堵北里","第1天",3,3,0
"2","基隆市","七堵區","堵北里","第2天",6,9,2
"3","基隆市","七堵區","堵北里","第3天",8,17,0
"4","基隆市","七堵區","堵北里","第4天",1,18,0
"5","基隆市","七堵區","堵北里","第5天",3,21,1
"6","基隆市","中山區","中興里","第1天",5,5,0
"7","基隆市","中山區","中興里","第2天",3,8,2
"8","基隆市","中山區","中興里","第3天",2,10,0
"9","基隆市","中山區","中興里","第4天",2,12,0
"10","基隆市","中山區","中興里","第5天",0,12,0
"11","基隆市","中山區","仁正里","第1天",2,2,0
"12","基隆市","中山區","仁正里","第2天",1,3,0
"13","基隆市","中山區","仁正里","第3天",3,6,0
"14","基隆市","中山區","仁正里","第4天",1,7,0
"15","基隆市","中山區","仁正里","第5天",0,7,0
"16","基隆市","中山區","居仁里","第1天",2,2,0
"17","基隆市","中山區","居仁里","第2天",4,6,0
"18","基隆市","中山區","居仁里","第3天",5,11,0
"19","基隆市","中山區","居仁里","第4天",2,13,0
"20","基隆市","中山區","居仁里","第5天",7,20,0
"21","基隆市","中山區","通化里","第1天",5,5,0
"22","基隆市","中山區","通化里","第2天",2,7,2
"23","基隆市","中山區","通化里","第3天",7,14,0
"24","基隆市","中山區","通化里","第4天",1,15,0
"25","基隆市","中山區","通化里","第5天",3,18,0
"26","基隆市","中正區","中砂里","第1天",4,4,0
"27","基隆市","中正區","中砂里","第2天",4,8,3
"28","基隆市","中正區","中砂里","第3天",0,8,1
"29","基隆市","中正區","中砂里","第4天",3,11,2
"30","基隆市","中正區","中砂里","第5天",2,13,3
"31","基隆市","中正區","平寮里","第1天",2,2,0
"32","基隆市","中正區","平寮里","第2天",3,5,2
"33","基隆市","中正區","平寮里","第3天",0,5,0
"34","基隆市","中正區","平寮里","第4天",1,6,2
"35","基隆市","中正區","平寮里","第5天",3,9,2
"36","基隆市","中正區","正砂里","第1天",0,0,0
"37","基隆市","中正區","正砂里","第2天",1,1,0
"38","基隆市","中正區","正砂里","第3天",5,6,0
"39","基隆市","中正區","正砂里","第4天",3,9,1
"40","基隆市","中正區","正砂里","第5天",1,10,0
"41","基隆市","中正區","砂灣里","第1天",5,5,0
"42","基隆市","中正區","砂灣里","第2天",4,9,1
"43","基隆市","中正區","砂灣里","第3天",5,14,0
"44","基隆市","中正區","砂灣里","第4天",16,30,0
"45","基隆市","中正區","砂灣里","第5天",0,30,0
"46","基隆市","仁愛區","吉仁里","第1天",8,8,0
"47","基隆市","仁愛區","吉仁里","第2天",9,17,3
"48","基隆市","仁愛區","吉仁里","第3天",2,19,0
"49","基隆市","仁愛區","吉仁里","第4天",0,19,0
"50","基隆市","仁愛區","吉仁里","第5天",5,24,0
"51","基隆市","仁愛區","書院里","第1天",4,4,0
"52","基隆市","仁愛區","書院里","第2天",3,7,0
"53","基隆市","仁愛區","書院里","第3天",3,10,0
"54","基隆市","仁愛區","書院里","第4天",1,11,0
"55","基隆市","仁愛區","書院里","第5天",5,16,0
"56","基隆市","安樂區","五福里","第1天",4,4,0
"57","基隆市","安樂區","五福里","第2天",4,8,0
"58","基隆市","安樂區","五福里","第3天",3,11,0
"59","基隆市","安樂區","五福里","第4天",3,14,0
"60","基隆市","安樂區","五福里","第5天",0,14,0
"61","基隆市","信義區","東明里","第1天",11,11,0
"62","基隆市","信義區","東明里","第2天",0,11,0
"63","基隆市","信義區","東明里","第3天",5,16,1
"64","基隆市","信義區","東明里","第4天",5,21,5
"65","基隆市","信義區","東明里","第5天",0,21,1
"66","基隆市","暖暖區","暖西里","第1天",10,10,0
"67","基隆市","暖暖區","暖西里","第2天",9,19,0
"68","基隆市","暖暖區","暖西里","第3天",5,24,1
"69","基隆市","暖暖區","暖西里","第4天",7,31,0
"70","基隆市","暖暖區","暖西里","第5天",6,37,0
