"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","宜蘭縣","大同鄉","崙埤村","第1天",5,5,0
"2","宜蘭縣","大同鄉","崙埤村","第2天",8,13,0
"3","宜蘭縣","大同鄉","崙埤村","第3天",5,18,0
"4","宜蘭縣","大同鄉","崙埤村","第4天",8,26,0
"5","宜蘭縣","大同鄉","崙埤村","第5天",4,30,1
"6","宜蘭縣","大同鄉","寒溪村","第1天",2,2,0
"7","宜蘭縣","大同鄉","寒溪村","第2天",7,9,0
"8","宜蘭縣","大同鄉","寒溪村","第3天",2,11,0
"9","宜蘭縣","大同鄉","寒溪村","第4天",4,15,3
"10","宜蘭縣","大同鄉","寒溪村","第5天",5,20,3
"11","宜蘭縣","宜蘭市","七結里","第1天",0,0,0
"12","宜蘭縣","宜蘭市","七結里","第2天",0,0,0
"13","宜蘭縣","宜蘭市","七結里","第3天",0,0,0
"14","宜蘭縣","宜蘭市","七結里","第4天",0,0,0
"15","宜蘭縣","宜蘭市","七結里","第5天",0,0,0
"16","宜蘭縣","宜蘭市","小東里","第1天",0,0,0
"17","宜蘭縣","宜蘭市","小東里","第2天",0,0,0
"18","宜蘭縣","宜蘭市","小東里","第3天",0,0,0
"19","宜蘭縣","宜蘭市","小東里","第4天",0,0,0
"20","宜蘭縣","宜蘭市","小東里","第5天",1,1,0
"21","宜蘭縣","宜蘭市","中興里","第1天",0,0,0
"22","宜蘭縣","宜蘭市","中興里","第2天",1,1,0
"23","宜蘭縣","宜蘭市","中興里","第3天",0,1,0
"24","宜蘭縣","宜蘭市","中興里","第4天",0,1,0
"25","宜蘭縣","宜蘭市","中興里","第5天",0,1,0
"26","宜蘭縣","宜蘭市","延平里","第1天",5,5,0
"27","宜蘭縣","宜蘭市","延平里","第2天",1,6,0
"28","宜蘭縣","宜蘭市","延平里","第3天",4,10,0
"29","宜蘭縣","宜蘭市","延平里","第4天",1,11,0
"30","宜蘭縣","宜蘭市","延平里","第5天",1,12,0
"31","宜蘭縣","宜蘭市","東門里","第1天",0,0,0
"32","宜蘭縣","宜蘭市","東門里","第2天",0,0,0
"33","宜蘭縣","宜蘭市","東門里","第3天",0,0,0
"34","宜蘭縣","宜蘭市","東門里","第4天",0,0,0
"35","宜蘭縣","宜蘭市","東門里","第5天",0,0,0
"36","宜蘭縣","宜蘭市","泰山里","第1天",1,1,0
"37","宜蘭縣","宜蘭市","泰山里","第2天",0,1,0
"38","宜蘭縣","宜蘭市","泰山里","第3天",0,1,0
"39","宜蘭縣","宜蘭市","泰山里","第4天",3,4,0
"40","宜蘭縣","宜蘭市","泰山里","第5天",1,5,0
