"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","屏東縣","內埔鄉","上樹村","第1天",5,5,0
"2","屏東縣","內埔鄉","上樹村","第2天",3,8,0
"3","屏東縣","內埔鄉","上樹村","第3天",8,16,0
"4","屏東縣","內埔鄉","上樹村","第4天",9,25,0
"5","屏東縣","內埔鄉","上樹村","第5天",0,25,0
"6","屏東縣","內埔鄉","建興村","第1天",16,16,0
"7","屏東縣","內埔鄉","建興村","第2天",13,29,0
"8","屏東縣","內埔鄉","建興村","第3天",17,46,0
"9","屏東縣","內埔鄉","建興村","第4天",11,57,0
"10","屏東縣","內埔鄉","建興村","第5天",18,75,1
"11","屏東縣","內埔鄉","美和村","第1天",10,10,0
"12","屏東縣","內埔鄉","美和村","第2天",6,16,0
"13","屏東縣","內埔鄉","美和村","第3天",2,18,0
"14","屏東縣","內埔鄉","美和村","第4天",4,22,0
"15","屏東縣","內埔鄉","美和村","第5天",4,26,0
"16","屏東縣","內埔鄉","富田村","第1天",9,9,0
"17","屏東縣","內埔鄉","富田村","第2天",14,23,2
"18","屏東縣","內埔鄉","富田村","第3天",8,31,0
"19","屏東縣","內埔鄉","富田村","第4天",5,36,1
"20","屏東縣","內埔鄉","富田村","第5天",1,37,0
"21","屏東縣","內埔鄉","義亭村","第1天",8,8,0
"22","屏東縣","內埔鄉","義亭村","第2天",3,11,1
"23","屏東縣","內埔鄉","義亭村","第3天",1,12,0
"24","屏東縣","內埔鄉","義亭村","第4天",0,12,0
"25","屏東縣","內埔鄉","義亭村","第5天",2,14,0
"26","屏東縣","內埔鄉","興南村","第1天",8,8,0
"27","屏東縣","內埔鄉","興南村","第2天",13,21,0
"28","屏東縣","內埔鄉","興南村","第3天",7,28,0
"29","屏東縣","內埔鄉","興南村","第4天",3,31,1
"30","屏東縣","內埔鄉","興南村","第5天",1,32,0
"31","屏東縣","車城鄉","後灣村","第1天",14,14,0
"32","屏東縣","車城鄉","後灣村","第2天",4,18,8
"33","屏東縣","車城鄉","後灣村","第3天",4,22,6
"34","屏東縣","車城鄉","後灣村","第4天",4,26,10
"35","屏東縣","車城鄉","後灣村","第5天",2,28,20
"36","屏東縣","車城鄉","射寮村","第1天",6,6,0
"37","屏東縣","車城鄉","射寮村","第2天",5,11,1
"38","屏東縣","車城鄉","射寮村","第3天",8,19,1
"39","屏東縣","車城鄉","射寮村","第4天",6,25,9
"40","屏東縣","車城鄉","射寮村","第5天",3,28,8
"41","屏東縣","車城鄉","新街村","第1天",1,1,1
"42","屏東縣","車城鄉","新街村","第2天",1,2,1
"43","屏東縣","車城鄉","新街村","第3天",2,4,1
"44","屏東縣","車城鄉","新街村","第4天",1,5,1
"45","屏東縣","車城鄉","新街村","第5天",4,9,2
"46","屏東縣","東港鎮","東隆里","第1天",3,3,0
"47","屏東縣","東港鎮","東隆里","第2天",2,5,0
"48","屏東縣","東港鎮","東隆里","第3天",2,7,0
"49","屏東縣","東港鎮","東隆里","第4天",3,10,0
"50","屏東縣","東港鎮","東隆里","第5天",1,11,0
"51","屏東縣","東港鎮","興和里","第1天",2,2,0
"52","屏東縣","東港鎮","興和里","第2天",3,5,0
"53","屏東縣","東港鎮","興和里","第3天",3,8,0
"54","屏東縣","東港鎮","興和里","第4天",2,10,0
"55","屏東縣","東港鎮","興和里","第5天",5,15,0
"56","屏東縣","枋寮鄉","內寮村","第1天",4,4,1
"57","屏東縣","枋寮鄉","內寮村","第2天",9,13,3
"58","屏東縣","枋寮鄉","內寮村","第3天",12,25,8
"59","屏東縣","枋寮鄉","內寮村","第4天",5,30,9
"60","屏東縣","枋寮鄉","內寮村","第5天",19,49,9
"61","屏東縣","枋寮鄉","安樂村","第1天",8,8,3
"62","屏東縣","枋寮鄉","安樂村","第2天",7,15,1
"63","屏東縣","枋寮鄉","安樂村","第3天",11,26,1
"64","屏東縣","枋寮鄉","安樂村","第4天",4,30,2
"65","屏東縣","枋寮鄉","安樂村","第5天",5,35,2
"66","屏東縣","枋寮鄉","枋寮村","第1天",5,5,0
"67","屏東縣","枋寮鄉","枋寮村","第2天",13,18,6
"68","屏東縣","枋寮鄉","枋寮村","第3天",10,28,9
"69","屏東縣","枋寮鄉","枋寮村","第4天",17,45,7
"70","屏東縣","枋寮鄉","枋寮村","第5天",8,53,9
"71","屏東縣","枋寮鄉","隆山村","第1天",19,19,0
"72","屏東縣","枋寮鄉","隆山村","第2天",37,56,12
"73","屏東縣","枋寮鄉","隆山村","第3天",0,56,17
"74","屏東縣","枋寮鄉","隆山村","第4天",31,87,15
"75","屏東縣","枋寮鄉","隆山村","第5天",15,102,11
"76","屏東縣","林邊鄉","水利村","第1天",9,9,1
