"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","彰化縣","永靖鄉","永北村","第1天",1,1,0
"2","彰化縣","永靖鄉","永北村","第2天",3,4,0
"3","彰化縣","永靖鄉","永北村","第3天",3,7,1
"4","彰化縣","永靖鄉","永北村","第4天",1,8,0
"5","彰化縣","永靖鄉","永北村","第5天",4,12,1
"6","彰化縣","永靖鄉","永南村","第1天",2,2,0
"7","彰化縣","永靖鄉","永南村","第2天",1,3,0
"8","彰化縣","永靖鄉","永南村","第3天",4,7,0
"9","彰化縣","永靖鄉","永南村","第4天",2,9,1
"10","彰化縣","永靖鄉","永南村","第5天",1,10,0
"11","彰化縣","永靖鄉","永興村","第1天",4,4,0
"12","彰化縣","永靖鄉","永興村","第2天",2,6,0
"13","彰化縣","永靖鄉","永興村","第3天",0,6,0
"14","彰化縣","永靖鄉","永興村","第4天",3,9,0
"15","彰化縣","永靖鄉","永興村","第5天",3,12,0
"16","彰化縣","田中鎮","大崙里","第1天",3,3,0
"17","彰化縣","田中鎮","大崙里","第2天",2,5,0
"18","彰化縣","田中鎮","大崙里","第3天",3,8,0
"19","彰化縣","田中鎮","大崙里","第4天",7,15,0
"20","彰化縣","田中鎮","大崙里","第5天",2,17,0
"21","彰化縣","田中鎮","北路里","第1天",0,0,0
"22","彰化縣","田中鎮","北路里","第2天",4,4,0
"23","彰化縣","田中鎮","北路里","第3天",2,6,1
"24","彰化縣","田中鎮","北路里","第4天",4,10,0
"25","彰化縣","田中鎮","北路里","第5天",3,13,1
"26","彰化縣","田中鎮","龍潭里","第1天",1,1,0
"27","彰化縣","田中鎮","龍潭里","第2天",1,2,0
"28","彰化縣","田中鎮","龍潭里","第3天",0,2,0
"29","彰化縣","田中鎮","龍潭里","第4天",0,2,0
"30","彰化縣","田中鎮","龍潭里","第5天",1,3,0
"31","彰化縣","和美鎮","中圍里","第1天",2,2,0
"32","彰化縣","和美鎮","中圍里","第2天",1,3,2
"33","彰化縣","和美鎮","中圍里","第3天",4,7,0
"34","彰化縣","和美鎮","中圍里","第4天",5,12,0
"35","彰化縣","和美鎮","中圍里","第5天",3,15,0
"36","彰化縣","和美鎮","好修里","第1天",1,1,0
"37","彰化縣","和美鎮","好修里","第2天",4,5,0
"38","彰化縣","和美鎮","好修里","第3天",1,6,0
"39","彰化縣","和美鎮","好修里","第4天",1,7,0
"40","彰化縣","和美鎮","好修里","第5天",1,8,0
"41","彰化縣","和美鎮","雅溝里","第1天",0,0,0
"42","彰化縣","和美鎮","雅溝里","第2天",1,1,2
"43","彰化縣","和美鎮","雅溝里","第3天",4,5,0
"44","彰化縣","和美鎮","雅溝里","第4天",2,7,1
"45","彰化縣","和美鎮","雅溝里","第5天",2,9,0
"46","彰化縣","和美鎮","塗厝里","第1天",0,0,0
"47","彰化縣","和美鎮","塗厝里","第2天",1,1,0
"48","彰化縣","和美鎮","塗厝里","第3天",1,2,0
"49","彰化縣","和美鎮","塗厝里","第4天",2,4,0
"50","彰化縣","和美鎮","塗厝里","第5天",1,5,0
"51","彰化縣","和美鎮","頭前里","第1天",3,3,0
"52","彰化縣","和美鎮","頭前里","第2天",3,6,0
"53","彰化縣","和美鎮","頭前里","第3天",2,8,1
"54","彰化縣","和美鎮","頭前里","第4天",2,10,0
"55","彰化縣","和美鎮","頭前里","第5天",3,13,0
"56","彰化縣","社頭鄉","協和村","第1天",2,2,0
"57","彰化縣","社頭鄉","協和村","第2天",0,2,0
"58","彰化縣","社頭鄉","協和村","第3天",3,5,1
"59","彰化縣","社頭鄉","協和村","第4天",2,7,0
"60","彰化縣","社頭鄉","協和村","第5天",4,11,0
"61","彰化縣","社頭鄉","橋頭村","第1天",2,2,0
"62","彰化縣","社頭鄉","橋頭村","第2天",2,4,2
"63","彰化縣","社頭鄉","橋頭村","第3天",0,4,0
"64","彰化縣","社頭鄉","橋頭村","第4天",3,7,0
"65","彰化縣","社頭鄉","橋頭村","第5天",0,7,0
"66","彰化縣","社頭鄉","舊社村","第1天",3,3,0
"67","彰化縣","社頭鄉","舊社村","第2天",2,5,0
"68","彰化縣","社頭鄉","舊社村","第3天",5,10,0
"69","彰化縣","社頭鄉","舊社村","第4天",2,12,0
"70","彰化縣","社頭鄉","舊社村","第5天",4,16,0
"71","彰化縣","芬園鄉","楓坑村","第1天",20,20,0
"72","彰化縣","芬園鄉","楓坑村","第2天",4,24,0
"73","彰化縣","芬園鄉","楓坑村","第3天",10,34,0
"74","彰化縣","芬園鄉","楓坑村","第4天",2,36,2
"75","彰化縣","芬園鄉","楓坑村","第5天",10,46,5
"76","彰化縣","芬園鄉","溪頭村","第1天",0,0,0
"77","彰化縣","芬園鄉","溪頭村","第2天",0,0,0
"78","彰化縣","芬園鄉","溪頭村","第3天",1,1,0
"79","彰化縣","芬園鄉","溪頭村","第4天",0,1,0
"80","彰化縣","芬園鄉","溪頭村","第5天",1,2,0
"81","彰化縣","芬園鄉","舊社村","第1天",1,1,0
"82","彰化縣","芬園鄉","舊社村","第2天",6,7,0
"83","彰化縣","芬園鄉","舊社村","第3天",4,11,1
"84","彰化縣","芬園鄉","舊社村","第4天",3,14,0
"85","彰化縣","芬園鄉","舊社村","第5天",5,19,0
"86","彰化縣","花壇鄉","文德村","第1天",2,2,0
"87","彰化縣","花壇鄉","文德村","第2天",2,4,0
"88","彰化縣","花壇鄉","文德村","第3天",2,6,2
"89","彰化縣","花壇鄉","文德村","第4天",1,7,0
"90","彰化縣","花壇鄉","文德村","第5天",3,10,1
"91","彰化縣","花壇鄉","永春村","第1天",5,5,0
"92","彰化縣","花壇鄉","永春村","第2天",4,9,0
"93","彰化縣","花壇鄉","永春村","第3天",2,11,1
"94","彰化縣","花壇鄉","永春村","第4天",4,15,0
"95","彰化縣","花壇鄉","永春村","第5天",4,19,0
"96","彰化縣","花壇鄉","崙雅村","第1天",4,4,1
"97","彰化縣","花壇鄉","崙雅村","第2天",6,10,2
"98","彰化縣","花壇鄉","崙雅村","第3天",1,11,1
