"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","新北市","三芝區","古庄里","第1天",2,2,0
"2","新北市","三芝區","古庄里","第2天",2,4,0
"3","新北市","三芝區","古庄里","第3天",5,9,0
"4","新北市","三芝區","古庄里","第4天",3,12,0
"5","新北市","三芝區","古庄里","第5天",7,19,1
"6","新北市","三芝區","店子里","第1天",3,3,0
"7","新北市","三芝區","店子里","第2天",0,3,0
"8","新北市","三芝區","店子里","第3天",3,6,0
"9","新北市","三芝區","店子里","第4天",2,8,0
"10","新北市","三芝區","店子里","第5天",4,12,0
"11","新北市","三芝區","橫山里","第1天",2,2,0
"12","新北市","三芝區","橫山里","第2天",3,5,0
"13","新北市","三芝區","橫山里","第3天",0,5,0
"14","新北市","三芝區","橫山里","第4天",4,9,0
"15","新北市","三芝區","橫山里","第5天",5,14,0
"16","新北市","三芝區","錫板里","第1天",2,2,0
"17","新北市","三芝區","錫板里","第2天",4,6,0
"18","新北市","三芝區","錫板里","第3天",7,13,0
"19","新北市","三芝區","錫板里","第4天",6,19,0
"20","新北市","三芝區","錫板里","第5天",8,27,2
"21","新北市","三重區","五福里","第1天",0,0,0
"22","新北市","三重區","五福里","第2天",1,1,0
"23","新北市","三重區","五福里","第3天",0,1,0
"24","新北市","三重區","五福里","第4天",0,1,0
"25","新北市","三重區","五福里","第5天",0,1,0
"26","新北市","三重區","六福里","第1天",2,2,0
"27","新北市","三重區","六福里","第2天",0,2,0
"28","新北市","三重區","六福里","第3天",2,4,0
"29","新北市","三重區","六福里","第4天",1,5,0
"30","新北市","三重區","六福里","第5天",0,5,0
"31","新北市","三重區","文化里","第1天",0,0,0
"32","新北市","三重區","文化里","第2天",1,1,0
"33","新北市","三重區","文化里","第3天",0,1,0
"34","新北市","三重區","文化里","第4天",0,1,0
"35","新北市","三重區","文化里","第5天",0,1,0
"36","新北市","三重區","永安里","第1天",1,1,0
"37","新北市","三重區","永安里","第2天",1,2,2
"38","新北市","三重區","永安里","第3天",0,2,0
"39","新北市","三重區","永安里","第4天",0,2,0
"40","新北市","三重區","永安里","第5天",0,2,0
"41","新北市","三重區","永豐里","第1天",0,0,0
"42","新北市","三重區","永豐里","第2天",2,2,0
"43","新北市","三重區","永豐里","第3天",3,5,0
"44","新北市","三重區","永豐里","第4天",0,5,0
"45","新北市","三重區","永豐里","第5天",0,5,0
"46","新北市","三重區","幸福里","第1天",2,2,0
"47","新北市","三重區","幸福里","第2天",1,3,1
"48","新北市","三重區","幸福里","第3天",0,3,0
"49","新北市","三重區","幸福里","第4天",2,5,1
"50","新北市","三重區","幸福里","第5天",4,9,0
"51","新北市","三重區","信安里","第1天",0,0,0
"52","新北市","三重區","信安里","第2天",0,0,0
"53","新北市","三重區","信安里","第3天",0,0,0
"54","新北市","三重區","信安里","第4天",0,0,0
"55","新北市","三重區","信安里","第5天",0,0,0
"56","新北市","三重區","培德里","第1天",0,0,0
"57","新北市","三重區","培德里","第2天",0,0,0
"58","新北市","三重區","培德里","第3天",1,1,0
"59","新北市","三重區","培德里","第4天",1,2,0
"60","新北市","三重區","培德里","第5天",1,3,0
"61","新北市","三重區","萬壽里","第1天",1,1,0
"62","新北市","三重區","萬壽里","第2天",0,1,0
"63","新北市","三重區","萬壽里","第3天",0,1,0
"64","新北市","三重區","萬壽里","第4天",0,1,0
"65","新北市","三重區","萬壽里","第5天",0,1,0
"66","新北市","三重區","福星里","第1天",0,0,0
"67","新北市","三重區","福星里","第2天",0,0,0
"68","新北市","三重區","福星里","第3天",0,0,0
"69","新北市","三重區","福星里","第4天",0,0,0
"70","新北市","三重區","福星里","第5天",0,0,0
"71","新北市","中和區","仁和里","第1天",0,0,0
"72","新北市","中和區","仁和里","第2天",0,0,0
"73","新北市","中和區","仁和里","第3天",0,0,0
"74","新北市","中和區","仁和里","第4天",0,0,0
"75","新北市","中和區","仁和里","第5天",0,0,0
"76","新北市","中和區","文元里","第1天",0,0,0
"77","新北市","中和區","文元里","第2天",1,1,1
"78","新北市","中和區","文元里","第3天",0,1,0
"79","新北市","中和區","文元里","第4天",0,1,0
"80","新北市","中和區","文元里","第5天",0,1,0
"81","新北市","中和區","安平里","第1天",0,0,0
"82","新北市","中和區","安平里","第2天",0,0,0
"83","新北市","中和區","安平里","第3天",0,0,0
"84","新北市","中和區","安平里","第4天",0,0,0
"85","新北市","中和區","安平里","第5天",8,8,0
"86","新北市","中和區","秀成里","第1天",0,0,0
"87","新北市","中和區","秀成里","第2天",4,4,0
"88","新北市","中和區","秀成里","第3天",0,4,0
"89","新北市","中和區","秀成里","第4天",1,5,0
"90","新北市","中和區","秀成里","第5天",1,6,0
"91","新北市","中和區","秀景里","第1天",0,0,0
"92","新北市","中和區","秀景里","第2天",1,1,0
"93","新北市","中和區","秀景里","第3天",2,3,0
"94","新北市","中和區","秀景里","第4天",3,6,0
"95","新北市","中和區","秀景里","第5天",8,14,0
"96","新北市","中和區","秀義里","第1天",0,0,0
"97","新北市","中和區","秀義里","第2天",0,0,0
"98","新北市","中和區","秀義里","第3天",0,0,0
"99","新北市","中和區","秀義里","第4天",0,0,0
"100","新北市","中和區","秀義里","第5天",0,0,0
"101","新北市","中和區","冠穗里","第1天",1,1,0
"102","新北市","中和區","冠穗里","第2天",0,1,0
"103","新北市","中和區","冠穗里","第3天",0,1,0
"104","新北市","中和區","冠穗里","第4天",0,1,0
"105","新北市","中和區","冠穗里","第5天",1,2,0
"106","新北市","中和區","南山里","第1天",1,1,0
"107","新北市","中和區","南山里","第2天",0,1,0
"108","新北市","中和區","南山里","第3天",0,1,0
"109","新北市","中和區","南山里","第4天",0,1,0
"110","新北市","中和區","南山里","第5天",0,1,0
"111","新北市","中和區","連城里","第1天",2,2,0
"112","新北市","中和區","連城里","第2天",0,2,0
"113","新北市","中和區","連城里","第3天",0,2,0
"114","新北市","中和區","連城里","第4天",0,2,0
"115","新北市","中和區","連城里","第5天",0,2,0
"116","新北市","中和區","頂南里","第1天",1,1,0
"117","新北市","中和區","頂南里","第2天",0,1,0
"118","新北市","中和區","頂南里","第3天",0,1,0
"119","新北市","中和區","頂南里","第4天",0,1,0
"120","新北市","中和區","頂南里","第5天",0,1,0
"121","新北市","中和區","景南里","第1天",0,0,0
"122","新北市","中和區","景南里","第2天",0,0,0
"123","新北市","中和區","景南里","第3天",0,0,0
"124","新北市","中和區","景南里","第4天",0,0,0
"125","新北市","中和區","景南里","第5天",0,0,0
"126","新北市","中和區","華南里","第1天",0,0,0
"127","新北市","中和區","華南里","第2天",0,0,0
"128","新北市","中和區","華南里","第3天",0,0,0
"129","新北市","中和區","華南里","第4天",1,1,0
"130","新北市","中和區","華南里","第5天",1,2,1
"131","新北市","中和區","華新里","第1天",1,1,0
"132","新北市","中和區","華新里","第2天",2,3,0
"133","新北市","中和區","華新里","第3天",4,7,0
"134","新北市","中和區","華新里","第4天",0,7,0
"135","新北市","中和區","華新里","第5天",0,7,0
"136","新北市","中和區","漳和里","第1天",0,0,0
"137","新北市","中和區","漳和里","第2天",0,0,0
"138","新北市","中和區","漳和里","第3天",0,0,0
"139","新北市","中和區","漳和里","第4天",0,0,0
"140","新北市","中和區","漳和里","第5天",0,0,0
"141","新北市","中和區","興南里","第1天",2,2,0
"142","新北市","中和區","興南里","第2天",0,2,0
"143","新北市","中和區","興南里","第3天",0,2,0
"144","新北市","中和區","興南里","第4天",0,2,0
"145","新北市","中和區","興南里","第5天",0,2,0
"146","新北市","平溪區","平湖里","第1天",9,9,1
"147","新北市","平溪區","平湖里","第2天",1,10,6
"148","新北市","平溪區","平湖里","第3天",6,16,5
"149","新北市","平溪區","平湖里","第4天",4,20,8
"150","新北市","平溪區","平湖里","第5天",1,21,5
"151","新北市","平溪區","南山里","第1天",6,6,0
"152","新北市","平溪區","南山里","第2天",1,7,4
"153","新北市","平溪區","南山里","第3天",2,9,4
"154","新北市","平溪區","南山里","第4天",0,9,4
"155","新北市","平溪區","南山里","第5天",1,10,4
"156","新北市","平溪區","望古里","第1天",2,2,0
"157","新北市","平溪區","望古里","第2天",0,2,2
"158","新北市","平溪區","望古里","第3天",6,8,2
"159","新北市","平溪區","望古里","第4天",2,10,1
"160","新北市","平溪區","望古里","第5天",0,10,4
"161","新北市","平溪區","嶺腳里","第1天",13,13,0
"162","新北市","平溪區","嶺腳里","第2天",6,19,6
"163","新北市","平溪區","嶺腳里","第3天",7,26,7
"164","新北市","平溪區","嶺腳里","第4天",4,30,11
"165","新北市","平溪區","嶺腳里","第5天",1,31,9
"166","新北市","永和區","民族里","第1天",1,1,0
"167","新北市","永和區","民族里","第2天",0,1,0
"168","新北市","永和區","民族里","第3天",1,2,0
"169","新北市","永和區","民族里","第4天",0,2,0
"170","新北市","永和區","民族里","第5天",0,2,0
"171","新北市","永和區","永元里","第1天",0,0,0
"172","新北市","永和區","永元里","第2天",0,0,0
"173","新北市","永和區","永元里","第3天",0,0,0
"174","新北市","永和區","永元里","第4天",0,0,0
"175","新北市","永和區","永元里","第5天",0,0,0
"176","新北市","永和區","桂林里","第1天",0,0,0
"177","新北市","永和區","桂林里","第2天",2,2,0
"178","新北市","永和區","桂林里","第3天",0,2,0
"179","新北市","永和區","桂林里","第4天",0,2,0
"180","新北市","永和區","桂林里","第5天",1,3,0
"181","新北市","石碇區","中民里","第1天",8,8,0
"182","新北市","石碇區","中民里","第2天",2,10,0
"183","新北市","石碇區","中民里","第3天",5,15,1
"184","新北市","石碇區","中民里","第4天",7,22,1
"185","新北市","石碇區","中民里","第5天",2,24,2
"186","新北市","石碇區","永定里","第1天",5,5,0
