"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","新竹市","北區","中山里","第1天",0,0,0
"2","新竹市","北區","中山里","第2天",0,0,0
"3","新竹市","北區","中山里","第3天",0,0,0
"4","新竹市","北區","中山里","第4天",1,1,0
"5","新竹市","北區","中山里","第5天",0,1,0
"6","新竹市","北區","北門里","第1天",0,0,0
"7","新竹市","北區","北門里","第2天",0,0,0
"8","新竹市","北區","北門里","第3天",0,0,0
"9","新竹市","北區","北門里","第4天",0,0,0
"10","新竹市","北區","北門里","第5天",1,1,0
"11","新竹市","北區","石坊里","第1天",1,1,0
"12","新竹市","北區","石坊里","第2天",0,1,0
"13","新竹市","北區","石坊里","第3天",0,1,0
"14","新竹市","北區","石坊里","第4天",1,2,0
"15","新竹市","北區","石坊里","第5天",1,3,0
"16","新竹市","北區","武陵里","第1天",0,0,0
"17","新竹市","北區","武陵里","第2天",0,0,0
"18","新竹市","北區","武陵里","第3天",0,0,0
"19","新竹市","北區","武陵里","第4天",1,1,0
"20","新竹市","北區","武陵里","第5天",0,1,0
"21","新竹市","北區","長和里","第1天",0,0,0
"22","新竹市","北區","長和里","第2天",0,0,0
"23","新竹市","北區","長和里","第3天",1,1,0
"24","新竹市","北區","長和里","第4天",1,2,0
"25","新竹市","北區","長和里","第5天",0,2,0
"26","新竹市","北區","康樂里","第1天",2,2,0
"27","新竹市","北區","康樂里","第2天",1,3,0
"28","新竹市","北區","康樂里","第3天",1,4,0
"29","新竹市","北區","康樂里","第4天",1,5,0
"30","新竹市","北區","康樂里","第5天",1,6,0
"31","新竹市","北區","湳雅里","第1天",0,0,0
"32","新竹市","北區","湳雅里","第2天",0,0,0
"33","新竹市","北區","湳雅里","第3天",0,0,0
"34","新竹市","北區","湳雅里","第4天",1,1,0
"35","新竹市","北區","湳雅里","第5天",2,3,0
"36","新竹市","北區","磐石里","第1天",3,3,0
"37","新竹市","北區","磐石里","第2天",0,3,2
"38","新竹市","北區","磐石里","第3天",2,5,0
"39","新竹市","北區","磐石里","第4天",1,6,2
"40","新竹市","北區","磐石里","第5天",0,6,1
"41","新竹市","東區","下竹里","第1天",1,1,0
"42","新竹市","東區","下竹里","第2天",2,3,0
"43","新竹市","東區","下竹里","第3天",2,5,0
"44","新竹市","東區","下竹里","第4天",0,5,0
"45","新竹市","東區","下竹里","第5天",1,6,0
"46","新竹市","東區","中正里","第1天",2,2,0
"47","新竹市","東區","中正里","第2天",1,3,0
"48","新竹市","東區","中正里","第3天",0,3,0
"49","新竹市","東區","中正里","第4天",1,4,0
"50","新竹市","東區","中正里","第5天",2,6,0
"51","新竹市","東區","光明里","第1天",5,5,0
"52","新竹市","東區","光明里","第2天",3,8,0
"53","新竹市","東區","光明里","第3天",5,13,0
"54","新竹市","東區","光明里","第4天",2,15,1
"55","新竹市","東區","光明里","第5天",11,26,0
"56","新竹市","東區","東門里","第1天",1,1,0
"57","新竹市","東區","東門里","第2天",0,1,0
"58","新竹市","東區","東門里","第3天",1,2,0
"59","新竹市","東區","東門里","第4天",0,2,0
"60","新竹市","東區","東門里","第5天",0,2,0
"61","新竹市","東區","東勢里","第1天",3,3,0
"62","新竹市","東區","東勢里","第2天",1,4,0
"63","新竹市","東區","東勢里","第3天",1,5,0
"64","新竹市","東區","東勢里","第4天",2,7,0
"65","新竹市","東區","東勢里","第5天",2,9,2
"66","新竹市","東區","東園里","第1天",5,5,0
"67","新竹市","東區","東園里","第2天",1,6,0
"68","新竹市","東區","東園里","第3天",1,7,1
"69","新竹市","東區","東園里","第4天",2,9,0
"70","新竹市","東區","東園里","第5天",2,11,0
"71","新竹市","東區","金山里","第1天",5,5,0
"72","新竹市","東區","金山里","第2天",5,10,2
"73","新竹市","東區","金山里","第3天",2,12,1
"74","新竹市","東區","金山里","第4天",1,13,0
"75","新竹市","東區","金山里","第5天",1,14,1
"76","新竹市","東區","新莊里","第1天",0,0,0
"77","新竹市","東區","新莊里","第2天",0,0,0
"78","新竹市","東區","新莊里","第3天",3,3,0
"79","新竹市","東區","新莊里","第4天",1,4,0
"80","新竹市","東區","新莊里","第5天",2,6,0
"81","新竹市","東區","龍山里","第1天",1,1,0
"82","新竹市","東區","龍山里","第2天",2,3,0
"83","新竹市","東區","龍山里","第3天",1,4,0
"84","新竹市","東區","龍山里","第4天",2,6,0
"85","新竹市","東區","龍山里","第5天",2,8,0
"86","新竹市","東區","關東里","第1天",3,3,0
"87","新竹市","東區","關東里","第2天",2,5,0
"88","新竹市","東區","關東里","第3天",2,7,0
"89","新竹市","東區","關東里","第4天",1,8,0
"90","新竹市","東區","關東里","第5天",1,9,1
"91","新竹市","東區","關新里","第1天",0,0,0
"92","新竹市","東區","關新里","第2天",0,0,0
"93","新竹市","東區","關新里","第3天",0,0,0
"94","新竹市","東區","關新里","第4天",0,0,0
"95","新竹市","東區","關新里","第5天",1,1,0
