"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","新竹縣","竹北市","大義里","第1天",4,4,0
"2","新竹縣","竹北市","大義里","第2天",3,7,0
"3","新竹縣","竹北市","大義里","第3天",5,12,0
"4","新竹縣","竹北市","大義里","第4天",1,13,0
"5","新竹縣","竹北市","大義里","第5天",2,15,0
"6","新竹縣","竹北市","中興里","第1天",1,1,0
"7","新竹縣","竹北市","中興里","第2天",0,1,0
"8","新竹縣","竹北市","中興里","第3天",0,1,0
"9","新竹縣","竹北市","中興里","第4天",2,3,0
"10","新竹縣","竹北市","中興里","第5天",0,3,0
"11","新竹縣","竹北市","尚義里","第1天",2,2,0
"12","新竹縣","竹北市","尚義里","第2天",2,4,0
"13","新竹縣","竹北市","尚義里","第3天",2,6,0
"14","新竹縣","竹北市","尚義里","第4天",5,11,0
"15","新竹縣","竹北市","尚義里","第5天",4,15,0
"16","新竹縣","竹北市","東興里","第1天",2,2,0
"17","新竹縣","竹北市","東興里","第2天",1,3,0
"18","新竹縣","竹北市","東興里","第3天",0,3,0
"19","新竹縣","竹北市","東興里","第4天",0,3,0
"20","新竹縣","竹北市","東興里","第5天",0,3,0
"21","新竹縣","竹北市","新國里","第1天",0,0,0
"22","新竹縣","竹北市","新國里","第2天",1,1,0
"23","新竹縣","竹北市","新國里","第3天",1,2,0
"24","新竹縣","竹北市","新國里","第4天",1,3,0
"25","新竹縣","竹北市","新國里","第5天",1,4,0
"26","新竹縣","竹北市","聯興里","第1天",2,2,0
"27","新竹縣","竹北市","聯興里","第2天",2,4,0
"28","新竹縣","竹北市","聯興里","第3天",6,10,0
"29","新竹縣","竹北市","聯興里","第4天",5,15,0
"30","新竹縣","竹北市","聯興里","第5天",2,17,0
"31","新竹縣","竹東鎮","仁愛里","第1天",0,0,0
"32","新竹縣","竹東鎮","仁愛里","第2天",1,1,0
"33","新竹縣","竹東鎮","仁愛里","第3天",0,1,0
"34","新竹縣","竹東鎮","仁愛里","第4天",0,1,0
"35","新竹縣","竹東鎮","仁愛里","第5天",1,2,0
"36","新竹縣","竹東鎮","竹東里","第1天",0,0,0
"37","新竹縣","竹東鎮","竹東里","第2天",0,0,0
"38","新竹縣","竹東鎮","竹東里","第3天",0,0,0
"39","新竹縣","竹東鎮","竹東里","第4天",1,1,0
"40","新竹縣","竹東鎮","竹東里","第5天",0,1,0
"41","新竹縣","竹東鎮","柯湖里","第1天",7,7,0
"42","新竹縣","竹東鎮","柯湖里","第2天",4,11,0
"43","新竹縣","竹東鎮","柯湖里","第3天",3,14,0
"44","新竹縣","竹東鎮","柯湖里","第4天",3,17,1
"45","新竹縣","竹東鎮","柯湖里","第5天",4,21,0
"46","新竹縣","竹東鎮","商華里","第1天",1,1,0
"47","新竹縣","竹東鎮","商華里","第2天",2,3,0
"48","新竹縣","竹東鎮","商華里","第3天",0,3,0
"49","新竹縣","竹東鎮","商華里","第4天",0,3,0
"50","新竹縣","竹東鎮","商華里","第5天",1,4,0
"51","新竹縣","竹東鎮","陸豐里","第1天",5,5,0
"52","新竹縣","竹東鎮","陸豐里","第2天",0,5,0
"53","新竹縣","竹東鎮","陸豐里","第3天",1,6,0
"54","新竹縣","竹東鎮","陸豐里","第4天",1,7,0
"55","新竹縣","竹東鎮","陸豐里","第5天",1,8,0
"56","新竹縣","湖口鄉","和興村","第1天",5,5,0
"57","新竹縣","湖口鄉","和興村","第2天",14,19,0
"58","新竹縣","湖口鄉","和興村","第3天",7,26,0
"59","新竹縣","湖口鄉","和興村","第4天",9,35,0
"60","新竹縣","湖口鄉","和興村","第5天",5,40,0
"61","新竹縣","湖口鄉","波羅村","第1天",5,5,0
"62","新竹縣","湖口鄉","波羅村","第2天",1,6,0
"63","新竹縣","湖口鄉","波羅村","第3天",3,9,0
"64","新竹縣","湖口鄉","波羅村","第4天",1,10,0
"65","新竹縣","湖口鄉","波羅村","第5天",5,15,0
"66","新竹縣","湖口鄉","長安村","第1天",3,3,0
"67","新竹縣","湖口鄉","長安村","第2天",3,6,0
"68","新竹縣","湖口鄉","長安村","第3天",5,11,0
"69","新竹縣","湖口鄉","長安村","第4天",1,12,0
"70","新竹縣","湖口鄉","長安村","第5天",3,15,0
"71","新竹縣","湖口鄉","長嶺村","第1天",5,5,0
"72","新竹縣","湖口鄉","長嶺村","第2天",12,17,0
"73","新竹縣","湖口鄉","長嶺村","第3天",1,18,0
"74","新竹縣","湖口鄉","長嶺村","第4天",2,20,0
"75","新竹縣","湖口鄉","長嶺村","第5天",6,26,0
"76","新竹縣","新埔鎮","五埔里","第1天",4,4,0
"77","新竹縣","新埔鎮","五埔里","第2天",4,8,0
"78","新竹縣","新埔鎮","五埔里","第3天",1,9,0
"79","新竹縣","新埔鎮","五埔里","第4天",2,11,0
"80","新竹縣","新埔鎮","五埔里","第5天",2,13,0
"81","新竹縣","新埔鎮","巨埔里","第1天",2,2,0
"82","新竹縣","新埔鎮","巨埔里","第2天",2,4,0
"83","新竹縣","新埔鎮","巨埔里","第3天",1,5,0
"84","新竹縣","新埔鎮","巨埔里","第4天",1,6,0
"85","新竹縣","新埔鎮","巨埔里","第5天",1,7,0
"86","新竹縣","新埔鎮","照門里","第1天",4,4,0
"87","新竹縣","新埔鎮","照門里","第2天",6,10,0
"88","新竹縣","新埔鎮","照門里","第3天",2,12,0
"89","新竹縣","新埔鎮","照門里","第4天",2,14,0
"90","新竹縣","新埔鎮","照門里","第5天",2,16,0
"91","新竹縣","橫山鄉","新興村","第1天",7,7,0
"92","新竹縣","橫山鄉","新興村","第2天",6,13,0
"93","新竹縣","橫山鄉","新興村","第3天",4,17,0
"94","新竹縣","橫山鄉","新興村","第4天",6,23,0
"95","新竹縣","橫山鄉","新興村","第5天",1,24,0
"96","新竹縣","橫山鄉","豐田村","第1天",5,5,0
"97","新竹縣","橫山鄉","豐田村","第2天",10,15,0
"98","新竹縣","橫山鄉","豐田村","第3天",3,18,0
"99","新竹縣","橫山鄉","豐田村","第4天",4,22,0
"100","新竹縣","橫山鄉","豐田村","第5天",3,25,0
"101","新竹縣","關西鎮","玉山里","第1天",3,3,0
"102","新竹縣","關西鎮","玉山里","第2天",5,8,0
"103","新竹縣","關西鎮","玉山里","第3天",2,10,0
"104","新竹縣","關西鎮","玉山里","第4天",2,12,0
"105","新竹縣","關西鎮","玉山里","第5天",1,13,0
"106","新竹縣","關西鎮","東平里","第1天",5,5,0
"107","新竹縣","關西鎮","東平里","第2天",3,8,0
"108","新竹縣","關西鎮","東平里","第3天",1,9,0
"109","新竹縣","關西鎮","東平里","第4天",1,10,0
"110","新竹縣","關西鎮","東平里","第5天",1,11,0
"111","新竹縣","關西鎮","南和里","第1天",3,3,0
"112","新竹縣","關西鎮","南和里","第2天",3,6,0
"113","新竹縣","關西鎮","南和里","第3天",5,11,0
"114","新竹縣","關西鎮","南和里","第4天",1,12,0
"115","新竹縣","關西鎮","南和里","第5天",3,15,0
