"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","桃園市","八德區","大安里","第1天",14,14,0
"2","桃園市","八德區","大安里","第2天",4,18,0
"3","桃園市","八德區","大安里","第3天",14,32,0
"4","桃園市","八德區","大安里","第4天",7,39,0
"5","桃園市","八德區","大安里","第5天",2,41,0
"6","桃園市","八德區","大智里","第1天",2,2,0
"7","桃園市","八德區","大智里","第2天",1,3,0
"8","桃園市","八德區","大智里","第3天",3,6,0
"9","桃園市","八德區","大智里","第4天",1,7,0
"10","桃園市","八德區","大智里","第5天",1,8,0
"11","桃園市","八德區","高城里","第1天",4,4,1
"12","桃園市","八德區","高城里","第2天",3,7,0
"13","桃園市","八德區","高城里","第3天",2,9,0
"14","桃園市","八德區","高城里","第4天",2,11,0
"15","桃園市","八德區","高城里","第5天",0,11,0
"16","桃園市","八德區","福興里","第1天",9,9,0
"17","桃園市","八德區","福興里","第2天",4,13,0
"18","桃園市","八德區","福興里","第3天",5,18,0
"19","桃園市","八德區","福興里","第4天",3,21,0
"20","桃園市","八德區","福興里","第5天",6,27,0
"21","桃園市","八德區","廣興里","第1天",12,12,0
"22","桃園市","八德區","廣興里","第2天",6,18,0
"23","桃園市","八德區","廣興里","第3天",5,23,0
"24","桃園市","八德區","廣興里","第4天",5,28,0
"25","桃園市","八德區","廣興里","第5天",4,32,0
"26","桃園市","大園區","圳頭里","第1天",19,19,0
"27","桃園市","大園區","圳頭里","第2天",3,22,0
"28","桃園市","大園區","圳頭里","第3天",11,33,0
"29","桃園市","大園區","圳頭里","第4天",12,45,0
"30","桃園市","大園區","圳頭里","第5天",1,46,0
"31","桃園市","大園區","南港里","第1天",11,11,0
"32","桃園市","大園區","南港里","第2天",8,19,0
"33","桃園市","大園區","南港里","第3天",18,37,0
"34","桃園市","大園區","南港里","第4天",4,41,0
"35","桃園市","大園區","南港里","第5天",4,45,0
"36","桃園市","大園區","溪海里","第1天",8,8,0
"37","桃園市","大園區","溪海里","第2天",13,21,0
"38","桃園市","大園區","溪海里","第3天",17,38,0
"39","桃園市","大園區","溪海里","第4天",2,40,0
"40","桃園市","大園區","溪海里","第5天",4,44,0
"41","桃園市","大溪區","田心里","第1天",4,4,2
"42","桃園市","大溪區","田心里","第2天",5,9,0
"43","桃園市","大溪區","田心里","第3天",4,13,0
"44","桃園市","大溪區","田心里","第4天",1,14,0
"45","桃園市","大溪區","田心里","第5天",1,15,0
"46","桃園市","大溪區","南興里","第1天",7,7,0
"47","桃園市","大溪區","南興里","第2天",4,11,0
"48","桃園市","大溪區","南興里","第3天",4,15,0
"49","桃園市","大溪區","南興里","第4天",4,19,0
"50","桃園市","大溪區","南興里","第5天",6,25,0
"51","桃園市","大溪區","僑愛里","第1天",3,3,0
"52","桃園市","大溪區","僑愛里","第2天",0,3,0
"53","桃園市","大溪區","僑愛里","第3天",2,5,0
"54","桃園市","大溪區","僑愛里","第4天",1,6,0
"55","桃園市","大溪區","僑愛里","第5天",4,10,0
"56","桃園市","大溪區","興和里","第1天",1,1,0
"57","桃園市","大溪區","興和里","第2天",4,5,0
"58","桃園市","大溪區","興和里","第3天",6,11,0
"59","桃園市","大溪區","興和里","第4天",1,12,0
"60","桃園市","大溪區","興和里","第5天",1,13,0
"61","桃園市","中壢區","中正里","第1天",2,2,0
"62","桃園市","中壢區","中正里","第2天",1,3,0
"63","桃園市","中壢區","中正里","第3天",1,4,0
"64","桃園市","中壢區","中正里","第4天",0,4,1
"65","桃園市","中壢區","中正里","第5天",1,5,0
"66","桃園市","中壢區","石頭里","第1天",1,1,0
"67","桃園市","中壢區","石頭里","第2天",0,1,0
"68","桃園市","中壢區","石頭里","第3天",0,1,0
"69","桃園市","中壢區","石頭里","第4天",2,3,0
"70","桃園市","中壢區","石頭里","第5天",2,5,0
"71","桃園市","中壢區","自信里","第1天",2,2,0
"72","桃園市","中壢區","自信里","第2天",0,2,0
"73","桃園市","中壢區","自信里","第3天",1,3,0
"74","桃園市","中壢區","自信里","第4天",2,5,0
"75","桃園市","中壢區","自信里","第5天",1,6,0
"76","桃園市","中壢區","忠孝里","第1天",4,4,0
"77","桃園市","中壢區","忠孝里","第2天",1,5,0
"78","桃園市","中壢區","忠孝里","第3天",2,7,0
"79","桃園市","中壢區","忠孝里","第4天",5,12,0
"80","桃園市","中壢區","忠孝里","第5天",0,12,0
"81","桃園市","中壢區","金華里","第1天",2,2,0
"82","桃園市","中壢區","金華里","第2天",1,3,0
"83","桃園市","中壢區","金華里","第3天",0,3,0
"84","桃園市","中壢區","金華里","第4天",4,7,0
"85","桃園市","中壢區","金華里","第5天",4,11,1
"86","桃園市","中壢區","普仁里","第1天",1,1,0
"87","桃園市","中壢區","普仁里","第2天",0,1,0
"88","桃園市","中壢區","普仁里","第3天",0,1,0
"89","桃園市","中壢區","普仁里","第4天",0,1,0
"90","桃園市","中壢區","普仁里","第5天",0,1,0
"91","桃園市","平鎮區","新榮里","第1天",2,2,0
"92","桃園市","平鎮區","新榮里","第2天",1,3,0
"93","桃園市","平鎮區","新榮里","第3天",4,7,0
"94","桃園市","平鎮區","新榮里","第4天",0,7,0
"95","桃園市","平鎮區","新榮里","第5天",0,7,0
"96","桃園市","平鎮區","廣仁里","第1天",12,12,0
"97","桃園市","平鎮區","廣仁里","第2天",2,14,0
"98","桃園市","平鎮區","廣仁里","第3天",1,15,0
"99","桃園市","平鎮區","廣仁里","第4天",2,17,0
"100","桃園市","平鎮區","廣仁里","第5天",0,17,0
"101","桃園市","平鎮區","廣興里","第1天",3,3,0
"102","桃園市","平鎮區","廣興里","第2天",2,5,0
"103","桃園市","平鎮區","廣興里","第3天",0,5,0
"104","桃園市","平鎮區","廣興里","第4天",0,5,0
"105","桃園市","平鎮區","廣興里","第5天",1,6,0
"106","桃園市","平鎮區","龍興里","第1天",1,1,0
"107","桃園市","平鎮區","龍興里","第2天",0,1,0
"108","桃園市","平鎮區","龍興里","第3天",0,1,0
"109","桃園市","平鎮區","龍興里","第4天",0,1,0
"110","桃園市","平鎮區","龍興里","第5天",1,2,0
"111","桃園市","平鎮區","雙連里","第1天",14,14,0
"112","桃園市","平鎮區","雙連里","第2天",17,31,0
"113","桃園市","平鎮區","雙連里","第3天",9,40,0
"114","桃園市","平鎮區","雙連里","第4天",9,49,0
"115","桃園市","平鎮區","雙連里","第5天",8,57,0
"116","桃園市","桃園區","文明里","第1天",1,1,0
"117","桃園市","桃園區","文明里","第2天",0,1,0
"118","桃園市","桃園區","文明里","第3天",1,2,0
"119","桃園市","桃園區","文明里","第4天",0,2,0
"120","桃園市","桃園區","文明里","第5天",0,2,0
"121","桃園市","桃園區","民生里","第1天",2,2,0
"122","桃園市","桃園區","民生里","第2天",2,4,0
"123","桃園市","桃園區","民生里","第3天",2,6,0
"124","桃園市","桃園區","民生里","第4天",0,6,0
"125","桃園市","桃園區","民生里","第5天",1,7,0
"126","桃園市","桃園區","成功里","第1天",0,0,0
"127","桃園市","桃園區","成功里","第2天",1,1,0
"128","桃園市","桃園區","成功里","第3天",0,1,0
"129","桃園市","桃園區","成功里","第4天",0,1,0
"130","桃園市","桃園區","成功里","第5天",0,1,0
"131","桃園市","桃園區","忠義里","第1天",4,4,1
"132","桃園市","桃園區","忠義里","第2天",5,9,0
"133","桃園市","桃園區","忠義里","第3天",3,12,1
"134","桃園市","桃園區","忠義里","第4天",1,13,0
"135","桃園市","桃園區","忠義里","第5天",0,13,1
"136","桃園市","桃園區","長安里","第1天",1,1,1
"137","桃園市","桃園區","長安里","第2天",2,3,0
"138","桃園市","桃園區","長安里","第3天",1,4,2
"139","桃園市","桃園區","長安里","第4天",2,6,0
"140","桃園市","桃園區","長安里","第5天",0,6,1
"141","桃園市","桃園區","青溪里","第1天",3,3,1
"142","桃園市","桃園區","青溪里","第2天",2,5,0
"143","桃園市","桃園區","青溪里","第3天",0,5,0
"144","桃園市","桃園區","青溪里","第4天",2,7,1
"145","桃園市","桃園區","青溪里","第5天",4,11,1
"146","桃園市","桃園區","南門里","第1天",1,1,0
"147","桃園市","桃園區","南門里","第2天",3,4,0
"148","桃園市","桃園區","南門里","第3天",1,5,0
"149","桃園市","桃園區","南門里","第4天",1,6,0
"150","桃園市","桃園區","南門里","第5天",2,8,0
"151","桃園市","桃園區","春日里","第1天",3,3,1
"152","桃園市","桃園區","春日里","第2天",4,7,1
"153","桃園市","桃園區","春日里","第3天",3,10,7
"154","桃園市","桃園區","春日里","第4天",1,11,0
"155","桃園市","桃園區","春日里","第5天",2,13,4
"156","桃園市","桃園區","慈文里","第1天",3,3,0
"157","桃園市","桃園區","慈文里","第2天",0,3,0
"158","桃園市","桃園區","慈文里","第3天",2,5,0
"159","桃園市","桃園區","慈文里","第4天",1,6,0
"160","桃園市","桃園區","慈文里","第5天",1,7,0
"161","桃園市","桃園區","萬壽里","第1天",2,2,0
"162","桃園市","桃園區","萬壽里","第2天",0,2,0
"163","桃園市","桃園區","萬壽里","第3天",0,2,0
"164","桃園市","桃園區","萬壽里","第4天",0,2,0
"165","桃園市","桃園區","萬壽里","第5天",1,3,0
"166","桃園市","桃園區","寶山里","第1天",1,1,0
"167","桃園市","桃園區","寶山里","第2天",1,2,1
"168","桃園市","桃園區","寶山里","第3天",0,2,0
"169","桃園市","桃園區","寶山里","第4天",0,2,0
"170","桃園市","桃園區","寶山里","第5天",0,2,0
"171","桃園市","新屋區","大坡里","第1天",3,3,0
"172","桃園市","新屋區","大坡里","第2天",6,9,0
"173","桃園市","新屋區","大坡里","第3天",2,11,0
"174","桃園市","新屋區","大坡里","第4天",5,16,0
"175","桃園市","新屋區","大坡里","第5天",5,21,0
"176","桃園市","新屋區","望間里","第1天",13,13,0
"177","桃園市","新屋區","望間里","第2天",2,15,0
