"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","臺中市","大肚區","大東里","第1天",0,0,0
"2","臺中市","大肚區","大東里","第2天",1,1,0
"3","臺中市","大肚區","大東里","第3天",5,6,0
"4","臺中市","大肚區","大東里","第4天",3,9,0
"5","臺中市","大肚區","大東里","第5天",2,11,0
"6","臺中市","大肚區","王田里","第1天",3,3,0
"7","臺中市","大肚區","王田里","第2天",8,11,0
"8","臺中市","大肚區","王田里","第3天",10,21,0
"9","臺中市","大肚區","王田里","第4天",7,28,2
"10","臺中市","大肚區","王田里","第5天",5,33,5
"11","臺中市","大肚區","永和里","第1天",0,0,0
"12","臺中市","大肚區","永和里","第2天",2,2,0
"13","臺中市","大肚區","永和里","第3天",3,5,0
"14","臺中市","大肚區","永和里","第4天",1,6,0
"15","臺中市","大肚區","永和里","第5天",0,6,0
"16","臺中市","大肚區","永順里","第1天",0,0,0
"17","臺中市","大肚區","永順里","第2天",1,1,0
"18","臺中市","大肚區","永順里","第3天",0,1,0
"19","臺中市","大肚區","永順里","第4天",1,2,0
"20","臺中市","大肚區","永順里","第5天",0,2,0
"21","臺中市","大里區","日新里","第1天",0,0,0
"22","臺中市","大里區","日新里","第2天",3,3,1
"23","臺中市","大里區","日新里","第3天",2,5,0
"24","臺中市","大里區","日新里","第4天",3,8,0
"25","臺中市","大里區","日新里","第5天",1,9,1
"26","臺中市","大里區","健民里","第1天",6,6,0
"27","臺中市","大里區","健民里","第2天",6,12,0
"28","臺中市","大里區","健民里","第3天",17,29,0
"29","臺中市","大里區","健民里","第4天",19,48,1
"30","臺中市","大里區","健民里","第5天",21,69,4
"31","臺中市","大里區","國光里","第1天",1,1,0
"32","臺中市","大里區","國光里","第2天",2,3,0
"33","臺中市","大里區","國光里","第3天",2,5,0
"34","臺中市","大里區","國光里","第4天",3,8,0
"35","臺中市","大里區","國光里","第5天",0,8,0
"36","臺中市","北屯區","三光里","第1天",2,2,3
"37","臺中市","北屯區","三光里","第2天",1,3,0
"38","臺中市","北屯區","三光里","第3天",0,3,0
"39","臺中市","北屯區","三光里","第4天",2,5,1
"40","臺中市","北屯區","三光里","第5天",5,10,0
"41","臺中市","北屯區","三和里","第1天",0,0,0
"42","臺中市","北屯區","三和里","第2天",0,0,0
"43","臺中市","北屯區","三和里","第3天",1,1,0
"44","臺中市","北屯區","三和里","第4天",0,1,0
"45","臺中市","北屯區","三和里","第5天",2,3,0
"46","臺中市","北區","立人里","第1天",0,0,0
"47","臺中市","北區","立人里","第2天",0,0,0
"48","臺中市","北區","立人里","第3天",2,2,0
"49","臺中市","北區","立人里","第4天",2,4,0
"50","臺中市","北區","立人里","第5天",1,5,0
"51","臺中市","北區","新北里","第1天",2,2,0
"52","臺中市","北區","新北里","第2天",0,2,0
"53","臺中市","北區","新北里","第3天",0,2,0
"54","臺中市","北區","新北里","第4天",1,3,0
"55","臺中市","北區","新北里","第5天",1,4,1
"56","臺中市","北區","樂英里","第1天",2,2,0
"57","臺中市","北區","樂英里","第2天",1,3,0
"58","臺中市","北區","樂英里","第3天",2,5,0
"59","臺中市","北區","樂英里","第4天",1,6,0
"60","臺中市","北區","樂英里","第5天",2,8,0
"61","臺中市","北區","錦平里","第1天",2,2,0
"62","臺中市","北區","錦平里","第2天",0,2,0
"63","臺中市","北區","錦平里","第3天",0,2,0
"64","臺中市","北區","錦平里","第4天",1,3,0
"65","臺中市","北區","錦平里","第5天",4,7,0
"66","臺中市","北區","錦村里","第1天",2,2,0
"67","臺中市","北區","錦村里","第2天",0,2,0
"68","臺中市","北區","錦村里","第3天",0,2,0
"69","臺中市","北區","錦村里","第4天",0,2,0
"70","臺中市","北區","錦村里","第5天",0,2,0
"71","臺中市","后里區","后里里","第1天",1,1,0
"72","臺中市","后里區","后里里","第2天",1,2,0
"73","臺中市","后里區","后里里","第3天",2,4,1
"74","臺中市","后里區","后里里","第4天",0,4,1
"75","臺中市","后里區","后里里","第5天",0,4,3
"76","臺中市","后里區","義里里","第1天",0,0,0
"77","臺中市","后里區","義里里","第2天",0,0,0
"78","臺中市","后里區","義里里","第3天",0,0,0
"79","臺中市","后里區","義里里","第4天",0,0,0
"80","臺中市","后里區","義里里","第5天",0,0,0
"81","臺中市","后里區","墩南里","第1天",0,0,0
"82","臺中市","后里區","墩南里","第2天",0,0,0
"83","臺中市","后里區","墩南里","第3天",0,0,0
"84","臺中市","后里區","墩南里","第4天",0,0,0
"85","臺中市","后里區","墩南里","第5天",5,5,0
"86","臺中市","后里區","聯合里","第1天",1,1,0
"87","臺中市","后里區","聯合里","第2天",0,1,0
"88","臺中市","后里區","聯合里","第3天",0,1,0
"89","臺中市","后里區","聯合里","第4天",0,1,0
"90","臺中市","后里區","聯合里","第5天",0,1,0
"91","臺中市","西屯區","大石里","第1天",1,1,0
"92","臺中市","西屯區","大石里","第2天",0,1,0
"93","臺中市","西屯區","大石里","第3天",0,1,0
"94","臺中市","西屯區","大石里","第4天",1,2,0
"95","臺中市","西屯區","大石里","第5天",0,2,1
"96","臺中市","西屯區","永安里","第1天",4,4,1
"97","臺中市","西屯區","永安里","第2天",7,11,1
"98","臺中市","西屯區","永安里","第3天",4,15,0
"99","臺中市","西屯區","永安里","第4天",4,19,8
"100","臺中市","西屯區","永安里","第5天",4,23,3
"101","臺中市","西屯區","西安里","第1天",1,1,0
"102","臺中市","西屯區","西安里","第2天",1,2,0
"103","臺中市","西屯區","西安里","第3天",0,2,0
"104","臺中市","西屯區","西安里","第4天",0,2,0
"105","臺中市","西屯區","西安里","第5天",1,3,0
"106","臺中市","西屯區","福和里","第1天",0,0,0
"107","臺中市","西屯區","福和里","第2天",4,4,0
"108","臺中市","西屯區","福和里","第3天",2,6,0
"109","臺中市","西屯區","福和里","第4天",0,6,0
"110","臺中市","西屯區","福和里","第5天",1,7,0
"111","臺中市","西屯區","福恩里","第1天",1,1,0
"112","臺中市","西屯區","福恩里","第2天",0,1,0
"113","臺中市","西屯區","福恩里","第3天",1,2,0
"114","臺中市","西屯區","福恩里","第4天",1,3,0
"115","臺中市","西屯區","福恩里","第5天",0,3,0
"116","臺中市","西屯區","福瑞里","第1天",8,8,0
"117","臺中市","西屯區","福瑞里","第2天",3,11,3
"118","臺中市","西屯區","福瑞里","第3天",1,12,3
"119","臺中市","西屯區","福瑞里","第4天",3,15,2
"120","臺中市","西屯區","福瑞里","第5天",4,19,3
"121","臺中市","西區","三民里","第1天",0,0,0
"122","臺中市","西區","三民里","第2天",0,0,0
"123","臺中市","西區","三民里","第3天",0,0,0
"124","臺中市","西區","三民里","第4天",3,3,3
"125","臺中市","西區","三民里","第5天",0,3,2
"126","臺中市","西區","公民里","第1天",0,0,0
"127","臺中市","西區","公民里","第2天",2,2,0
"128","臺中市","西區","公民里","第3天",0,2,0
"129","臺中市","西區","公民里","第4天",0,2,0
"130","臺中市","西區","公民里","第5天",1,3,0
"131","臺中市","西區","公德里","第1天",2,2,0
"132","臺中市","西區","公德里","第2天",0,2,0
"133","臺中市","西區","公德里","第3天",1,3,0
"134","臺中市","西區","公德里","第4天",0,3,0
"135","臺中市","西區","公德里","第5天",1,4,0
"136","臺中市","東區","富台里","第1天",2,2,0
"137","臺中市","東區","富台里","第2天",0,2,0
"138","臺中市","東區","富台里","第3天",0,2,0
"139","臺中市","東區","富台里","第4天",2,4,0
"140","臺中市","東區","富台里","第5天",2,6,0
"141","臺中市","東區","樂成里","第1天",0,0,0
"142","臺中市","東區","樂成里","第2天",2,2,0
"143","臺中市","東區","樂成里","第3天",2,4,0
"144","臺中市","東區","樂成里","第4天",0,4,0
"145","臺中市","東區","樂成里","第5天",0,4,0
"146","臺中市","東勢區","下新里","第1天",0,0,0
"147","臺中市","東勢區","下新里","第2天",0,0,0
"148","臺中市","東勢區","下新里","第3天",1,1,0
"149","臺中市","東勢區","下新里","第4天",2,3,1
"150","臺中市","東勢區","下新里","第5天",1,4,0
"151","臺中市","東勢區","明正里","第1天",10,10,0
"152","臺中市","東勢區","明正里","第2天",1,11,2
"153","臺中市","東勢區","明正里","第3天",8,19,4
"154","臺中市","東勢區","明正里","第4天",4,23,7
"155","臺中市","東勢區","明正里","第5天",6,29,5
"156","臺中市","東勢區","泰昌里","第1天",4,4,0
"157","臺中市","東勢區","泰昌里","第2天",3,7,2
