"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","臺北市","士林區","公館里","第1天",2,2,0
"2","臺北市","士林區","公館里","第2天",3,5,0
"3","臺北市","士林區","公館里","第3天",4,9,1
"4","臺北市","士林區","公館里","第4天",6,15,0
"5","臺北市","士林區","公館里","第5天",6,21,0
"6","臺北市","士林區","天壽里","第1天",0,0,0
"7","臺北市","士林區","天壽里","第2天",0,0,0
"8","臺北市","士林區","天壽里","第3天",0,0,0
"9","臺北市","士林區","天壽里","第4天",0,0,0
"10","臺北市","士林區","天壽里","第5天",1,1,0
"11","臺北市","士林區","忠誠里","第1天",0,0,0
"12","臺北市","士林區","忠誠里","第2天",0,0,0
"13","臺北市","士林區","忠誠里","第3天",0,0,0
"14","臺北市","士林區","忠誠里","第4天",0,0,0
"15","臺北市","士林區","忠誠里","第5天",0,0,0
"16","臺北市","士林區","社園里","第1天",2,2,0
"17","臺北市","士林區","社園里","第2天",1,3,0
"18","臺北市","士林區","社園里","第3天",1,4,0
"19","臺北市","士林區","社園里","第4天",3,7,0
"20","臺北市","士林區","社園里","第5天",4,11,1
"21","臺北市","士林區","葫東里","第1天",1,1,0
"22","臺北市","士林區","葫東里","第2天",1,2,0
"23","臺北市","士林區","葫東里","第3天",1,3,0
"24","臺北市","士林區","葫東里","第4天",2,5,0
"25","臺北市","士林區","葫東里","第5天",0,5,0
"26","臺北市","大同區","民權里","第1天",0,0,0
"27","臺北市","大同區","民權里","第2天",0,0,0
"28","臺北市","大同區","民權里","第3天",0,0,0
"29","臺北市","大同區","民權里","第4天",0,0,0
"30","臺北市","大同區","民權里","第5天",0,0,0
"31","臺北市","大同區","玉泉里","第1天",2,2,1
"32","臺北市","大同區","玉泉里","第2天",1,3,1
"33","臺北市","大同區","玉泉里","第3天",4,7,0
"34","臺北市","大同區","玉泉里","第4天",0,7,2
"35","臺北市","大同區","玉泉里","第5天",1,8,1
"36","臺北市","大同區","建功里","第1天",0,0,0
"37","臺北市","大同區","建功里","第2天",0,0,0
"38","臺北市","大同區","建功里","第3天",0,0,0
"39","臺北市","大同區","建功里","第4天",0,0,0
"40","臺北市","大同區","建功里","第5天",0,0,0
"41","臺北市","大同區","景星里","第1天",1,1,1
"42","臺北市","大同區","景星里","第2天",0,1,0
"43","臺北市","大同區","景星里","第3天",0,1,0
"44","臺北市","大同區","景星里","第4天",0,1,0
"45","臺北市","大同區","景星里","第5天",0,1,0
"46","臺北市","大安區","正聲里","第1天",0,0,0
"47","臺北市","大安區","正聲里","第2天",0,0,0
"48","臺北市","大安區","正聲里","第3天",0,0,0
"49","臺北市","大安區","正聲里","第4天",0,0,0
