"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","臺南市","大內區","大內里","第1天",2,2,0
"2","臺南市","大內區","大內里","第2天",6,8,0
"3","臺南市","大內區","大內里","第3天",4,12,0
"4","臺南市","大內區","大內里","第4天",2,14,0
"5","臺南市","大內區","大內里","第5天",1,15,0
"6","臺南市","大內區","內江里","第1天",1,1,0
"7","臺南市","大內區","內江里","第2天",3,4,0
"8","臺南市","大內區","內江里","第3天",4,8,0
"9","臺南市","大內區","內江里","第4天",4,12,1
"10","臺南市","大內區","內江里","第5天",1,13,0
"11","臺南市","中西區","五妃里","第1天",0,0,0
"12","臺南市","中西區","五妃里","第2天",0,0,0
"13","臺南市","中西區","五妃里","第3天",0,0,0
"14","臺南市","中西區","五妃里","第4天",2,2,0
"15","臺南市","中西區","五妃里","第5天",0,2,0
"16","臺南市","中西區","進學里","第1天",0,0,0
"17","臺南市","中西區","進學里","第2天",0,0,0
"18","臺南市","中西區","進學里","第3天",0,0,0
"19","臺南市","中西區","進學里","第4天",0,0,0
"20","臺南市","中西區","進學里","第5天",1,1,0
"21","臺南市","仁德區","一甲里","第1天",3,3,0
"22","臺南市","仁德區","一甲里","第2天",3,6,0
"23","臺南市","仁德區","一甲里","第3天",0,6,0
"24","臺南市","仁德區","一甲里","第4天",0,6,0
"25","臺南市","仁德區","一甲里","第5天",5,11,0
"26","臺南市","仁德區","太子里","第1天",4,4,0
"27","臺南市","仁德區","太子里","第2天",0,4,0
"28","臺南市","仁德區","太子里","第3天",4,8,0
"29","臺南市","仁德區","太子里","第4天",4,12,0
"30","臺南市","仁德區","太子里","第5天",4,16,0
"31","臺南市","北門區","三光里","第1天",13,13,0
"32","臺南市","北門區","三光里","第2天",6,19,0
"33","臺南市","北門區","三光里","第3天",11,30,0
"34","臺南市","北門區","三光里","第4天",4,34,1
"35","臺南市","北門區","三光里","第5天",13,47,2
"36","臺南市","北門區","北門里","第1天",6,6,0
"37","臺南市","北門區","北門里","第2天",6,12,0
"38","臺南市","北門區","北門里","第3天",11,23,0
"39","臺南市","北門區","北門里","第4天",3,26,0
"40","臺南市","北門區","北門里","第5天",3,29,3
"41","臺南市","北門區","鯤江里","第1天",71,71,0
"42","臺南市","北門區","鯤江里","第2天",44,115,0
"43","臺南市","北門區","鯤江里","第3天",6,121,13
"44","臺南市","北門區","鯤江里","第4天",25,146,0
"45","臺南市","北門區","鯤江里","第5天",6,152,1
"46","臺南市","北區","大豐里","第1天",6,6,0
"47","臺南市","北區","大豐里","第2天",0,6,0
"48","臺南市","北區","大豐里","第3天",1,7,0
"49","臺南市","北區","大豐里","第4天",4,11,0
"50","臺南市","北區","大豐里","第5天",0,11,0
"51","臺南市","北區","中樓里","第1天",4,4,0
"52","臺南市","北區","中樓里","第2天",0,4,3
"53","臺南市","北區","中樓里","第3天",1,5,0
"54","臺南市","北區","中樓里","第4天",0,5,1
"55","臺南市","北區","中樓里","第5天",0,5,0
"56","臺南市","北區","仁愛里","第1天",1,1,0
"57","臺南市","北區","仁愛里","第2天",0,1,0
"58","臺南市","北區","仁愛里","第3天",0,1,0
"59","臺南市","北區","仁愛里","第4天",0,1,0
"60","臺南市","北區","仁愛里","第5天",1,2,0
"61","臺南市","北區","永祥里","第1天",2,2,0
"62","臺南市","北區","永祥里","第2天",3,5,1
"63","臺南市","北區","永祥里","第3天",4,9,0
"64","臺南市","北區","永祥里","第4天",1,10,1
"65","臺南市","北區","永祥里","第5天",1,11,0
"66","臺南市","北區","振興里","第1天",0,0,0
"67","臺南市","北區","振興里","第2天",6,6,0
"68","臺南市","北區","振興里","第3天",2,8,3
"69","臺南市","北區","振興里","第4天",2,10,2
"70","臺南市","北區","振興里","第5天",0,10,1
"71","臺南市","北區","華興里","第1天",1,1,0
"72","臺南市","北區","華興里","第2天",3,4,1
"73","臺南市","北區","華興里","第3天",3,7,1
"74","臺南市","北區","華興里","第4天",1,8,0
"75","臺南市","北區","華興里","第5天",0,8,1
"76","臺南市","北區","賢北里","第1天",8,8,6
"77","臺南市","北區","賢北里","第2天",0,8,3
"78","臺南市","北區","賢北里","第3天",0,8,0
"79","臺南市","北區","賢北里","第4天",1,9,1
"80","臺南市","北區","賢北里","第5天",0,9,0
"81","臺南市","永康區","三民里","第1天",4,4,0
"82","臺南市","永康區","三民里","第2天",16,20,1
"83","臺南市","永康區","三民里","第3天",17,37,6
"84","臺南市","永康區","三民里","第4天",12,49,1
"85","臺南市","永康區","三民里","第5天",12,61,3
"86","臺南市","永康區","中華里","第1天",3,3,0
"87","臺南市","永康區","中華里","第2天",0,3,2
"88","臺南市","永康區","中華里","第3天",0,3,1
"89","臺南市","永康區","中華里","第4天",0,3,0
"90","臺南市","永康區","中華里","第5天",0,3,0
"91","臺南市","永康區","六合里","第1天",0,0,0
"92","臺南市","永康區","六合里","第2天",1,1,0
"93","臺南市","永康區","六合里","第3天",0,1,0
"94","臺南市","永康區","六合里","第4天",0,1,0
"95","臺南市","永康區","六合里","第5天",0,1,0
"96","臺南市","永康區","蔦松里","第1天",0,0,0
"97","臺南市","永康區","蔦松里","第2天",5,5,0
"98","臺南市","永康區","蔦松里","第3天",6,11,5
"99","臺南市","永康區","蔦松里","第4天",0,11,0
"100","臺南市","永康區","蔦松里","第5天",0,11,0
"101","臺南市","永康區","鹽洲里","第1天",8,8,1
"102","臺南市","永康區","鹽洲里","第2天",1,9,0
"103","臺南市","永康區","鹽洲里","第3天",3,12,0
"104","臺南市","永康區","鹽洲里","第4天",0,12,0
"105","臺南市","永康區","鹽洲里","第5天",0,12,0
"106","臺南市","安平區","育平里","第1天",0,0,0
