"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","臺東縣","太麻里鄉","大王村","第1天",2,2,1
"2","臺東縣","太麻里鄉","大王村","第2天",3,5,0
"3","臺東縣","太麻里鄉","大王村","第3天",4,9,0
"4","臺東縣","太麻里鄉","大王村","第4天",2,11,1
"5","臺東縣","太麻里鄉","大王村","第5天",2,13,0
"6","臺東縣","太麻里鄉","多良村","第1天",3,3,0
"7","臺東縣","太麻里鄉","多良村","第2天",4,7,0
"8","臺東縣","太麻里鄉","多良村","第3天",1,8,2
"9","臺東縣","太麻里鄉","多良村","第4天",2,10,2
"10","臺東縣","太麻里鄉","多良村","第5天",0,10,0
"11","臺東縣","太麻里鄉","泰和村","第1天",1,1,0
"12","臺東縣","太麻里鄉","泰和村","第2天",0,1,0
"13","臺東縣","太麻里鄉","泰和村","第3天",1,2,1
"14","臺東縣","太麻里鄉","泰和村","第4天",1,3,0
"15","臺東縣","太麻里鄉","泰和村","第5天",2,5,0
"16","臺東縣","成功鎮","三仙里","第1天",11,11,0
"17","臺東縣","成功鎮","三仙里","第2天",17,28,3
"18","臺東縣","成功鎮","三仙里","第3天",7,35,3
"19","臺東縣","成功鎮","三仙里","第4天",3,38,2
"20","臺東縣","成功鎮","三仙里","第5天",4,42,1
"21","臺東縣","成功鎮","和平里","第1天",17,17,0
"22","臺東縣","成功鎮","和平里","第2天",4,21,4
"23","臺東縣","成功鎮","和平里","第3天",1,22,1
"24","臺東縣","成功鎮","和平里","第4天",2,24,0
"25","臺東縣","成功鎮","和平里","第5天",2,26,0
"26","臺東縣","成功鎮","信義里","第1天",17,17,1
"27","臺東縣","成功鎮","信義里","第2天",13,30,6
"28","臺東縣","成功鎮","信義里","第3天",7,37,1
"29","臺東縣","成功鎮","信義里","第4天",5,42,1
"30","臺東縣","成功鎮","信義里","第5天",13,55,3
"31","臺東縣","池上鄉","振興村","第1天",7,7,0
"32","臺東縣","池上鄉","振興村","第2天",2,9,1
"33","臺東縣","池上鄉","振興村","第3天",4,13,1
"34","臺東縣","池上鄉","振興村","第4天",6,19,3
"35","臺東縣","池上鄉","振興村","第5天",5,24,0
"36","臺東縣","池上鄉","萬安村","第1天",2,2,0
"37","臺東縣","池上鄉","萬安村","第2天",3,5,0
"38","臺東縣","池上鄉","萬安村","第3天",5,10,0
"39","臺東縣","池上鄉","萬安村","第4天",2,12,0
"40","臺東縣","池上鄉","萬安村","第5天",1,13,0
"41","臺東縣","池上鄉","錦園村","第1天",3,3,0
"42","臺東縣","池上鄉","錦園村","第2天",2,5,1
"43","臺東縣","池上鄉","錦園村","第3天",3,8,0
"44","臺東縣","池上鄉","錦園村","第4天",2,10,0
"45","臺東縣","池上鄉","錦園村","第5天",0,10,0
"46","臺東縣","臺東市","民生里","第1天",4,4,0
"47","臺東縣","臺東市","民生里","第2天",5,9,0
"48","臺東縣","臺東市","民生里","第3天",3,12,0
"49","臺東縣","臺東市","民生里","第4天",2,14,0
"50","臺東縣","臺東市","民生里","第5天",6,20,0
"51","臺東縣","臺東市","成功里","第1天",0,0,0
"52","臺東縣","臺東市","成功里","第2天",4,4,0
"53","臺東縣","臺東市","成功里","第3天",2,6,1
"54","臺東縣","臺東市","成功里","第4天",4,10,0
"55","臺東縣","臺東市","成功里","第5天",2,12,0
"56","臺東縣","臺東市","建業里","第1天",5,5,0
"57","臺東縣","臺東市","建業里","第2天",4,9,0
"58","臺東縣","臺東市","建業里","第3天",10,19,0
"59","臺東縣","臺東市","建業里","第4天",2,21,0
"60","臺東縣","臺東市","建業里","第5天",6,27,0
"61","臺東縣","臺東市","建興里","第1天",2,2,0
"62","臺東縣","臺東市","建興里","第2天",2,4,0
"63","臺東縣","臺東市","建興里","第3天",5,9,0
"64","臺東縣","臺東市","建興里","第4天",5,14,0
"65","臺東縣","臺東市","建興里","第5天",3,17,0
"66","臺東縣","臺東市","強國里","第1天",3,3,0
"67","臺東縣","臺東市","強國里","第2天",4,7,0
"68","臺東縣","臺東市","強國里","第3天",1,8,0
"69","臺東縣","臺東市","強國里","第4天",6,14,0
"70","臺東縣","臺東市","強國里","第5天",2,16,0
"71","臺東縣","臺東市","鐵花里","第1天",1,1,0
"72","臺東縣","臺東市","鐵花里","第2天",0,1,0
"73","臺東縣","臺東市","鐵花里","第3天",4,5,0
"74","臺東縣","臺東市","鐵花里","第4天",2,7,0
"75","臺東縣","臺東市","鐵花里","第5天",0,7,0
