"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","花蓮縣","吉安鄉","仁里村","第1天",3,3,0
"2","花蓮縣","吉安鄉","仁里村","第2天",1,4,1
"3","花蓮縣","吉安鄉","仁里村","第3天",1,5,0
"4","花蓮縣","吉安鄉","仁里村","第4天",2,7,0
"5","花蓮縣","吉安鄉","仁里村","第5天",1,8,0
"6","花蓮縣","吉安鄉","東昌村","第1天",4,4,0
"7","花蓮縣","吉安鄉","東昌村","第2天",18,22,0
"8","花蓮縣","吉安鄉","東昌村","第3天",5,27,4
"9","花蓮縣","吉安鄉","東昌村","第4天",9,36,3
"10","花蓮縣","吉安鄉","東昌村","第5天",16,52,5
"11","花蓮縣","吉安鄉","稻香村","第1天",0,0,0
"12","花蓮縣","吉安鄉","稻香村","第2天",2,2,0
"13","花蓮縣","吉安鄉","稻香村","第3天",4,6,1
"14","花蓮縣","吉安鄉","稻香村","第4天",2,8,1
"15","花蓮縣","吉安鄉","稻香村","第5天",5,13,1
"16","花蓮縣","花蓮市","主安里","第1天",2,2,0
"17","花蓮縣","花蓮市","主安里","第2天",1,3,1
"18","花蓮縣","花蓮市","主安里","第3天",2,5,0
"19","花蓮縣","花蓮市","主安里","第4天",0,5,0
"20","花蓮縣","花蓮市","主安里","第5天",0,5,1
"21","花蓮縣","花蓮市","主信里","第1天",0,0,0
"22","花蓮縣","花蓮市","主信里","第2天",0,0,0
"23","花蓮縣","花蓮市","主信里","第3天",0,0,0
"24","花蓮縣","花蓮市","主信里","第4天",1,1,0
"25","花蓮縣","花蓮市","主信里","第5天",0,1,0
"26","花蓮縣","花蓮市","主義里","第1天",2,2,0
"27","花蓮縣","花蓮市","主義里","第2天",2,4,1
"28","花蓮縣","花蓮市","主義里","第3天",0,4,1
"29","花蓮縣","花蓮市","主義里","第4天",0,4,3
"30","花蓮縣","花蓮市","主義里","第5天",1,5,2
"31","花蓮縣","花蓮市","主權里","第1天",2,2,0
"32","花蓮縣","花蓮市","主權里","第2天",6,8,0
"33","花蓮縣","花蓮市","主權里","第3天",7,15,2
"34","花蓮縣","花蓮市","主權里","第4天",6,21,1
"35","花蓮縣","花蓮市","主權里","第5天",4,25,2
"36","花蓮縣","花蓮市","民生里","第1天",5,5,0
"37","花蓮縣","花蓮市","民生里","第2天",4,9,0
"38","花蓮縣","花蓮市","民生里","第3天",0,9,0
"39","花蓮縣","花蓮市","民生里","第4天",0,9,1
"40","花蓮縣","花蓮市","民生里","第5天",0,9,0
"41","花蓮縣","花蓮市","國盛里","第1天",4,4,1
"42","花蓮縣","花蓮市","國盛里","第2天",1,5,0
"43","花蓮縣","花蓮市","國盛里","第3天",1,6,0
"44","花蓮縣","花蓮市","國盛里","第4天",0,6,1
"45","花蓮縣","花蓮市","國盛里","第5天",0,6,1
"46","花蓮縣","花蓮市","國福里","第1天",9,9,0
"47","花蓮縣","花蓮市","國福里","第2天",25,34,1
"48","花蓮縣","花蓮市","國福里","第3天",19,53,7
"49","花蓮縣","花蓮市","國福里","第4天",12,65,10
"50","花蓮縣","花蓮市","國福里","第5天",21,86,10
"51","花蓮縣","瑞穗鄉","奇美村","第1天",6,6,0
"52","花蓮縣","瑞穗鄉","奇美村","第2天",24,30,9
"53","花蓮縣","瑞穗鄉","奇美村","第3天",16,46,9
"54","花蓮縣","瑞穗鄉","奇美村","第4天",6,52,13
"55","花蓮縣","瑞穗鄉","奇美村","第5天",2,54,8
"56","花蓮縣","瑞穗鄉","富源村","第1天",6,6,1
"57","花蓮縣","瑞穗鄉","富源村","第2天",8,14,2
"58","花蓮縣","瑞穗鄉","富源村","第3天",12,26,7
"59","花蓮縣","瑞穗鄉","富源村","第4天",10,36,3
"60","花蓮縣","瑞穗鄉","富源村","第5天",10,46,3
"61","花蓮縣","瑞穗鄉","瑞美村","第1天",4,4,0
"62","花蓮縣","瑞穗鄉","瑞美村","第2天",9,13,2
"63","花蓮縣","瑞穗鄉","瑞美村","第3天",8,21,3
"64","花蓮縣","瑞穗鄉","瑞美村","第4天",4,25,4
