"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","苗栗縣","三義鄉","西湖村","第1天",4,4,0
"2","苗栗縣","三義鄉","西湖村","第2天",3,7,0
"3","苗栗縣","三義鄉","西湖村","第3天",2,9,0
"4","苗栗縣","三義鄉","西湖村","第4天",7,16,0
"5","苗栗縣","三義鄉","西湖村","第5天",3,19,0
"6","苗栗縣","三義鄉","勝興村","第1天",2,2,0
"7","苗栗縣","三義鄉","勝興村","第2天",8,10,1
"8","苗栗縣","三義鄉","勝興村","第3天",1,11,0
"9","苗栗縣","三義鄉","勝興村","第4天",2,13,0
"10","苗栗縣","三義鄉","勝興村","第5天",5,18,0
"11","苗栗縣","大湖鄉","南湖村","第1天",1,1,0
"12","苗栗縣","大湖鄉","南湖村","第2天",0,1,0
"13","苗栗縣","大湖鄉","南湖村","第3天",0,1,0
"14","苗栗縣","大湖鄉","南湖村","第4天",0,1,0
"15","苗栗縣","大湖鄉","南湖村","第5天",1,2,0
"16","苗栗縣","大湖鄉","栗林村","第1天",2,2,0
"17","苗栗縣","大湖鄉","栗林村","第2天",0,2,0
"18","苗栗縣","大湖鄉","栗林村","第3天",0,2,0
"19","苗栗縣","大湖鄉","栗林村","第4天",1,3,0
"20","苗栗縣","大湖鄉","栗林村","第5天",0,3,0
"21","苗栗縣","大湖鄉","靜湖村","第1天",1,1,1
"22","苗栗縣","大湖鄉","靜湖村","第2天",1,2,1
"23","苗栗縣","大湖鄉","靜湖村","第3天",1,3,0
"24","苗栗縣","大湖鄉","靜湖村","第4天",0,3,1
"25","苗栗縣","大湖鄉","靜湖村","第5天",0,3,0
"26","苗栗縣","西湖鄉","二湖村","第1天",2,2,0
"27","苗栗縣","西湖鄉","二湖村","第2天",3,5,0
"28","苗栗縣","西湖鄉","二湖村","第3天",2,7,0
"29","苗栗縣","西湖鄉","二湖村","第4天",3,10,0
"30","苗栗縣","西湖鄉","二湖村","第5天",1,11,0
"31","苗栗縣","西湖鄉","湖東村","第1天",5,5,0
"32","苗栗縣","西湖鄉","湖東村","第2天",7,12,0
"33","苗栗縣","西湖鄉","湖東村","第3天",2,14,0
"34","苗栗縣","西湖鄉","湖東村","第4天",5,19,0
"35","苗栗縣","西湖鄉","湖東村","第5天",4,23,0
