"","縣市","鄉鎮","村里","天數","每日照像捕捉狗數","累積照像捕捉狗數","重複數目"
"1","金門縣","金沙鎮","官嶼里","第1天",1,1,0
"2","金門縣","金沙鎮","官嶼里","第2天",2,3,0
"3","金門縣","金沙鎮","官嶼里","第3天",3,6,0
"4","金門縣","金沙鎮","官嶼里","第4天",2,8,0
"5","金門縣","金沙鎮","官嶼里","第5天",0,8,0
"6","金門縣","金城鎮","西門里","第1天",1,1,0
"7","金門縣","金城鎮","西門里","第2天",0,1,0
"8","金門縣","金城鎮","西門里","第3天",3,4,0
"9","金門縣","金城鎮","西門里","第4天",0,4,2
"10","金門縣","金城鎮","西門里","第5天",1,5,2
"11","金門縣","金湖鎮","新市里","第1天",2,2,0
"12","金門縣","金湖鎮","新市里","第2天",5,7,1
"13","金門縣","金湖鎮","新市里","第3天",2,9,0
"14","金門縣","金湖鎮","新市里","第4天",1,10,1
"15","金門縣","金湖鎮","新市里","第5天",1,11,0
"16","金門縣","金湖鎮","瓊林里","第1天",0,0,0
"17","金門縣","金湖鎮","瓊林里","第2天",1,1,0
"18","金門縣","金湖鎮","瓊林里","第3天",0,1,0
"19","金門縣","金湖鎮","瓊林里","第4天",0,1,0
"20","金門縣","金湖鎮","瓊林里","第5天",0,1,0
