"","city","township","village","fullname","Nb","Nr","Nt"
"1","宜蘭縣","大同鄉","崙埤村","宜蘭縣大同鄉崙埤村",379,47.2604,30
"2","宜蘭縣","大同鄉","寒溪村","宜蘭縣大同鄉寒溪村",38.1667,24.4514,20
"3","宜蘭縣","宜蘭市","七結里","宜蘭縣宜蘭市七結里",0,0,0
"4","宜蘭縣","宜蘭市","小東里","宜蘭縣宜蘭市小東里",1,1,1
"5","宜蘭縣","宜蘭市","中興里","宜蘭縣宜蘭市中興里",1,1,1
"6","宜蘭縣","宜蘭市","延平里","宜蘭縣宜蘭市延平里",12,13.3115,12
"7","宜蘭縣","宜蘭市","東門里","宜蘭縣宜蘭市東門里",0,0,0
"8","宜蘭縣","宜蘭市","泰山里","宜蘭縣宜蘭市泰山里",5,5.12,5
"9","宜蘭縣","宜蘭市","梅洲里","宜蘭縣宜蘭市梅洲里",199.3333,53.7392,37
"10","宜蘭縣","員山鄉","湖北村","宜蘭縣員山鄉湖北村",16,18.7896,16
"11","宜蘭縣","員山鄉","蓁巷村","宜蘭縣員山鄉蓁巷村",46.7143,26.6471,22
"12","宜蘭縣","員山鄉","頭分村","宜蘭縣員山鄉頭分村",10,10.3492,10
"13","宜蘭縣","羅東鎮","南豪里","宜蘭縣羅東鎮南豪里",1,1,1
"14","宜蘭縣","羅東鎮","羅莊里","宜蘭縣羅東鎮羅莊里",7,9.1394,7
"15","宜蘭縣","蘇澳鎮","永榮里","宜蘭縣蘇澳鎮永榮里",20,20.1301,20
"16","宜蘭縣","蘇澳鎮","南安里","宜蘭縣蘇澳鎮南安里",48.2,29.6572,23
"17","宜蘭縣","蘇澳鎮","南寧里","宜蘭縣蘇澳鎮南寧里",9,10.7422,9
"18","宜蘭縣","蘇澳鎮","港邊里","宜蘭縣蘇澳鎮港邊里",19,19.8136,19
"19","宜蘭縣","蘇澳鎮","聖愛里","宜蘭縣蘇澳鎮聖愛里",2,2,2
"20","花蓮縣","吉安鄉","仁里村","花蓮縣吉安鄉仁里村",27,10.5003,8
"21","花蓮縣","吉安鄉","東昌村","花蓮縣吉安鄉東昌村",112.5,61.6017,52
"22","花蓮縣","吉安鄉","稻香村","花蓮縣吉安鄉稻香村",25.3333,14.7852,13
"23","花蓮縣","花蓮市","主安里","花蓮縣花蓮市主安里",7.5,5.5713,5
"24","花蓮縣","花蓮市","主信里","花蓮縣花蓮市主信里",1,1,1
"25","花蓮縣","花蓮市","主義里","花蓮縣花蓮市主義里",4.8571,4.9328,5
"26","花蓮縣","花蓮市","主權里","花蓮縣花蓮市主權里",63,37.3359,25
"27","花蓮縣","花蓮市","民生里","花蓮縣花蓮市民生里",29,9.4261,9
"28","花蓮縣","花蓮市","國盛里","花蓮縣花蓮市國盛里",7,6.0373,6
"29","花蓮縣","花蓮市","國福里","花蓮縣花蓮市國福里",153.5357,125.6034,86
"30","花蓮縣","瑞穗鄉","奇美村","花蓮縣瑞穗鄉奇美村",60.0513,79.5641,54
"31","花蓮縣","瑞穗鄉","富源村","花蓮縣瑞穗鄉富源村",70.75,60.6691,46
"32","花蓮縣","瑞穗鄉","瑞美村","花蓮縣瑞穗鄉瑞美村",46.7857,54.0076,32
"33","花蓮縣","鳳林鎮","大榮里","花蓮縣鳳林鎮大榮里",56.3871,69.8395,47
"34","花蓮縣","鳳林鎮","長橋里","花蓮縣鳳林鎮長橋里",41.7857,34.6839,31
"35","花蓮縣","鳳林鎮","森榮里","花蓮縣鳳林鎮森榮里",13.6389,14.2269,15
"36","花蓮縣","豐濱鄉","新社村","花蓮縣豐濱鄉新社村",14.3333,14.0725,14
"37","花蓮縣","豐濱鄉","豐濱村","花蓮縣豐濱鄉豐濱村",34.1277,36.613,31
"38","金門縣","金沙鎮","官嶼里","金門縣金沙鎮官嶼里",8,11.3439,8
