,city,nb.var,nr.var,nt.var,,Nr2stage.ee,,
1,宜蘭縣,30377192.76,763753.5113,217990.8272,,4764.687144,,1712.90265
2,花蓮縣,4667981.798,2870795.781,1083381.403,,7112.953379,,3320.91088
3,金門縣,25434.29688,9801.570919,3558.75,,288.53025,,194.0456514
4,南投縣,124903202.4,1606476.029,1018299.473,,8106.019047,,2484.237974
5,屏東縣,3202380242,35794290.12,11269761.09,,26032.58961,,11726.35258
6,苗栗縣,1640614.975,1363373.477,331659.9077,,4432.906438,,2288.566265
7,桃園市,5000348.481,4059154.382,1396530.798,,13658.87121,,3948.879268
8,高雄市,21294041.78,9181623.512,3041964.19,,21135.1144,,5939.034002
9,基隆市,37847371.1,529435.0204,112255,,4647.53755,,1426.140798
10,連江縣,0,0,0,,0,,0
11,雲林縣,16966653.67,7048819.806,1592948.554,,9357.462297,,5203.724259
12,新北市,39604231.11,5066164.145,2302632.269,,14341.1914,,4411.59565
13,新竹市,2274283.472,40661.84467,24192.16066,,964.5076,,395.2297338
14,新竹縣,1100805.639,239980.0982,81454.52778,,5080.306633,,960.1601665
15,嘉義市,79916.86864,135379.9741,68391.90533,,1247.606123,,721.1627476
16,嘉義縣,5894199890,20509651.92,11079237.05,,22307.24038,,8876.366306
17,彰化縣,28303121.84,4110416.664,1616081.82,,11321.86603,,3973.735856
18,臺中市,17893837.76,2988404.085,1377796.638,,7993.050181,,3388.252224
19,臺北市,7890403.504,512784.9644,254581.421,,3850.922465,,1403.536504
20,臺東縣,3426956.591,1006987.162,713408.0494,,4872.798656,,1966.8355
21,臺南市,193576171.6,35375819.08,25589985.04,,24204.99472,,11657.60467
22,澎湖縣,40263.75,265486.7499,40263.75,,1803.195,,1009.897964
