,city,Nb2stage.ee,Nr2stage.ee,Nt2stage.ee
1,宜蘭縣,11481.64714,4764.687144,3385.777778
2,花蓮縣,8334.965157,7112.953379,5100.214286
3,金門縣,313.125,288.53025,187.5
4,南投縣,26644.41421,8106.019047,5731.805556
5,屏東縣,91753.90994,26032.58961,17026.76667
6,苗栗縣,4097.393225,4432.906438,2582.25
7,桃園市,12313.48727,13658.87121,9494.229167
8,高雄市,35262.74199,21135.1144,14848.02778
9,基隆市,13874.03056,4647.53755,2826
10,連江縣,0,0,0
11,雲林縣,11449.7275,9357.462297,5002.433333
12,新北市,25191.27016,14341.1914,10029.21647
13,新竹市,2875.668421,964.5076,776.9473684
14,新竹縣,4664.833333,5080.306633,3571.5
15,嘉義市,1054.804154,1247.606123,1014.461538
16,嘉義縣,165368.7198,22307.24038,15183.79167
17,彰化縣,22853.79819,11321.86603,7912.924242
18,臺中市,11170.28743,7993.050181,5715.391304
19,臺北市,8670.780843,3850.922465,2846.918919
20,臺東縣,6631.404578,4872.798656,3223.222222
21,臺南市,41389.88185,24204.99472,17266.91667
22,澎湖縣,823.5,1803.195,823.5
