,names,country,town,village,y_bar,x_bar,cof1,cof2,Nb,Nr,Nt
1,楊長融,宜蘭縣,大同鄉,崙埤村,5,15.33333333,7.40097561,-0.1566,30,47.2604,30
2,楊長融,宜蘭縣,大同鄉,寒溪村,4,10.6,7.06155303,-0.2888,38.1667,24.4514,20
3,楊長融,宜蘭縣,宜蘭市,七結里,0,0,0,NA,0,0,0
4,楊長融,宜蘭縣,宜蘭市,小東里,0.2,0.8,1,-1,1,1,1
5,楊長融,宜蘭縣,宜蘭市,中興里,0.2,0.6,0.5,-0.5,1,1,1
6,楊長融,宜蘭縣,宜蘭市,延平里,2.4,6.4,4.621761658,-0.3472,12,13.3115,12
7,楊長融,宜蘭縣,宜蘭市,東門里,0,0,0,NA,0,0,0
8,楊長融,宜蘭縣,宜蘭市,泰山里,1,3.4,2.976744186,-0.5814,5,5.12,5
9,楊長融,宜蘭縣,宜蘭市,梅洲里,7.4,16.4,9.033105623,-0.0996,37,90.6938,37
10,楊長融,宜蘭縣,員山鄉,湖北村,3.2,9,6.142307692,-0.3269,16,18.7896,16
11,楊長融,宜蘭縣,員山鄉,蓁巷村,4.4,11.6,7.791601866,-0.2924,46.7143,26.6471,22
12,楊長融,宜蘭縣,員山鄉,頭分村,2,7,6.180555556,-0.5972,10,10.3492,10
13,楊長融,宜蘭縣,羅東鎮,南豪里,0.2,0.8,1,-1,1,1,1
14,楊長融,宜蘭縣,羅東鎮,羅莊里,1.4,3.8,2.396341463,-0.2622,7,9.1394,7
15,楊長融,宜蘭縣,蘇澳鎮,永榮里,4,12.6,10.693086,-0.5312,20,20.1301,20
16,楊長融,宜蘭縣,蘇澳鎮,南安里,4.6,9.6,5.564593301,-0.1005,48.2,55.3691,23
17,楊長融,宜蘭縣,蘇澳鎮,南寧里,1.8,5.2,3.489051095,-0.3248,9,10.7422,9
18,楊長融,宜蘭縣,蘇澳鎮,港邊里,3.8,11.4,8.94980695,-0.4517,19,19.8136,19
19,楊長融,宜蘭縣,蘇澳鎮,聖愛里,0.4,1.6,2,-1,2,2,2
20,塗銘鈞,花蓮縣,吉安鄉,仁里村,1.6,3.8,2.507462687,-0.2388,27,10.5003,8
21,塗銘鈞,花蓮縣,吉安鄉,東昌村,10.4,28.6,19.41070503,-0.3151,52,61.6017,52
22,塗銘鈞,花蓮縣,吉安鄉,稻香村,2.6,7.6,5.350746269,-0.3619,25.3333,14.7852,13
23,塗銘鈞,花蓮縣,花蓮市,主安里,1,3,2.166666667,-0.3889,7.5,5.5713,5
24,塗銘鈞,花蓮縣,花蓮市,主信里,0.2,0.2,0.25,-0.25,1,1,1
25,塗銘鈞,花蓮縣,花蓮市,主義里,1,2.8,2.3125,-0.4688,4.8571,4.9328,5
26,塗銘鈞,花蓮縣,花蓮市,主權里,5,12.4,7.485849057,-0.2005,63,37.3359,25
27,塗銘鈞,花蓮縣,花蓮市,民生里,1.8,6.4,5.607594937,-0.5949,29,9.4261,9
28,塗銘鈞,花蓮縣,花蓮市,國盛里,1.2,4.2,3.943548387,-0.6532,7,6.0373,6
29,塗銘鈞,花蓮縣,花蓮市,國福里,14.33333333,49.83333333,27.40139125,-0.2622,86,104.5057,86
30,塗銘鈞,花蓮縣,瑞穗鄉,奇美村,10.8,26.8,16.28677014,-0.2047,60.0513,79.5641,54
31,塗銘鈞,花蓮縣,瑞穗鄉,富源村,9.2,21.2,12.13694268,-0.1385,70.75,87.6314,46
32,塗銘鈞,花蓮縣,瑞穗鄉,瑞美村,5.333333333,15.83333333,7.544864865,-0.1397,46.7857,54.0076,32
33,塗銘鈞,花蓮縣,鳳林鎮,大榮里,9.4,23,14.01678832,-0.2007,56.3871,69.8395,47
34,塗銘鈞,花蓮縣,鳳林鎮,長橋里,6.2,17,12.16015936,-0.3506,41.7857,34.6839,31
35,塗銘鈞,花蓮縣,鳳林鎮,森榮里,3,9.8,9.641566265,-0.6777,13.6389,14.2269,15
36,塗銘鈞,花蓮縣,豐濱鄉,新社村,2.8,9.6,8.810810811,-0.6261,14.3333,14.0725,14
37,塗銘鈞,花蓮縣,豐濱鄉,豐濱村,6.2,18.4,12.46305697,-0.3404,34.1277,36.613,31
38,曹舒瑜,金門縣,金沙鎮,官嶼里,1.6,3.6,2.061946903,-0.1283,8,16.0713,8
39,曹舒瑜,金門縣,金城鎮,西門里,1,2,1.428571429,-0.2143,5.75,6.6662,5
